	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
AL7A1	4.882643049	6.437960088	6.378511623	6.783980414	6.327328083	6.930737338	6.51412226	6.785288981	6.834154981	6.826548487	7.486231678	6.6794801	6.50779464	7.267723052	6.904484098	6.371558863	6.551516018	6.289096702	7.163901214	5.894817763	6.6395216	6.797012978	6.491853096	6.937815169	6.595443985	7.43629512	6.891176125	6.957682486	6.309248961	7.145677455	6.224966365	6.422905743	6.332707934	6.74819285	6.531381461	6.312882955	6.173926932	6.394033895	6.662490364	6.044394119	6.118941073	6.892391026	6.761551232	6.311067102	6.694880193	7.22881869	6.851749041	6.9795681	6.610286657	6.270528942	6.207502459	6.427941333	6.54225805	6.419538892	6.04220656	7.13442632	7.029011087	6.754887502	6.232660757	6.375039431	7.084276911	6.383704292	7.224001674	6.40599236	6.891176125	6.587964989	6.602884409	6.50779464	5.909293086	6.914086097	6.175923742	6.956521363	6.277984747	6.854245054	6.607330314	6.716990894	6.461070114	6.64385619	6.417852515	5.902073579	7.198690586	6.537606691	6.956521363	6.442943496	6.024585638	5.666756592	6.161887682	6.300123725	5.669593751	7.689997971	7.535275377	5.847996907	6.303780748	5.22881869	6.366322214	6.645298164	7.041111535	7.105384749	6.177917792	6.844234988	6.532940288
HV551	5.675251386	7.330020516	4.459431619	6.121015401	9.158357226	7.137503524	8.408117408	5.129283017	7.177917792	6.169925001	7.282625134	5.885086225	7.326429487	6.108524457	6.785288981	5.855491443	6.509379149	6.339850003	5.523561956	5.652486495	6.057450272	6.464341533	6.793115555	7.375908263	5.201633861	6.221103725	7.024585638	6.537606691	6.596527612	5.432959407	5.897240426	6.557655155	6.701826258	6.34232402	6.201633861	7.071462363	5.539158811	7.157893125	6.665335917	6.074676686	6.364572432	7.161887682	5.892391026	7.254556252	6.300123725	6.504620392	6.187846909	6.108524457	9.359529955	7.702519029	7.100136671	6.474111514	6.802193217	6.369046987	7.099084761	5.862947248	5.847996907	6.187846909	6.689299161	6.694880193	5.368069877	6.97384084	6.761551232	6.167919866	5.82527683	6.444600814	8.329123596	5.904484098	7.667466405	7.94602899	6.266786541	5.744161096	5.277984747	6.590961241	6.230741003	7.04611594	6.551516018	6	6.651051691	6.888743249	6.399171094	5.951867504	3.837943242	6.429615964	7.509379149	9.516290986	6.687900522	6.820178962	9.086932341	7.403438163	6.726558779	6.844234988	6.387155718	7.357552005	6.400879436	7.169925001	8.178415874	7.406842755	5.716990894	6.703211467	6.566815154
GILT	4.378511623	5.217230716	5.074676686	6.645298164	6.432959407	8.222070355	7.090641752	4.452858965	6.683696454	5.658211483	7.456149035	6.827819025	5.958842675	8.631177056	6.912889336	5.949534933	7.990387652	6.557655155	8.561478892	5.43629512	7.680183682	6.716990894	7.916476644	7.448735798	5.686500527	6.015693807	7.699051844	7.616916363	7.593204354	6.312882955	5.54225805	5.700439718	7.284477118	6.431288654	7.049848549	7.84862294	5.357552005	6.517275693	6.163901214	6.680886921	6.338067798	6.984133595	5.845490051	6.917670434	5.22881869	8.562624039	5.711494907	5.66106548	6.543805176	6.378511623	5.300123725	6.181897643	6.371558863	7.236492618	6.459431619	7.307428525	6.539158811	7.29186137	5.837943242	5.933100475	5.442943496	6.376776572	6.456149035	5.560714954	7.06608919	6.169925001	6.518849829	5.469234794	6.14974712	6.325530332	5.599912842	7.565292521	5.548436625	6.247927513	6.592457037	6.652486495	6.238404739	5.572889668	6.518849829	6.106432078	8.017921908	5.623515741	4.426264755	7.033423002	7.962317655	5.504620392	6.659639187	6.864186145	6.259272487	5.867896464	8.186857067	7.05202456	6.769507291	6.556122818	4.727920455	7.381975479	6.951867504	8.933690655	5.760220946	5.875288598	6.195741293
ACSL1	4.935459748	5.412781525	6.03562391	6.687357787	6.155830172	6.854245054	6.692092375	5.449561375	5.694880193	5.815063017	7.433794059	6.365835418	5.845490051	7.798309782	6.191799501	6.327328083	6.982993575	6.613236955	8.217715411	6.348728154	8.102238194	7.066207427	6.224966365	7.402581544	6.362820526	5.336283388	7.461888664	6.73470962	6.761551232	7.525912261	6.102238194	5.894817763	7.122051448	5.972692654	7.233619677	8.636987061	6.470714985	6.452858965	6.38024459	6.562242424	6.478971805	6.590546477	6.577800665	7.132371199	6.287250643	7.672425342	6.384361012	6.50779464	6.82527683	7.223036338	6.121186724	6.14363831	7.433794059	8.320123598	7.207502459	6.662490364	7.216260837	6.498250868	6.116863758	6.336283388	6.083213368	7.386293635	6.531381461	6.133399125	7.607330314	6.908092341	7.517275693	6.137503524	6.911226967	4.944858446	6.539158811	7.495855027	6.949542209	7.045486656	7.336283388	7.268658955	7.277054876	6.341630009	6.58044702	6.758889433	8.175424799	6.51412226	4.596935142	6.817623258	7.001126665	5.419538892	7.017921908	6.54225805	5.403483492	5.62058641	7.982993575	7.64096791	6.909293086	5.504620392	6.306832876	6.937558218	6.937815169	7.062855655	6.247927513	6.358418601	6.915281866
MYO1C	7.450386479	6.298291731	7.487840034	7.282625134	6.070389328	6.880195729	5.485426827	7.286326727	5.845490051	6.30560579	6.557655155	7.587964989	6.110613806	6.332707934	5.847996907	6.520422249	6.361066489	6.762880293	7.089582893	6.766860144	5.87036472	6.311067102	5.632268215	6.217230716	6.875288598	6.456149035	7.154818109	6.66106548	7.301953395	6.818901676	7.505414609	6.523561956	6.321928095	6.571373436	6.836681593	6.14363831	6.844234988	6.070389328	7.115823977	7.528258743	6.40599236	6.330916878	6.883865155	6.093813673	6.652486495	6.746850183	7.354910512	6.421223299	5.593951284	6.462706751	6.586464526	6.526694846	6.307428525	6.840463234	6.30560579	7.026800059	7.071462363	5.95419631	6.891176125	6.929554316	6.885086225	6.598424761	6.432959407	6.633721813	6.6043679	6.658211483	5.904484098	6.478971805	5.593951284	5.116863758	6.915281866	6.787902559	6.368069877	6.778734244	6.876516947	6.268658955	6.589463893	6.512542955	7.007868243	6.070389328	6.375039431	6.99095486	7.088523257	6.769507291	6.037821465	5.99095486	6.54225805	6.648177796	7.377644358	5.875288598	6.294620749	6.249824549	6.642412773	6.063934306	7.173926932	7.001126665	6.694880193	6.865423978	6.712870868	6.94602899	7.115823977
RAB2A	6.483815777	6.221103725	6.850499414	6.807354922	6.173926932	6.5360529	6.361066489	6.506208389	6.341630009	6.549977143	6.768184325	6.886306263	6.217230716	6.933100475	6.685099172	6.483815777	6.577428828	6.429615964	7.116863758	6.44625623	7.031218731	6.499845887	6.532940288	6.490249211	6.6395216	6.595443985	6.964629667	6.669593751	6.861707287	6.871597266	6.421223299	6.311067102	6.64385619	6.321928095	6.593951284	6.933100475	6.575917361	6.03562391	6.427941333	5.904484098	6.499845887	6.689299161	6.407692649	6.506208389	6.780047576	6.373300197	6.646738698	6.649615459	6.091699834	6.595443985	6.255500733	6.537606691	6.690696444	6.943686952	6.529820947	6.5360529	6.540709263	6.422905743	6.540709263	6.587964989	6.705977902	6.669593751	6.251719093	6.0725346	6.595443985	6.958842675	6.48864354	6.753551055	6.373300197	5.937815169	6.795715007	6.54689446	6.482202926	6.617651119	6.700439718	6.769507291	6.673839056	6.802193217	6.703211467	5.827819025	6.680886921	6.626439137	6.361066489	6.587964989	6.671010241	5.48864354	6.566815154	6.147713722	5.5360529	7.508587112	6.622051819	5.845490051	6.839203788	6.279842694	6.5360529	6.75087444	6.610286657	6.48703608	6.385431037	6.669593751	6.523561956
HNRPQ	6.390598906	6.261154673	6.602884409	6.827819025	5.781359714	6.941341105	6.680886921	6.116863758	6.125155131	6.483815777	6.87897051	6.714245518	6.22881869	7.162894799	6.793115555	6.971543554	6.482202926	6.499845887	7.507001733	6.175923742	6.918863237	7.004501392	6.392317423	6.411087227	6.491853096	6.850499414	7.245077275	7.404290064	7.419538892	6.672425342	6.778734244	6.177917792	6.740118043	6.703211467	6.95070169	6.712870868	6.559185866	6.385431037	6.155830172	6.757556689	6.62497818	6.675251386	6.824004051	6.491853096	6.601399391	7.329123596	6.824004051	6.642412773	6.253611152	6.40599236	6.727920455	6.316507819	6.48058827	7.213347282	8.781359714	7.083213368	6.891176125	6.837943242	6.268658955	6.62497818	6.553053253	6.682292371	6.757556689	6.153805336	6.66106548	6.499845887	6.850499414	6.690696444	6.314696526	6.602884409	6.526694846	7.158862106	6.798309782	6.916476644	6.5360529	6.614709844	6.419538892	6.357552005	6.506208389	6.673839056	6.58044702	6.515699838	6.301953395	6.778734244	6.548436625	5.64385619	6.729280846	6.131342539	5.937815169	7.311067102	7.067165427	6.368069877	6.765534746	5.804776378	6.726558779	6.427941333	6.462706751	6.970393538	6.710117632	6.818901676	6.343407822
PI42A	6.51412226	6.677849798	7.302867361	7.137503524	5.901622259	6.906890596	6.842978832	6.895458048	6.532191003	6.211069353	7.251265636	6.529820947	6.177917792	6.40599236	6.357552005	6.261154673	6.417852515	5.827819025	6.891176125	6.808642468	6.75087444	6.350933181	6.692092375	6.48703608	6.470862199	6.692092375	6.565292521	7.067165427	7.043300754	6.635173947	7.439623138	6.596935142	6.061776198	5.658211483	7.765534746	5.817623258	7.06608919	7.263973355	6.955359305	6.14974712	6.602884409	6.976134473	6.833283867	6.740118043	6.704595348	6.912889336	6.719634532	6.944858446	5.465974465	6.700439718	6.909293086	7.132371199	6.898450233	6.549977143	5.638073837	7.098032083	6.596935142	6.325530332	5.680886921	6.892391026	6.556122818	6.572889668	6.700439718	6.026800059	6.73470962	7.078951341	6.189824559	6.51412226	6.247797259	6.475733431	6.988684687	7.006746832	6.8674696	7.033423002	6.86913112	6.355791547	6.318316841	5.605849867	6.765534746	6.23457796	6.38616422	6.378511623	6.395748328	6.696272084	6.54261787	5.209453366	6.726558779	7.48703608	5.346956889	6.958842675	7.016808288	6.665335917	6.09592442	6.232586285	6.816390741	6.485426827	6.336283388	6.334496768	6.855491443	6.086151224	6.437960088
RS8	6.187846909	6.836681593	6.689299161	6.97384084	6.171927354	6.942514505	6.539158811	6.715618859	6.865423978	6.529820947	6.574404309	6.602884409	6.645298164	7.227856573	6.652486495	6.839203788	6.741466986	6.51412226	7.454504938	6.587964989	7.01234519	6.781359714	6.574404309	6.83541884	6.754887502	6.46760555	7.074676686	6.904484098	7.159871337	6.765534746	6.818901676	6.362820526	6.687900522	7.015693807	6.687900522	6.972692654	6.685099172	6.554588852	6.512542955	6.773468928	6.758889433	6.584962501	6.789207575	6.551516018	6.62058641	7.204571144	6.694880193	6.776103988	6.253611152	6.829088444	6.769507291	6.711494907	6.969242604	7.572889668	7.323730338	7.04220656	6.93191939	6.905687849	6.554588852	6.581953751	6.765534746	6.769507291	6.203592714	6.125155131	6.856736756	7.089582893	6.506208389	6.773468928	6.131342539	6.226893814	6.737416366	6.866660751	6.8899602	6.645298164	6.744161096	6.58345891	6.64096791	6.768184325	6.607330314	6.474111514	6.896029603	6.673839056	6.385431037	6.630813152	6.444600814	5.904484098	6.893604905	6.683696454	6.28169825	7.402585758	6.758889433	6.977279923	6.73470962	6.171927354	6.700439718	6.619119511	6.642412773	7.189824559	6.731997787	6.520422249	6.581953751
PROZ	4.837943242	4.705977902	6.938991439	6.676662335	7.354910512	4.452858965	5.902073579	5.482202926	5.760220946	4.949534933	5.06608919	5.730639956	9.202368743	6.029011087	5.581953751	7.86913112	5.09592442	6.883865155	4.705977902	8.283088353	5.057450272	7.862327401	5.523561956	6.10433666	8.546122759	5.626439137	6.21916852	4.99095486	7.687200695	5.004501392	8.503428247	8.975561406	5.802193217	6.904484098	6.781359714	6.354028938	8.28077077	6.362820526	4.902073579	8.93191939	7.653919873	6.619119511	9.257623558	5.632268215	7.875288598	4.862947248	9.093813673	6.701826258	6.345183447	5.255500733	8.037821465	6.529820947	6.596935142	7.622783966	5.181897643	6.17990909	4.678071905	5.722466024	5.061776198	5.205548911	6.918863237	6.976134473	4.837943242	6.09592442	5.06608919	5.752213368	7.245077275	5.935459748	5.523561956	7.381975479	6.861707287	6.277984747	5.909293086	7.106432078	6.498250868	6.226893814	5.749534268	7.114783447	5.303780748	6.22881869	5.048759312	6.46760555	5.694880193	7.148730779	6.183883459	5.925999419	7.468420402	9.985272714	5.817623258	5.161887682	4.632268215	9.671894842	5.091699834	6.114783447	8.239837169	5.789207575	5.965784285	4.40599236	8.004501392	5.244125943	7.324630615
