	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
ACTA	7.277984747	6.824004051	7.010108453	6.091699834	4.66106548	6.387155718	5.078951341	6.981852653	6.185866545	6.795715007	6.422905743	7.033423002	6.287250643	5.791814071	6.213347282	4.916476644	6.736063628	6.21916852	6.327328083	6.617651119	6.279842694	6.116863758	6.501439145	5.754887502	6.345183447	7.183883459	5.937815169	6.795715007	5.842978832	6.902073579	5.578938713	6.818901676	6.129283017	6.352264173	4.981852653	4.867896464	6.354028938	5.274261661	6.795715007	4.378511623	5.325530332	6.509379149	6.23457796	5.205548911	6.682292371	5.5360529	6.181897643	6.40599236	4.465974465	4.916476644	5.332707934	5.678071905	6.169925001	6.159871337	5.336283388	5.809928866	7.207502459	6.813781191	7.048759312	5.95419631	6.652486495	5.752213368	7.36018867	6.515699838	6.761551232	6.283551423	5.8899602	6.472487771	6.383704292	5.240314329	6.181897643	6.820178962	6.416164165	6.330916878	6.512542955	5.719731057	6.329123596	6.803485376	6.300123725	4.472487771	5.768184325	6.746850183	7.034523875	6.226893814	4.432959407	4.602884409	5.346956889	5.794415866	3.510961919	7.216260837	5.87036472	5.409390936	6.074676686	5.339850003	6.336283388	5.837943242	6.253611152	6.781359714	6.008988783	6.99095486	6.266786541
ACTB	6.623515741	6.655351829	6.400879436	6.346956889	5.575917361	6.610286657	5.899659026	6.409390936	6.217230716	6.671010241	6.6043679	6.54225805	6.03562391	6.171927354	6.338067798	5.165911939	6.933100475	6.329123596	6.803485376	6.345183447	6.454504938	6.371558863	6.501439145	6.033423002	6.141596278	6.846744023	6.412781525	6.635173947	6.137503524	6.934280594	5.773468928	6.40599236	6.439623138	6.362820526	5.217230716	5.867896464	6.085339669	5.439623138	6.711494907	5.141596278	5.501439145	6.024585638	6.417852515	5.752213368	6.456149035	6.361066489	6.10433666	6.5360529	5.526694846	5.974988112	5.213347282	5.928370323	6.242221395	6.414473836	6.183883459	6.399171094	7.036723106	7.086401646	6.478971805	6.232660757	6.676662335	6.108524457	6.928370323	6.272396509	6.782670659	6.48864354	6.232660757	6.426264755	6.472487771	5.719731057	6.193771743	6.518849829	6.806066226	6.354028938	6.432959407	6.123086751	6.572889668	6.66106548	6.752213368	5.719731057	6.187846909	6.498250868	6.43629512	6.147713722	5.388878339	5.523561956	5.802193217	6.03562391	4.862947248	7.195741293	6.161887682	5.689299161	6.366322214	5.760220946	6.155830172	6.06608919	6.584962501	7.026800059	6.175923742	6.860466259	6.427941333
MYH11	8.318316841	6.266786541	8.721099189	6.972692654	4.572889668	6.607330314	5.074676686	7.718361626	4.930737338	5.807354922	6.332707934	7.888134388	6.276124405	5.692092375	4.744161096	5.357552005	6.279842694	6.829088444	6.680886921	7.268658955	5.776103988	6.118941073	5.485426827	4.862947248	7.089582893	6.346956889	6.971543554	6.277984747	6.12722055	7.038918989	5.981852653	7.020146573	5.539158811	6.539158811	4.716990894	4.44625623	6.777419716	5.053111336	7.048759312	4.255500733	4.655351829	6.240314329	5.51412226	4.902073579	6.6794801	4.87282876	7.081083929	5.757556689	3.485426827	4.632268215	5.469234794	5.705977902	5.977279923	6.015693807	5.741466986	5.181897643	7.421223299	6.287250643	7.521992956	6.50779464	6.816343705	5.802193217	6.191799501	6.51412226	6.350497247	6.452858965	4.491853096	6.397460726	4.935459748	4.078951341	6.45779126	6.841721581	6.203592714	6.343407822	7.046578367	5.419538892	6.139551352	6.903279342	6.809928866	4.078951341	5.125155131	7.090641752	7.608069968	6.447909749	3.419538892	5.026800059	5.87774425	5.385431037	3.277984747	3.837943242	5.812498225	5.409390936	5.638073837	3.935459748	6.885086225	6.941341105	6.263034406	7.01346226	6.694880193	7.498250868	7.019034669
MYH9	7.945443836	6.712870868	8.299208018	7.77807713	5.357552005	7.032321287	5.354028938	6.64385619	6.070389328	5.655351829	6.678071905	7.656067274	5.914086097	7.204571144	5.504620392	6.339850003	6.517275693	6.820178962	6.978424465	6.933100475	6.346956889	5.968090752	5.563768278	6.061776198	7.181897643	6.070389328	7.366322214	6.62935662	6.902073579	6.981852653	6.459431619	6.663913842	5.754887502	6.334496768	6.746850183	5.617651119	7.088523257	5.244125943	6.799605422	5.526694846	5.646738698	6.020146573	6.240314329	5.786596362	6.815063017	6.400879436	6.816343705	6.375039431	4.87282876	6.23457796	5.741466986	6.279842694	6.740118043	6.803485376	6.566815154	6.599912842	7.46515823	6.529820947	7.390598906	6.880195729	7.033423002	6.891176125	5.791814071	5.623515741	6.761551232	6.900866808	5.255500733	6.711494907	5.378511623	4.716990894	6.62058641	7.109569509	6.565292521	6.6395216	7.055282436	5.827819025	6.261154673	6.892391026	7.301953395	4.694880193	6.189824559	7.045486656	7.105384749	6.439623138	5.981852653	4.812498225	6.669593751	6.528258743	4.510961919	4.608809243	6.554588852	6.215290306	6.091699834	4.392317423	6.623515741	7.085339669	6.426264755	7.311975314	7.081083929	7.132371199	6.982993575
FLNA	7.394033895	7.366322214	7.222070355	6.627898616	5.026800059	5.754887502	5.112700133	7.136478518	5.904484098	6.799605422	6.412781525	7.4749227	6.783980414	6.187846909	6.183883459	5.638073837	6.323730338	6.586464526	6.394033895	7.021257621	5.578938713	5.783980414	5.652486495	5.95419631	6.865423978	7.014578465	6.589463893	6.290940402	6.387155718	6.920055055	6.350497247	6.655351829	5.43629512	6.388878339	5.911691582	5.165911939	6.951867504	5.399171094	7.040015679	5.01346226	5.274261661	6.556122818	6.532940288	5.623515741	6.982993575	5.781359714	7.10433666	6.285402219	4.285402219	5.325530332	5.949534933	6.303780748	5.930737338	5.815063017	5.48864354	6.226893814	7.155830172	6.298291731	6.916476644	6.338067798	6.887525271	6.04220656	6.738767837	5.867896464	6.283551423	6.371558863	5.517275693	6.635173947	5.5360529	4.649615459	6.61176256	6.74819285	6.48058827	6.899659026	6.948367232	5.812498225	6.441284272	7.030115331	6.675251386	4.64385619	5.916476644	6.635173947	7.173926932	6.495055528	5.357552005	5.074676686	6.259272487	6.151777655	4.078951341	4.882643049	6.029011087	5.925999419	6.108524457	4.754887502	6.475733431	6.061776198	6.151777655	6.98982022	6.839203788	7.24697806	6.818901676
APOB	6.022367813	5.972692654	6.055282436	6.311067102	7.839833648	5.475733431	7.310158318	4.797012978	7.337175869	6.64096791	5.719731057	4.981852653	5.300123725	5.165911939	7.432124273	6.343407822	6.419538892	6.908092341	5.153805336	4.350497247	7.400025518	7.099084761	7.307428525	6.77478706	6.14974712	5.465974465	6.601399391	6.339850003	6.135452784	6.187846909	5.678071905	5.988684687	7.681589817	8.106432078	7.554588852	8.696272084	6.395748328	8.405566974	5.385431037	4.781359714	7.186857067	6.768184325	5.711494907	8.03562391	5.371558863	5.575917361	6.011227255	5.82527683	7.813781191	7.227856573	7.99830835	6.217230716	6.953032377	6.137503524	7.984133595	5.791814071	4.94016675	5.161887682	6.782670659	7.543805176	5.593951284	6.412781525	5.875288598	7.640244936	6.545350645	6.378511623	6.969242604	6.040015679	7.833522636	7.482202926	6.738767837	5.173926932	6.531381461	7.164906927	5.666756592	7.200653436	7.444600814	6.135452784	8.434211203	8.187352073	7.430452552	7.689997971	4.03562391	7.171927354	8.077883864	8.285864547	7.088523257	5.593951284	8.20701432	5.599912842	7.086401646	5.439623138	6.595443985	7.400025518	6.865423978	7.327328083	6.449561375	4.399171094	6.114783447	5.809928866	6.768184325
ALBU	6.106432078	7.092757141	6.279842694	7.326429487	7.456970381	7.653919873	7.469234794	6.015693807	7.007868243	7.238404739	7.325530332	6.364572432	6.936637939	7.539158811	6.887525271	5.897240426	6.996614715	6.62058641	5.61176256	5.887525271	6.078951341	6.437960088	8.28169825	7.529040056	5.944858446	6.715618859	5.716990894	6.221103725	7.267723052	5.247927513	7.240314329	5.409390936	6.289096702	6.859224162	6.224966365	6.711494907	6.274261661	8.315149562	7.998872454	6.268658955	7.098032083	7.769507291	7.049848549	7.030115331	6.9795681	7.034523875	6.772149591	6.8899602	7.882031608	7.303780748	7.059614856	7.413627929	6.75087444	6.475733431	6.719731057	6.459431619	5.730639956	5.87774425	6.864186145	5.887525271	5.797012978	6.290940402	7.395748328	5.799605422	5.181897643	6.856736756	7.437127844	7.361943774	6.916476644	8.193771743	6.680886921	6.534497434	6.17990909	6.715618859	6.024585638	7.156841525	7.236492618	6.354028938	6.157852169	6.887525271	6.556122818	6.209453366	4.285402219	7.112700133	7.182890893	7.484621527	6.719731057	6.409390936	7.224966365	8.279842694	6.266786541	7.145677455	6.685099172	7.286326727	6.557655155	7.463524373	7.255500733	7.491853096	6.598424761	6.177917792	6.87774425
MYH10	8.550362015	6.9795681	8.540709263	6.912889336	4.822730148	5.981852653	4.972692654	6.693486957	5.357552005	6.417852515	6.623515741	7.842978832	5.949534933	6.139551352	5.078951341	4.862947248	6.083213368	6.965784285	6.696272084	7.223036338	5.736063628	5.894817763	5.040015679	4.972692654	7.493455201	6.521992956	6.506208389	6.718361626	6.490249211	6.785288981	5.935459748	7.059614856	5.820178962	6.578938713	5.197708158	4.560714954	7.027905997	5.031218731	7.099084761	4.548436625	5.266786541	5.817623258	5.791814071	4.95419631	6.776103988	5.48864354	7.208478242	6.30560579	3.572889668	5.06608919	5.554588852	6.085339669	6.226893814	6.472487771	5.809928866	5.381975479	7.521207816	6.209453366	7.452035274	6.655351829	7.137503524	6.203592714	6.112700133	6.247927513	6.334496768	6.451211112	4.590961241	6.207502459	4.986410935	4.307428525	6.369815424	6.745506266	6.517275693	6.955359305	6.623515741	5.548436625	6.193771743	6.789207575	6.798309782	4.044394119	5.108524457	7.128252152	7.844862656	6.033423002	3.925999419	5.137503524	6.327328083	5.539158811	3.797012978	4.193771743	5.683696454	5.409390936	5.697662633	4.185866545	6.824004051	6.346956889	6.232660757	6.613236955	6.976134473	7.653203362	6.986410935
PGBM	6.969242604	6.984133595	6.916476644	6.571373436	4.578938713	6.461070114	5.587964989	6.749534268	7.399171094	6.232660757	6.037821465	6.891176125	6.163901214	6.04220656	7.227856573	7.345183447	6.852997588	5.744161096	6.040015679	7.775445674	6.422905743	5.66106548	6.659639187	6.422905743	7.180903709	7.033423002	6.002252452	6.951867504	5.981852653	6.540709263	6.927185358	7.196725061	5.678071905	6.01346226	6.958842675	4.776103988	7.310158318	6.244125943	5.820178962	7.51412226	6.903279342	6.279842694	7.071462363	5.539158811	6.66106548	5.669593751	6.632268215	6.574404309	4.827819025	5.727920455	6.303780748	6.441284272	6.598424761	5.860466259	5.224966365	6.518849829	7.05202456	6.916476644	5.752213368	5.882643049	6.783980414	5.754887502	6.528258743	5.703211467	6.673839056	6.416164165	6.100136671	6.817623258	6.199672345	6.97384084	6.203592714	6.725195817	6.850499414	6.098032083	6.287250643	5.867896464	6.123086751	7.288173968	6.063934306	5.053111336	6.116863758	5.862947248	7.297374861	6.666756592	6.112700133	4.765534746	6.230741003	6.48864354	4.385431037	4.791814071	5.602884409	6.205548911	6.553053253	5.378511623	6.020146573	6.43629512	6.040015679	5.974988112	6.44625623	6.562242424	5.504620392
PGS1	6.807354922	6.965784285	6.498250868	6.350497247	4.578938713	5.62058641	4.364572432	5.554588852	7.836050355	6.678071905	6.45779126	6.268658955	7.28169825	5.760220946	7.036723106	6.287250643	6.753551055	5.48864354	5.867896464	7.230741003	6.10433666	5.578938713	6.559185866	6.309248961	6.958842675	7.36719631	5.850499414	6.781359714	5.837943242	5.933100475	7.61176256	6.817623258	6	6.125155131	5.958842675	4.329123596	7.126188211	5.510961919	7.386293635	5.201633861	7.452858965	5.456149035	7.346956889	5.292781749	7.584210901	5.057450272	7.479780264	7.610286657	2.906890596	4.412781525	5.822730148	8.128252152	6.826548487	5.904484098	4.776103988	7.015693807	6.562242424	6.517275693	6.263034406	5.617651119	7.330916878	6.147713722	6.444600814	5.925999419	6.375039431	7.23457796	5.442943496	8.012903833	6.846744023	6.811214118	7.39145842	7.050936965	7.396604781	6.38024459	6.818901676	6.540709263	6.472487771	7.465974465	6.261154673	4.797012978	5.539158811	7.027905997	7.585713709	6.737416366	2.765534746	4.224966365	6.74281467	5.599912842	4.008988783	3.963474124	5.129283017	6.708739041	5.765534746	4.897240426	7.331812684	5.364572432	5.923624611	5.459431619	7.978424465	7.154818109	5.847996907
VIME	6.28169825	6.566815154	6.301953395	6.330916878	5.185866545	6.87036472	6.274261661	6.464341533	6.452858965	7.312882955	6.882643049	6.700439718	6.292781749	7.20261362	6.656782364	7.053111336	7.186857067	6.03562391	7.083213368	6.988684687	7.027905997	6.424586226	6.623515741	6.515699838	6.334496768	7.5360529	6.705977902	7.089582893	6.559185866	6.619119511	7.240314329	6.537606691	6.470862199	6.314696526	6.026800059	6.400879436	6.272396509	6.240314329	6.73470962	6.033423002	6.584962501	6.257387843	6.707359132	6.255500733	6.793115555	7.085339669	6.037821465	7.00337736	5.255500733	5.822730148	5.752213368	6.712870868	6.523561956	6.599912842	5.857980995	6.917670434	6.809928866	7.007868243	6.485426827	6.451211112	6.770829046	6.361066489	7.20261362	6.026800059	6.886306263	6.30560579	6.314696526	6.369815424	6.129283017	5.626439137	6.43629512	6.94602899	6.385431037	6.617651119	6.545350645	6.454504938	6.804776378	7.175923742	5.850499414	5.581953751	6.8008999	6.029011087	7.068240861	6.575917361	6.303780748	4.958842675	6.10433666	6.076815597	4.812498225	4.738767837	6.518849829	6.378511623	6.633721813	5.300123725	6.9795681	5.770829046	6.451211112	7.0725346	6.098032083	6.409390936	6.133399125
FINC	5.50779464	5.617651119	6.279842694	6.51412226	6.699051844	5.485426827	7.11997861	6.845490051	7.010108453	6.081083929	6.015693807	6.477353527	7.014578465	6.352264173	7.778734244	8.211888295	6.701826258	6.586464526	6.167919866	6.964629667	6.974988112	6.58044702	6.593951284	6.081083929	7.083213368	5.942514505	6.539158811	6.359310317	7.086401646	6.033423002	7.091699834	7.087462841	6.422905743	7.03562391	7.326429487	5.974988112	7.442114122	7.279842694	6.102238194	7.068240861	6.714245518	7.640244936	6.730639956	6.303780748	6.554588852	5.958842675	7.011227255	6.66106548	6.912889336	6.665335917	7.737416366	6.411087227	6.338067798	5.8899602	6.908092341	6.439623138	5.87282876	6.686500527	5.875288598	6.996614715	6.694880193	7.026800059	5.935459748	7.133399125	6.658211483	6.815063017	7.107478647	6.510961919	6.649615459	8.054739967	6.849248703	6.799605422	6.517275693	6.813781191	6.581953751	6.685099172	6.247927513	6.605849867	6.883865155	6.857980995	6.756222713	6.187846909	6.050936965	6.888743249	6.482202926	6.449561375	7.412781525	6.836681593	6.8008999	4.925999419	6.495055528	6.294620749	7.699051844	6.876516947	6.617651119	6.851749041	6.318316841	5.638073837	6.851749041	5.746850183	6.325530332
AHNK	7.074676686	6.716990894	6.571373436	6.700439718	5.54225805	6.715618859	6.087462841	6.619119511	6.268658955	7.090641752	6.839203788	6.669593751	6.803485376	7.627898616	6.737416366	6.385431037	7.034523875	6.074676686	7.301953395	6.659639187	6.882643049	6.392317423	6.48703608	6.574404309	6.599912842	7.146695948	7.045486656	6.704595348	6.521992956	7.016808288	6.495055528	6.251719093	6.091699834	6.14363831	6.145677455	6.093813673	6.563768278	5.95419631	6.64096791	5.977279923	5.807354922	6.255500733	6.385431037	6.074676686	6.61176256	7.110613806	6.187846909	6.61176256	5.108524457	6.240314329	6.017921908	6.653919873	6.201633861	6.327328083	5.933100475	7.283551423	7.076815597	6.790511412	6.689299161	6.669593751	6.836681593	6.147713722	6.441284272	5.733354341	7.04220656	6.432959407	5.928370323	6.147713722	5.786596362	5.529820947	5.892391026	7.319220503	6.28169825	6.700439718	6.722466024	6.560714954	6.307428525	7.016808288	6.499845887	5.54225805	6.854245054	6.478971805	6.62497818	6.50779464	6.17990909	5.209453366	6.155830172	6.020146573	4.95419631	6.110613806	7.381110294	6.903279342	6.529820947	5.263034406	6.251719093	6.368069877	6.760220946	7.667466405	6.165911939	6.638073837	6.215290306
APOE	6.312882955	6.470862199	6.083213368	6.87282876	6.789207575	5.388878339	6.48864354	4.240314329	6.332707934	7.231701199	7.080018029	5.82527683	8.189824559	6.044394119	6.705977902	6.608809243	5.830356747	6.916476644	5.786596362	7.428778891	6.987548259	6.197708158	7.428778891	6.602884409	6.501439145	6.596935142	5.61176256	6.61176256	6.422905743	6.044394119	6.656782364	6.441284272	6.894817763	7.016808288	7.721099189	7.195741293	6.240314329	6.571373436	6.659639187	6.797012978	7.637349411	6.769507291	6.995484519	7.187846909	6.23457796	5.375039431	6.820178962	7.132371199	6.510961919	6.261154673	6.498250868	7.730639956	7.727920455	6.452858965	6.201633861	6.923624611	5.478971805	5.240314329	6.011227255	6.312882955	6.95419631	7.346956889	6.635173947	6.123086751	5.942514505	6.159871337	6.638073837	6.682292371	7.651051691	5.744161096	7.655351829	5.026800059	7.396604781	6.726558779	6.608809243	7.288173968	7.026800059	6.402585758	6.279842694	6.586464526	6.5360529	7.247927513	5.82527683	7.166916252	7.504620392	7.405141463	7.936637939	6.797012978	7.596189756	5.232660757	5.213347282	7.365447589	5.815063017	6.085339669	7.62497818	5.725195817	6.429615964	5.491853096	7.842978832	6.242221395	6.766860144
CO3	5.563768278	6.61176256	5.557655155	6.745506266	8.567575869	7.335390355	7.739443098	6.151777655	6.856736756	6.46760555	7.408542042	5.551516018	7.575161033	6.444600814	6.82527683	7.328226119	6.28169825	6.419538892	5.523561956	6.309248961	6.30560579	7.519636253	7.458611673	7.030115331	6.94602899	6.21916852	6.195741293	6.539158811	6.842978832	5.827819025	7.117902789	7.607330314	6.607330314	6.852997588	6.627898616	6.454504938	7.67030217	7.252665432	6.472487771	7.212374788	6.987548259	7.268658955	6.87897051	6.943686952	6.74819285	5.786596362	7.66035251	6.477353527	7.581200582	6.683696454	8.74819285	7.185866545	6.849248703	6.131342539	6.566815154	6.716990894	6.011227255	6.029011087	6.242221395	5.741466986	6.543805176	6.896029603	6.707359132	7.981852653	5.617651119	6.193771743	6.916476644	6.686500527	7.125155131	8.022922589	6.938991439	6.861707287	6.948367232	6.904484098	6.48864354	6.920055055	6.754887502	6.851749041	6.359310317	6.933100475	6.439623138	6.893604905	5.232660757	7.235535607	6.608809243	7.596189756	7.494255587	6.493455201	8.153298683	7.213347282	5.993221467	7.382840144	6.694880193	7.088523257	6.475733431	6.630813152	7.133399125	6.253611152	7.025693274	6.66106548	6.87036472
LMNA	7.48703608	6.802193217	7.002252452	6.651051691	4.916476644	6.447909749	5.462706751	7.01346226	6.106432078	6.867896464	6.385431037	7.558420713	6.491853096	6.995484519	6.419538892	6.116863758	6.818901676	6.137503524	6.707359132	6.834154981	6.523561956	6.46760555	5.669593751	5.974988112	6.815063017	6.815063017	7.060695932	6.62497818	6.752213368	6.301953395	6.692092375	6.949534933	5.590961241	6.40599236	6.193771743	5.426264755	6.87036472	5.504620392	6.972692654	4.995484519	5.584962501	6.381975479	6.636624621	5.368069877	7.247927513	6.75087444	6.586464526	6.802193217	4.255500733	6.236492618	6.307428525	6.840463234	6.562242424	6.596935142	6.261154673	7.373300197	7.131342539	6.704595348	7.285402219	7.153805336	7.377644358	6.560714954	6.373300197	6.417852515	6.700439718	6.988684687	5.375039431	6.974988112	5.711494907	5.145677455	6.503030646	7.117902789	6.849248703	6.958842675	7.023477152	6.461070114	6.226893814	6.812498225	6.45779126	4.797012978	6.431288654	7.169925001	7.394891366	6.584962501	4.916476644	4.694880193	5.638073837	6.081083929	4.026800059	4.121015401	6.619119511	6.232660757	6.357552005	4.270528942	7.244125943	6.040015679	6.512542955	6.648177796	6.61176256	6.701826258	6.43629512
ACTBL	6.846744023	6.452858965	6.329123596	6.722185541	5.432959407	7.053144686	5.958842675	5.626439137	5.697662633	6.323730338	6.529820947	7.172360249	6.554588852	6.519381047	7.087672787	6.694287951	6.675251386	6.577428828	7.064001428	6.427941333	6.301953395	6.432959407	6.537811419	6.976906487	6.574404309	7.300443681	6.874250154	6.717865984	5.744161096	7.321928095	6.843143196	6.618726709	6.163564228	6.860466259	5.465974465	5.799605422	6.478311374	5.485426827	6.562006309	6.447471685	6.719647293	6.640057588	6.938991439	6.185517836	6.386639613	6.361066489	6.599912842	7.382840144	4.638073837	5.548436625	6.535409109	5.169925001	6.439623138	6.247927513	6.487887418	6.923624611	7.086401646	6.780047576	6.510959307	6.372240337	6.383704292	6.203999386	7.627169061	6.521992956	7.719046504	6.690349298	6.079483845	6.537914008	6.321928095	5.930737338	6.589463893	6.595443985	6.638073837	6.806042355	6.475670192	5.475733431	5.986410935	6.914542513	6.563768278	4.343407822	6.171927354	6.46760555	7.074676686	6.414473836	5.364572432	3.981852653	5.830356747	6.247927513	3.678071905	7.109569509	6.283551423	5.918863237	6.452858965	5.217230716	6.663913842	5.336283388	6.685099172	6.345183447	6.417852515	6.86913112	6.159871337
FIBB	4.902073579	6.307428525	5.459431619	6.048759312	8.644577357	4.087462841	5.977279923	5.422905743	5.655351829	4.727920455	6.619119511	4.270528942	7.79246496	6.575917361	6.617651119	10.15557722	5.587964989	7.490249211	4.655351829	9.127994321	6.482202926	5.399171094	6.630813152	6.569855608	8.62058641	4.666756592	5.596935142	5.06608919	4.87774425	6.029011087	7.435461914	8.275193334	7.156841525	6.272396509	6.74819285	6.6395216	7.263973355	6.106432078	5.906890596	10.84572525	7.464341533	6.332707934	6.665335917	6.54225805	6.58044702	4.887525271	6.285402219	6.290940402	8.047669251	5.981852653	6.94016675	7.86727874	7.398316163	5.822730148	6.523561956	6.277984747	4.786596362	4.64385619	5.605849867	6.495055528	7.437127844	8.110091752	4.749534268	7.171927354	5.678071905	5.752213368	6.12722055	6.301953395	7.047669251	6.768184325	7.157852169	5.255500733	7.088523257	6.004501392	7.485426827	6.994353437	5.581953751	6.400879436	6.532940288	6.924812504	5.984133595	5.649615459	4.95419631	6.383704292	7.329123596	9.032045727	7.62497818	8.036723106	8.379378367	5.303780748	6.378511623	8.579693063	5.205548911	7.063934306	6.786596362	6.678071905	6.240314329	4.285402219	7.005624549	4.666756592	6.525129251
CLUS	6.757556689	6.444600814	6.658211483	6.587964989	6.469234794	5.442943496	5.855491443	5.022367813	6.474111514	6.966937979	6.73470962	5.635173947	7.644577357	5.87282876	6.279842694	7.591709333	5.733354341	6.125155131	5.532940288	7.224966365	6.626439137	6.292781749	6.5360529	6.469234794	6.557655155	6.368069877	5.50779464	6.201633861	6.089582893	6.017921908	6.821455119	7.310158318	6.802193217	6.786596362	6.710117632	6.861707287	6.456149035	7.054197294	6.786596362	8.653203362	8.199181549	6.510961919	6.995484519	6.704595348	6.635173947	5.381975479	7.164906927	7.699745948	6.185866545	5.623515741	6.73470962	7.791162889	6.941341105	7.174925683	5.381975479	7.089582893	5.64385619	5.62935662	6.368069877	6.283551423	7.476543706	7.386293635	6.28169825	6.526694846	5.94016675	6.0725346	6.215290306	6.761551232	6.897240426	6.703211467	8.192292814	5.419538892	7.501439145	6.809928866	6.777419716	6.934280594	7.242221395	6.938991439	5.911691582	5.799605422	6.21916852	6.532940288	6.442943496	7.019034669	7.631540867	7.007868243	7.782670659	7.185866545	8.015136244	4.738767837	5.201633861	8.246027981	6.28169825	5.716990894	7.613236955	5.918863237	6.004501392	4.862947248	7.590961241	6.441284272	6.465974465
LUM	6.098032083	7.314696526	5.965784285	6.64096791	5.048759312	5.703211467	4.566815154	6.746850183	7.701133155	6.114783447	6.741466986	6.251719093	6.929554316	5.995484519	6.696272084	5.560714954	6.649615459	5.311067102	5.786596362	6.601399391	6.17990909	5.232660757	6.431288654	6.725195817	6.399171094	7.351380981	6.442943496	7.109569509	5.694880193	5.840463234	7.564530601	6.528258743	6.147713722	5.933100475	5.760220946	4.145677455	6.6395216	5.201633861	7.394033895	4.560714954	6.961160258	5.074676686	7.162894799	5.422905743	7.422905743	5.462706751	6.911691582	7.321928095	3.10433666	4.554588852	5.551516018	8.383704292	6.663913842	5.40599236	5.044394119	7.330916878	6.574404309	6.797012978	5.716990894	5.944858446	7.293701542	6.017921908	6.54689446	5.526694846	6.456149035	7.164906927	5.43629512	8.246027981	6.915281866	7.176921112	7.347842794	7.232660757	7.498250868	6.48864354	6.402585758	6.596935142	6.596935142	7.459431619	6.261154673	5.177917792	5.783980414	6.424586226	7.559185866	6.412781525	2.584962501	4.590961241	6.898450233	4.94016675	4.112700133	5.99095486	5.722466024	6.543805176	6.093813673	5.177917792	7.203592714	5.426264755	6.129283017	5.762880293	7.627898616	7.530601415	5.744161096
THRB	6.816343705	5.121015401	6.766860144	6.782670659	7.722466024	4.744161096	6.894817763	5.129283017	7.414473836	4.930737338	5.004501392	5.736063628	9.308111458	5.321928095	6.112700133	8.008988783	5.057450272	7.061776198	4.837943242	7.545350645	5.832890014	7.839833648	5.984133595	5.783980414	9.419960178	4.968090752	5.916476644	4.491853096	7.672425342	5.442943496	8.194264383	8.860776616	5.66106548	8.397888508	6.602884409	6.247927513	8.345627012	7.336283388	5.529820947	8.05853297	7.309248961	7.224001674	9.039467438	5.892391026	7.565292521	5.686500527	8.474111514	7.233619677	6.48864354	5.053111336	8.417430613	5.933100475	6.808642468	7.859224162	4.925999419	6.412781525	4.153805336	5.008988783	6.933100475	4.87282876	6.503030646	6.217230716	4.902073579	7.667466405	4.517275693	6.362820526	5.867896464	5.711494907	5.554588852	8.289557848	7.044394119	6.447909749	6.543805176	7.062855655	6.867896464	6.746850183	5.332707934	6.769507291	5.141596278	6.87774425	5.925999419	7.331812684	4	7.90147032	6.918863237	6.593951284	7.933690655	8.466790238	7.461070114	6.165911939	4.584962501	8.957392293	5.529820947	5.526694846	7.24697806	5.545350645	6.191799501	4.412781525	8.085339669	5.074676686	7.102238194
TLN1	6.953032377	7.269594252	6.786596362	6.844234988	5.832890014	6.444600814	5.942514505	7.123086751	5.916476644	6.781359714	6.988684687	7.11997861	7.068240861	6.866660751	6.133399125	5.935459748	6.44625623	6.320123598	6.806066226	6.359310317	6.135452784	6.385431037	5.961160258	6.602884409	6.539158811	7.434628228	6.665335917	6.549977143	6.599912842	6.94016675	6.098032083	6.399171094	6.108524457	6.394033895	6.765534746	6.314696526	6.422905743	5.961160258	6.844234988	6.024585638	5.906890596	6.568336182	6.424586226	6.499845887	6.437960088	6.553053253	6.62058641	6.350497247	5.419538892	6.087462841	5.988684687	6.177917792	6.330916878	6.175923742	5.995484519	6.283551423	7.437127844	6.498250868	6.602884409	6.534497434	6.449561375	6.635173947	7.118941073	5.977279923	6.716990894	6.23457796	6.48864354	6.504620392	5.820178962	5.311067102	6.387155718	6.560714954	6.290940402	6.87282876	6.587964989	6.217230716	6.451211112	6.375039431	6.770829046	5.809928866	6.474111514	6.48703608	6.424586226	6.48058827	6.421223299	5.426264755	6.21916852	6.454504938	5.504620392	5.911691582	6.6395216	6.06608919	6.563768278	5.523561956	6.355791547	6.607330314	6.531381461	6.839203788	6.352264173	6.62058641	6.705977902
