	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
FA10	6.910492832	4.847996907	7.491853096	6.400879436	6.944858446	5.802193217	6.715618859	6.399171094	3.655351829	7.046578367	4.357552005	4.64385619	5.972692654	7.36018867	5.189824559	6.5360529	8.990671284	5.10433666	6.189824559	4.678071905	7.461888664	6.6043679	5.623515741	5.773468928	9.516093963	5.485426827	6.995484519	4.87774425	4.602884409	8.965495717	9.611024797	5.22881869	8.116863758	7.813781191	6.813781191	9.819221104	7.272396509	5.177917792	10.35766196	6.949534933	7.057450272	8.260213887	5.632268215	8.463933011	5.040015679	8.631904587	7.619119511	5.145677455	5.193771743	8.1048608	5.949534933	6.804776378	6.923624611	7.976134473	3.897240426	7.381975479	3.44625623	4.744161096	7.208478242	4.523561956	6.6794801	5.181897643	4.852997588	6.703211467	4.716990894	6.613236955	5.236492618	6.439623138	5.491853096	7.415319248	6.725195817	6.503030646	6.057450272	6.897240426	6.693486957	6.608809243	6.289096702	6.081083929	7.286326727	7.247927513	4.968090752	4.632268215	5.217230716	7.321026129	4.485426827	8.083213368	5.746850183	5.593951284	7.151777655	8.496654083	5.181897643	6.091699834	9.091699834	4.232660757	5.655351829	6.976134473	4.837943242	7.795065583	6.274261661	5.185866545	4.224966365	8.133912814	6.766860144	5.129283017	4.791814071
FA12	6.048759312	6.057450272	5.914086097	5.504620392	7.525129251	7.39145842	7.17292749	6.834154981	6.141596278	6.121015401	7.108524457	7.866660751	5.862947248	6.876516947	6.397460726	6.518849829	5.977279923	6.834154981	7.252665432	6.5360529	5.44625623	5.942514505	7.67030217	6.997744026	6.008988783	6.361066489	6.526694846	6.343407822	5.626439137	6.778734244	6.015693807	7.282625134	7.068240861	7.23457796	6.008988783	6.339850003	7.447909749	6.776103988	7.21042783	6.623515741	7.572889668	6.808642468	5.906890596	7.377644358	6.517275693	7.658211483	7.03562391	7.170926525	6.461070114	7.495855027	6.95419631	6.827819025	6.94016675	6.289096702	6.185866545	6.493455201	6.778734244	6.318316841	7.346070441	5.789207575	6.642412773	7.123086751	7.217230716	7.468420402	5.526694846	6.364572432	6.133399125	6.82527683	7.563005553	7.826548487	7.299208018	7.198690586	6.165911939	7.038918989	7.250772132	7.071462363	7.311975314	7.968666793	6.722466024	5.904484098	7.653919873	8.157852169	6.223036338	6.373300197	5.422905743	6.736063628	6.832890014	7.034523875	7.343407822	6.298291731	8.220620167	7.06608919	5.485426827	6.183883459	7.682994584	7.369815424	6.787902559	5.412781525	7.160879862	7.038918989	6.478971805	5.350497247	6.529820947	6.756222713	6.373300197
F13A	4.614709844	6.526694846	6.6794801	7.406842755	4.925999419	7.086401646	6.540709263	5.548436625	6.368069877	6.780047576	4.776103988	7.524345816	6.432959407	6.397460726	8.558037985	5.329123596	6.474111514	7.20261362	6.100136671	7.626439137	6.525129251	6.592457037	6.551516018	8.081083929	6.824004051	4.882643049	6.390598906	6.770829046	7.077883864	6.757556689	5.452858965	5.357552005	5.560714954	6.388878339	7.207502459	5.928370323	5.189824559	7.572131751	6.151777655	5.336283388	4.277984747	6.409390936	6.925999419	6.441284272	8.111657346	5.311067102	7.683696454	6.923624611	6.636624621	4.733354341	6.477353527	6.287250643	7.618385502	6.159871337	5.733354341	8.09434165	6.896029603	7.135452784	5.703211467	6.432959407	6.697662633	7.677367292	5.852997588	4.882643049	6.826548487	8.47208155	6.059614856	7.341630009	4.963474124	5.177917792	6.758889433	6.608809243	5.339850003	6.968090752	6.821455119	7.554588852	6.840463234	6.114783447	6.539158811	5.554588852	6.696272084	5.840463234	7.859224162	6.512542955	6.008988783	6.191799501	7.719046504	5.762880293	6.704595348	6.442943496	5.14974712	6.58044702	6.499845887	8.083213368	6.246027981	6.098032083	5.532940288	7.663202279	7.047669251	6.977279923	8.106432078	7.421223299	6.255500733	7.06608919	5.169925001
F13B	5.791814071	5.06608919	5.83300508	6.14363831	9.388897579	5.64385619	6.409390936	6.929554316	5.794415866	6.110613806	6.303597038	7.293701542	6.369815424	6.921245889	4.968090752	6.703793009	7.13442632	5.125155131	6.556122818	5.510961919	6.956521363	5.161887682	7.791162889	5.807354922	6.026175206	6.338067798	5.773468928	6.566449189	6.783980414	6.542303205	6.786596362	8.362820526	6.177917792	7.046578367	7.828453874	4.008988783	7.747521673	6	9.411087227	4.626439137	6.846744023	6.598486819	7.318316841	6.440494033	4.608809243	6.397460726	6.187846909	8.593577867	8.124310481	7.242221395	6.083213368	7.608069968	6.610286657	6.135452784	6.321928095	6.43629512	5.66106548	6.465974465	5.121015401	6.137503524	7.259272487	9.230260665	5.820070882	6.226893814	6.083199028	6.242471781	6.656782364	5.984133595	8.447909749	7.527477006	6.802193217	6.226893814	6.778734244	6.163901214	6.314696526	7.029011087	8.773468928	6.820178962	6.839203788	5.961160258	7.214319121	6.741466986	7.906890596	6.161887682	5.57865421	7.448735798	9.542451531	9.181152257	5.778734244	8.611393726	9.855024173	5.797012978	6.318316841	5.865423978	6.181897643	5.165911939	7.454946188	6.58345891	6.338067798	6.876675133	5.371558863	6.777419716	6.178122543	6.537606691	5.674798479
CO1A1	5.022367813	4.781359714	6.139551352	6.114783447	5.133399125	4.972692654	4.802193217	6.916476644	6.534497434	7.387155718	6.312882955	5.741466986	6.236492618	7.961739073	5.590961241	6.886306263	6.891176125	5.465974465	5.169925001	5.995484519	5.832890014	4.694880193	4.995484519	5.296457407	6.131342539	6.551516018	6.470862199	6.191799501	6.307428525	8.285402219	5.469234794	5.520422249	5.689299161	6.614709844	6.510961919	7.254556252	5.385431037	5.022367813	5.482202926	5.809928866	5.635173947	7.177917792	6.008988783	6.411087227	5.070389328	8.899054756	6.089582893	3.459431619	5.626439137	7.250772132	5.933100475	6.512542955	5.057450272	5.652486495	5.181897643	7.673839056	5.343407822	6.421223299	5.100136671	9.256680466	6.30560579	4.44625623	6.635173947	4.760220946	5.48864354	6.74819285	6.48864354	6.341630009	6.201633861	5.802193217	7.180903709	6.790511412	6.824004051	6.427941333	7.038918989	6.171927354	6.257387843	7.191799501	5.894817763	6.470862199	6.155830172	5.137503524	5.923624611	6.672425342	6.366322214	6.125155131	5.251719093	3.62058641	6.809928866	5.722466024	3.797012978	4.738767837	6.729280846	5.802193217	6.087462841	5.209453366	5.221103725	6.992088609	5.783980414	4.94016675	4.749534268	7.213347282	6.426264755	6.696272084	7.896029603
CO3A1	4.770829046	4.632268215	5.968090752	6.087462841	4.655351829	4.66106548	4.66106548	6.776103988	6.417852515	7.293701542	6.155830172	5.361066489	6.002252452	6.474111514	5.666756592	5.988684687	6.6794801	4.925999419	4.738767837	5.475733431	5.730639956	3.847996907	5.108524457	4.66106548	6.411087227	5.638073837	5.416164165	5.666756592	5.388878339	8.557655155	5.517275693	4.935459748	5.121015401	6.812498225	6.230741003	6.887525271	5.475733431	4.523561956	4.882643049	5.697662633	5.432959407	7.147713722	5.346956889	6.123086751	4.672425342	8.692789835	6.452858965	2.807354922	5.06608919	7.54225805	5.539158811	6.986410935	5.236492618	5.626439137	5.01346226	7.978424465	4.94016675	6.491853096	4.972692654	9.77807713	6.517275693	4.944858446	6.483815777	4.827819025	4.94016675	7.154818109	6.375039431	6.483815777	5.388878339	4.812498225	7.521207816	6.617651119	6.354028938	6.478971805	7.148730779	6.490249211	6.106432078	6.807354922	5.652486495	6.687900522	5.752213368	5.274261661	5.638073837	6.656782364	6.626439137	6.426264755	4.529820947	3.432959407	6.883865155	5.703211467	4.03562391	4.87282876	6.969242604	5.947198584	6.48058827	4.977279923	4.439623138	7.373300197	6.87774425	5.03562391	3.62058641	7.299208018	7.031218731	6.797012978	7.875902903
CO4A1	6.789207575	4.906890596	7.691394579	6.824004051	6.766860144	5.43629512	5.705977902	6.976134473	5.87774425	6.768184325	6.151777655	4.602884409	6.456149035	4.716990894	4.44625623	7.407692649	6.994353437	5.754887502	6.283551423	5.768184325	5.762880293	5.048759312	6.462706751	5.675251386	6.62497818	6.085339669	6.381975479	6.651051691	5.887525271	7.754219433	5.617651119	5.812498225	5.918863237	7.330916878	5.626439137	7.41869595	6.244125943	4.744161096	6.703211467	7.024585638	7.470862199	6.944858446	6.587964989	6.332707934	5.43629512	7.928962441	4.852997588	4.145677455	6.173926932	7.492654371	5.336283388	5.395748328	5.778734244	6.098032083	4.584962501	6.593951284	5.336283388	5.822730148	6.696272084	7.739443098	7.238404739	5.217230716	6.114783447	5.635173947	6.14974712	6.362820526	6.740118043	5.498250868	6.765534746	6.87774425	7.338959175	6.716990894	5.988684687	6.266786541	6.323730338	6.478971805	5.963474124	6.559185866	7.165911939	7.474111514	7.997744026	5.478971805	6.118941073	5.736063628	6.512542955	6.58345891	5.217230716	4.177917792	5.736063628	5.733354341	3.776103988	3.655351829	7.139551352	5.416164165	7.494255587	7.267723052	6.388878339	5.862947248	7.483009577	5	4.614709844	6.962317655	6.916476644	5.87036472	6.574404309
CO5A1	6.110613806	5.371558863	6.400879436	6	6.059614856	5.318316841	5.375039431	7.287250643	5.412781525	7.033423002	6.632268215	5.632268215	6.545350645	6.211401637	5.449561375	8.106955457	7.112700133	5.708739041	5.714245518	5.885086225	5.911691582	5.744161096	5.757556689	5.722466024	6.253611152	6.559185866	6.300123725	7.616916363	5.974988112	7.702519029	6.102238194	6.0725346	6.015693807	6.923624611	6.257387843	6.933100475	5.87774425	5.566815154	5.100136671	6.512542955	6.94016675	6.605849867	6.475733431	6.82527683	5.399171094	7.907491593	6.562242424	4.754887502	5.9795681	7.58345891	5.906890596	5.799605422	5.830356747	5.61176256	5.50779464	6.58345891	5.608809243	6.383704292	5.944858446	7.933100475	6.417852515	5.300123725	6.456149035	5.942514505	6.147713722	6.14974712	7.016808288	5.705977902	6.799605422	7.061776198	6.936637939	6.892391026	7.315602457	6.371558863	6.501439145	6.46760555	6.185866545	6.839203788	6.318316841	6.760220946	7.004501392	6.008988783	6.249824549	6.09592442	6.040015679	6.54689446	5.786596362	4.837943242	6.978424465	5.587964989	5.686500527	5.66106548	6.978424465	5.221103725	6.562242424	6.462706751	5.958842675	6.362820526	6.642412773	5.545350645	4.935459748	6.526694846	6.962317655	6.668175869	7.354028938
CO6A1	5.754887502	6.388878339	6.608809243	6.456149035	6.048759312	4.760220946	6.553053253	6.64385619	7.481395824	7.87835751	5.95419631	6.024585638	6.680886921	5.791814071	5.968090752	6.12722055	6.757556689	5.8899602	6.62497818	5.40599236	6.738767837	5.632268215	5.689299161	5.914086097	6.14974712	6.053111336	6.230741003	5.526694846	6.452858965	7.176921112	5.897240426	5.716990894	6.343407822	6.472487771	6.017921908	6.462706751	7.070389328	6.30560579	5.545350645	6.83541884	6.020146573	6.888743249	5.711494907	6.557655155	5.663913842	6.404290064	6.776103988	4.350497247	5.626439137	7.181897643	6.397460726	7.044394119	6.159871337	6.451211112	7.218199944	6.397460726	6.006746832	6.283551423	6.572889668	8.075746538	6.802193217	5.880195729	6.532940288	6.744161096	6.133399125	7.382840144	6.070389328	6.867896464	5.875288598	6.050936965	7.345183447	5.880195729	6.512542955	6.268658955	6.687900522	6.676662335	5.904484098	6.725195817	6.885086225	7.115823977	6.803485376	6.274261661	5.510961919	6.155830172	7.972692654	6.044394119	4.510961919	5.419538892	7.322829498	5.617651119	4.336283388	5.692092375	7.182890893	6.359310317	6.596935142	6.716990894	5.354028938	7.961739073	7.019034669	5.765534746	5.498250868	7.161887682	7.17990909	6.822730148	6.630813152
COCA1	5.914086097	6.300123725	6.412781525	6.602884409	4.5360529	5.213347282	4.504620392	5.638073837	4.121015401	8.181897643	4.364572432	5.875288598	5.993221467	6.452858965	5.426264755	6.797012978	7.177917792	6.850499414	5.847996907	4.54225805	6.416164165	6.09592442	6.821455119	6.864186145	6.470862199	7.680183682	5.354028938	5.928370323	5.840463234	5.916476644	6.193771743	4.689299161	7.01234519	4.596935142	3.733354341	6.015693807	5.545350645	6.221103725	6.325530332	7.315602457	6.354028938	6.434628228	5.646738698	7.461070114	4.857980995	5.442943496	7.049848549	4.371558863	6.06608919	5.623515741	6.523561956	6.627898616	6.566815154	6.093813673	5.325530332	6.022367813	6.44625623	5.711494907	5.815063017	4.887525271	6.902073579	6.5360529	6.61176256	5.529820947	6.106432078	7.370687407	4.817623258	6.804776378	6.343407822	7.767522386	6.354028938	4.614709844	5.914086097	6.373300197	5.733354341	6.765534746	5.599912842	5.719731057	7.309248961	7.443772393	6.817623258	5.197708158	5.10433666	6.285402219	6.409390936	6.22881869	5.658211483	5.94016675	5.762880293	5.442943496	4.683696454	3.897240426	6.407692649	4.694880193	5.517275693	5.48864354	4.911691582	6.671010241	5.09592442	6.03562391	4.99095486	6.773468928	6.73470962	6.28169825	7.66035251
COEA1	6.469234794	6.354028938	7.718361626	5.937815169	3.510961919	4.958842675	4.672425342	5.325530332	6.520422249	6.531381461	4.602884409	5.51412226	6.565292521	6.883865155	5.827819025	4.935459748	5.459431619	6.14974712	5.997744026	4.270528942	7.191799501	5.462706751	5.498250868	6.033423002	6.419538892	6.5360529	4.963474124	4.867896464	6.312882955	5.004501392	6.402585758	3.837943242	6.04220656	4.307428525	3.935459748	5.501439145	5.837943242	6.6043679	3.972692654	5.510961919	4.995484519	6.472487771	4.902073579	7.271463028	6.362820526	5.416164165	6.388878339	3.935459748	6.183883459	4.578938713	6.900866808	6.456149035	6.153805336	7.352264173	5.469234794	5.572889668	7.007868243	5.752213368	6.272396509	5.145677455	7.487840034	5.578938713	6.829088444	6.515699838	6.727920455	7.00337736	4.807354922	6.874059203	4.827819025	5.157852169	6.352264173	4.554588852	4.263034406	6.520422249	6.135452784	6.627898616	5.593951284	5.311067102	7.400025518	7.074676686	6.352264173	4.827819025	4.930737338	7.439623138	7.903881846	5.981852653	4.209453366	5.560714954	5.385431037	5.773468928	2.847996907	3.5360529	6.736063628	7.022367813	4.419538892	6.636624621	3.070389328	7.746178381	5.429615964	5.266786541	6.083213368	6.587964989	6.296457407	6.197708158	7.857980995
COFA1	6.118941073	6.004501392	5.730639956	5.778734244	5.078951341	7.176921112	6.757556689	5.880195729	6.247927513	6.723831566	4.906890596	6.51412226	6.859224162	5.925999419	6.151777655	6.327328083	6.165911939	7.037821465	6.346956889	6.529820947	6.429615964	6.627898616	6.87036472	5.928370323	5.495055528	5.974988112	7.520422249	6.754887502	7.272396509	6.6794801	5.87036472	5.892391026	6.125155131	8.017365205	5.426264755	5.984133595	6.169925001	5.523561956	4.822730148	5.83541884	6.478971805	6.207502459	6.727920455	5.965784285	6.680886921	5.078951341	5.83541884	6.298291731	7.632995197	5.799605422	6.710117632	5.700439718	6.024585638	5.719731057	6.753551055	5.963474124	7.026800059	8.199181549	6.224966365	6.722466024	7.185866545	7.14363831	6.421223299	5.510961919	7.369815424	6.635173947	6.316507819	6.139551352	5.703211467	6.534497434	5.995484519	6.474111514	6.861707287	6.562242424	5.770829046	6.782670659	6.240314329	6.6043679	6.249824549	5.54225805	7.611024797	6.607330314	7.116863758	6.663913842	7.174925683	6.261154673	6.364572432	5.255500733	6.711494907	6.244125943	3.897240426	5.626439137	6.723831566	7.123086751	8.399171094	6.485426827	6.189824559	5.937815169	8.354469792	6.14363831	5.857980995	6.040015679	7.087462841	6.82527683	6.336283388
COIA1	7.549977143	7.107478647	7.477353527	6.390598906	6	5.557655155	5.937815169	6.226893814	6.690696444	6.5360529	6.627898616	5.741466986	6.666756592	6.402585758	5.617651119	6.904484098	6.525129251	6.163901214	6.266786541	6.020146573	7.264911693	6.424586226	5.995484519	6.343407822	7.122051448	6.339850003	5.762880293	6.464341533	6.48058827	6.09592442	6.911691582	5.599912842	6.336283388	7.030115331	4.649615459	7.125155131	6.22881869	5.675251386	6.361066489	7.551516018	6.357552005	6.368069877	5.48864354	6.790511412	5.244125943	6.45779126	6.694880193	5.949534933	5.62058641	5.95419631	7.13442632	5.935459748	6.017921908	6.355791547	6.118941073	6.157852169	6.512542955	6.441284272	6.920055055	6.277984747	6.925999419	6.619119511	6.757556689	6.183883459	6.279842694	6.400879436	6.03562391	6.437960088	6.224966365	5.402585758	6.696272084	6.726558779	6.569855608	6.506208389	6.22881869	6.881419908	5.153805336	6.678071905	6.847996907	6.760220946	6.332707934	6.54689446	5.744161096	6.217230716	8.668175869	6.730639956	5.255500733	5.277984747	5.830356747	7.521207816	3.935459748	6.77478706	6.632268215	5.626439137	6.364572432	6.54689446	6.238404739	6.366322214	6.437960088	5.860466259	5.263034406	6.708739041	7.375908263	6.956521363	6.62497818
CO1A2	5.074676686	5.017921908	6.526694846	6.044394119	5.06608919	5.658211483	4.510961919	6.911691582	6.368069877	7.174925683	6.279842694	5.752213368	6.441284272	7.87774425	5.578938713	6.752213368	6.976134473	5.350497247	4.892391026	5.736063628	6.407692649	4.62058641	5.074676686	5.121015401	6.100136671	6.348728154	6.155830172	6.217230716	6.087462841	8.423746229	5.778734244	5.626439137	5.64096791	6.648177796	6.334496768	7.320123598	5.478971805	4.95419631	5.632268215	5.768184325	5.794415866	7.217230716	5.9795681	6.246027981	4.887525271	8.842664622	6.189824559	3.925999419	5.850499414	7.237448996	5.762880293	6.244125943	5.339850003	5.569855608	5.300123725	7.807354922	5.343407822	6.399171094	5.314696526	9.074409099	6.329123596	4.791814071	6.590961241	4.590961241	5.255500733	6.781359714	6.534497434	6.21916852	5.968090752	5.632268215	7.346956889	6.757556689	6.787902559	6.249824549	7.038918989	6.263034406	6.224966365	7.221103725	5.930737338	6.673839056	6.244125943	5.017921908	5.746850183	6.703211467	6.274261661	6.055282436	5.026800059	3.765534746	6.802193217	5.778734244	3.584962501	4.626439137	7.008988783	5.529820947	6.352264173	5.303780748	5.395748328	6.783980414	5.988684687	4.892391026	4.62058641	7.184875343	6.668175869	6.737416366	7.719731057
CO4A2	6.10433666	6.35644269	7.01234519	6.343407822	5.756349045	4.602884409	5.921245889	7.003588741	6.082527389	7.240314329	6.329758628	5.757556689	6.465974465	5.251719093	4.916476644	7.92421868	6.676662335	5.06608919	6.571373436	6.776225562	6.48703608	5.993221467	6.510168448	6.163901214	6.283551423	6.270528942	6.659673601	6.325530332	6.018034311	7.718361626	5.95419631	5.700439718	6.153805336	6.86913112	6.726558779	7.170195589	7.099084761	6.014898376	6.646630686	6.38024459	6.729280846	7.168922782	6.636900457	6.842718183	5.822730148	6.894121264	6.587964989	7.166246652	5.51412226	7.830356747	6.181897643	5.240314329	6.526694846	5.882643049	5.963474124	6.215290306	5.848200412	5.598625925	6.820178962	7.735386783	6.888743249	3.935459748	6.390598906	6.268658955	6.329123596	6.461070114	6.369815424	6.283551423	7.296737965	7.58044702	6.965784285	7.539158811	6.294620749	5.672425342	6.503797268	6.806066226	6.021705955	6.427941333	6.626439137	7.23457796	7.431288654	7.193436078	6.599912842	6.332707934	6.459431619	6.388878339	5.887525271	3.336283388	6.465604701	6.387155718	4.209453366	6.01338915	6.997744026	6.486199448	8.136478518	6.342537373	6.397460726	6.711346651	8.952741247	6.731805868	5.393699673	6.723831566	6.456804086	5.776103988	6.862947248
CO5A2	6.638073837	4.452858965	6.76420813	6.244125943	6.203592714	4.044394119	5.725195817	7.369815424	5.449561375	7.394891366	6.348728154	5.862947248	7.090641752	6.048759312	5.357552005	7.381975479	7.744833837	5.635173947	6.238404739	5.87282876	5.997744026	4.419538892	4.949534933	5.385431037	7.506208389	5.862947248	6.390598906	7.057450272	5.768184325	8.449973986	6.102238194	5.773468928	6	6.449561375	5.9795681	7.54689446	5.584962501	5.100136671	5.711494907	6.447909749	6.482202926	7.28077077	6.577428828	6.958842675	4.378511623	8.313790025	6.874059203	3.40599236	5.472487771	7.408542042	5.935459748	6.048759312	6.346956889	6.157852169	4.95419631	7.169925001	4.161887682	6.081083929	6.301953395	8.739443098	6.98982022	5.240314329	6.171927354	5.193771743	6.046578367	6.753551055	6.944858446	5.928370323	6.43629512	6.181897643	7.528258743	7.026800059	7.87897051	6.903279342	6.826548487	6.303780748	6.381975479	6.490249211	6.560714954	6.787902559	6.341630009	6.714245518	6.078951341	6.421223299	5.94016675	6.601399391	5.157852169	3.419538892	7.038918989	5.469234794	3.817623258	5.791814071	7.115823977	5.181897643	7.076815597	6.323730338	5.815063017	6.682292371	5.409390936	5.361066489	2.5360529	7.015693807	7.315602457	6.517275693	7.422905743
CO6A2	5.459431619	6.381975479	6.995484519	6.633721813	5.409390936	6.399171094	5.683696454	6.821455119	7.34251919	7.880807948	5.173926932	6.419538892	6.589463893	6.197708158	5.857980995	5.899659026	7.184875343	5.977279923	6.605849867	5.526694846	6.749534268	5.744161096	5.048759312	6.0725346	5.680886921	5.902073579	6.545350645	5.462706751	6.240314329	7.069315495	6.09592442	5.296457407	5.949534933	6.525129251	5.965784285	6.300123725	7.054197294	5.984133595	5.680886921	6.969242604	5.850499414	6.881419908	6.151777655	6.240314329	5.523561956	6.646738698	6.859224162	4.892391026	5.381975479	7.62935662	5.897240426	6.918863237	5.882643049	6.083213368	6.94602899	6.596935142	6.044394119	6.327328083	6.498250868	8.074141463	6.856736756	6.309248961	6.562242424	6.741466986	6.238404739	7.171927354	5.469234794	6.886306263	5.887525271	6.002252452	7.426264755	6.364572432	6.531381461	6.394033895	6.806066226	6.782670659	5.711494907	7	6.766860144	7.377644358	7.11997861	6.87774425	5.62058641	6.665335917	8.196725061	6.131342539	4.638073837	6.167919866	7.185866545	4.897240426	3.963474124	5.781359714	7.178913785	6.175923742	6.845490051	6.812498225	5.563768278	8.310612782	7.251719093	5.697662633	5.727920455	7.055282436	7.329123596	6.883865155	6.74281467
CO6A3	5.770829046	6.521992956	7.044394119	6.937815169	5.802193217	6.01346226	6.385431037	6.602884409	8.007307647	7.689299161	5.557655155	6.341630009	6.673839056	5.968090752	7.125155131	5.887525271	7.026800059	6.100136671	6.904484098	5.429615964	7.017921908	5.997744026	5.402585758	6.151777655	6.0725346	6.017921908	6.274261661	5.321928095	6.173926932	7.346956889	5.87774425	5.472487771	6.183883459	6.616181231	5.623515741	6.813781191	6.981852653	6.274261661	5.842978832	6.92243574	5.860466259	6.916476644	5.997744026	6.700439718	6.58345891	6.474111514	7.105384749	4.911691582	5.947198584	7.099084761	6.397460726	7.144658243	6.257387843	6.493455201	7.340740281	6.708739041	6.285402219	6.369815424	6.540709263	7.849248703	6.894817763	6.808642468	6.493455201	6.648177796	5.997744026	7.48703608	5.850499414	7.075746538	5.804776378	6.048759312	7.62058641	5.885086225	6.287250643	6.636624621	6.753551055	6.888743249	6.044394119	6.599912842	7.136478518	7.124121312	6.808642468	6.718361626	6.002252452	6.607330314	7.937226674	6.187846909	4.949534933	5.906890596	7.297374861	5.442943496	4.432959407	6.300123725	7.449561375	7.30560579	7.060695932	6.8008999	5.343407822	8.083213368	7.422905743	5.770829046	6.226893814	7.476543706	6.812498225	6.924812504	6.6395216
CTHR1	6.831623937	6.67775614	7.702519029	6.392317423	4.754887502	5.06608919	5.232660757	6.456149035	6.34793795	6.781359714	5.236492618	5.935459748	6.693486957	6.343407822	6.053111336	6.715618859	5.776103988	6.285402219	5.504620392	6.40599236	6.517275693	5.672425342	6.637616878	5.765534746	6.686500527	7.175923742	6.744161096	7.605849867	6.223036338	8.581953751	6.139551352	6.10433666	6.390598906	6.689299161	4.137503524	7.575161033	4.972692654	6.308728961	6.581953751	6.50779464	7.100136671	6.935459748	5.722466024	6.798309782	5.66106548	6.429615964	6.608809243	6.252269349	5.705977902	6.987548259	6.085339669	6.100136671	5.918863237	5.375039431	5.716990894	6.834154981	6.48033821	6.593951284	6.898450233	5.153805336	7.811214118	5.465974465	6.496654083	6.456149035	6.259272487	7.351380981	6.551516018	6.355791547	7.034523875	6.581953751	6.676662335	7.251719093	7.010108453	6.94602899	6.683696454	6.904484098	6.068240861	7.037821465	6.359310317	6.002252452	6.395748328	5.221103725	6.416164165	7.007868243	6.213347282	6.534497434	4.177917792	4.968090752	5.961160258	5.221103725	5.44625623	6.277993797	6.882643049	5.617651119	6.5360529	5.791814071	5.053111336	5.599912842	5.48864354	6.48058827	5.963140244	6.766860144	6.741466986	7.098032083	7.250772132
C1QA	6.596935142	5.928370323	6.782670659	6.006746832	6.290940402	6.642412773	6.563768278	5.666756592	4.827819025	7.619853147	5.432959407	6.765534746	6.125155131	6.452858965	5.904484098	6.668175869	6.87774425	6.820178962	5.523561956	6.469234794	6.836681593	5.930737338	7.170926525	6.803485376	6.964629667	6.911691582	5.395748328	6.249824549	6.982993575	6.022367813	6.738767837	6.905687849	5.799605422	5.708739041	4.949534933	7.067165427	6.359310317	6.859224162	5.498250868	6.411087227	6.887525271	6.301953395	6.383704292	7.40599236	5.64385619	5.593951284	6.984133595	5.894817763	6.063934306	5.683696454	6.731997787	7.412781525	5.909293086	7.438791853	5.185866545	6.429615964	7.602884409	6.578938713	5.244125943	5.03562391	7.644577357	6.383704292	6.707359132	5.744161096	7.251719093	6.729280846	6.183883459	6.749534268	7.569855608	6.574404309	7.423746229	6.736063628	6.409390936	6.671010241	6.325530332	7.287250643	6.495055528	6.718361626	6.921245889	5.605849867	5.649615459	4.837943242	6.815063017	6.6794801	7.04220656	6.668175869	4.902073579	6.791814071	6.427941333	6.493455201	5.727920455	5.083213368	6.04220656	5.963474124	5.314696526	4.716990894	6.053111336	6.399171094	5.887525271	6.909293086	4.770829046	6.87036472	7.980139578	6.993221467	6.491853096
C1QB	6.938991439	5.100136671	6.464341533	6.181897643	5.632268215	6.355791547	6.361066489	6.022367813	5.14974712	7.087462841	5.292781749	6.607330314	6.596935142	6.451211112	5.736063628	6.806066226	7.703903573	6.708739041	5.112700133	6.6395216	5.95419631	5.526694846	6.936637939	6.662490364	6.842978832	7.117902789	5.791814071	6.371558863	7.225930411	6.015693807	6.94602899	7.162894799	5.510961919	5.850499414	5.217230716	7.374170076	4.749534268	6.58044702	5.44625623	5.5360529	7.046578367	6.493455201	6.857980995	7.303780748	5.432959407	6.153805336	7.171927354	4.887525271	5.569855608	5.993221467	6.694880193	7.13442632	6.112700133	7.912889336	5.181897643	6.320123598	7.359310317	6.804776378	4.638073837	4.935459748	7.790511412	6.037821465	6.977279923	5.581953751	7.20261362	6.821455119	6.596935142	7.019034669	7.832890014	6.498250868	7.696967526	6.686500527	6.970393538	6.87774425	6.569855608	7.599912842	6.470862199	6.798309782	6.794415866	5.820178962	5.970393538	4.906890596	6.897240426	6.807354922	7.292781749	6.797012978	5.255500733	6.181897643	6.509379149	6.100136671	5.99095486	3.744161096	5.575917361	6.029011087	5.736063628	4.632268215	5.875288598	6.244125943	5.004501392	6.730639956	3.925999419	7.361943774	6.980710829	7.088523257	6.491853096
