APOA1	5.247927513	5.381975479	6.249824549	6.100136671	9.037546954	4.887525271	8.395748328	6.981852653	1.925999419	7.287250643	6.587964989	5.711494907	6.666756592	4.270528942	6.240314329	7.251719093	5.730639956	5.951867504	5.053111336	3.837943242	6.802193217	8.485829309	7.438791853	7.102238194	5.581953751	4.902073579	4.749534268	5.947198584	6.061776198	4.472487771	5.605849867	5.725195817	6.048759312	8.527867927	5.232660757	6.874059203	9.599912842	6.020146573	3.10433666	7.682994584	8.462297766	5.617651119	6.03562391	5.617651119	7.845490051	7.093813673	6.447909749	7.265849421	5.842978832	9.144658243	6.006746832	5.040015679	8.83194056	6.10433666	6.247927513	5.942514505	3.797012978	6.371558863	6.94602899	6.383704292	4.738767837	3.307428525	6.383704292	9.511357341	5.339850003	5.303780748	6.758889433	5.9795681	5.977279923	6.627898616	8.183883459	6.024585638	5.332707934	6.948367232	5.087462841	6.12722055	6.749534268	7.045486656	6.855491443	5.336283388	4.655351829	7.327328083	5.388878339	6.523561956	3.807354922	7.220136447	5.074676686	7.521992956	6.416164165	4.0	5.675251386	4.529820947	7.482202926	5.602884409	4.867896464	6.773468928	6.469234794	5.452858965	8.346070441	7.764871591	6.185866545	5.173926932	5.354028938	6.314696526	5.947198584
APOA2	6.230741003	6.432959407	5.857980995	6.94016675	8.297833368	6.359310317	7.894817763	7.579693063	4.09592442	7.365447589	6.61176256	6.292781749	7.133399125	6.230741003	6.716990894	7.11997861	5.904484098	6.451211112	5.902073579	5.01346226	7.04220656	7.248876343	7.837312556	7.271463028	5.855491443	5.956521363	5.491853096	6.714245518	6.816343705	5.754887502	6.159871337	5.916476644	7.223036338	7.364572432	6.414473836	6.171927354	8.972405465	6.87036472	4.336283388	7.273329387	8.13442632	6.5360529	6.633721813	6.211401637	7.747521673	7.407692649	6.837943242	6.663913842	7.452858965	8.638073837	7.355791547	6.153805336	8.242221395	6.290940402	6.485426827	6.592457037	5.083213368	6.191799501	7.438791853	6.526694846	5.988684687	4.902073579	6.776103988	7.99830835	5.649615459	6.026800059	7.613973587	6.417852515	6.787902559	7.129283017	8.319672121	6.881419908	6.687900522	6.956521363	5.958842675	6.485426827	6.290940402	7.338067798	7.203592714	6.426264755	6.055282436	7.831623937	6.139551352	7.045486656	4.10433666	7.556122818	6.452858965	6.715618859	6.704595348	4.925999419	6.193771743	6.708739041	7.037821465	6.040015679	6.011227255	6.385431037	7.885696373	6.608809243	8.224966365	7.348728154	6.623515741	6.285402219	6.157852169	7.438791853	5.789207575
APOA4	5.776103988	5.266786541	6.409390936	6.560714954	8.090641752	4.263034406	7.902073579	7.531381461	4.336283388	6.632268215	7.200653436	5.026800059	7.098032083	5.456149035	6.787902559	7.178913785	7.002252452	6.86913112	6.244125943	4.817623258	8.396176618	7.132371199	6.465974465	6.623515741	6.183883459	7.100136671	5.255500733	6.434628228	6.97384084	5.646738698	5.730639956	5.64385619	6.209453366	7.807998839	6.64385619	6.447909749	8.56414949	6.015693807	4.968090752	7.709428501	7.703903573	5.949534933	6.102238194	5.87774425	6.782670659	6.159871337	6.388878339	8.399598369	6.404290064	7.132371199	6.840463234	5.599912842	8.495055528	6.937815169	6.193771743	7.30833903	4.626439137	7.049848549	7.385431037	7.767522386	5.557655155	4.548436625	6.730639956	8.219652565	4.472487771	6.595443985	7.056366761	7.390598906	6.385431037	6.50779464	7.563768278	5.99095486	6.757556689	6.704595348	5.933100475	6.826548487	6.537606691	5.899659026	7.692789835	6.778734244	4.247927513	7.311975314	5.491853096	5.977279923	4.432959407	6.807354922	5.815063017	6.957682486	5.5360529	4.87282876	5.350497247	4.517275693	7.92243574	6.226893814	5.300123725	7.30560579	5.921245889	5.83541884	7.196725061	7.031218731	5.64096791	6.033423002	5.520422249	7.287250643	7.242221395
APOB	5.652486495	5.432959407	5.329123596	6.43629512	7.529040056	6.472487771	7.148730779	7.579693063	4.54225805	7.778734244	7.174925683	5.762880293	4.916476644	4.121015401	5.812498225	7.456970381	5.62935662	6.731997787	5.781359714	4.797012978	6.850499414	6.815063017	8.237448996	7.263034406	5.517275693	4.862947248	6.081083929	6.369815424	5.185866545	5.700439718	5.48864354	5.475733431	7.13442632	7.369815424	6.416164165	6.255500733	8.66035251	4.958842675	4.744161096	6.586464526	7.287250643	5.0	7.546122759	4.94016675	6.64385619	5.832890014	5.0	6.311067102	6.875288598	7.703903573	7.50779464	5.773468928	7.602142091	5.675251386	8.080551077	5.804776378	4.666756592	5.911691582	6.478971805	6.892391026	5.303780748	5.040015679	6.394033895	7.201633861	7.067165427	5.773468928	7.514911265	5.689299161	5.432959407	7.002252452	8.124638314	5.545350645	5.026800059	7.047669251	5.675251386	6.87282876	5.459431619	7.562242424	7.049848549	5.478971805	8.432124273	7.751544059	7.111657346	6.8008999	4.145677455	7.458611673	7.161887682	7.470862199	6.371558863	5.412781525	6.6043679	4.548436625	5.904484098	7.296457407	5.193771743	6.477353527	7.447909749	4.722466024	8.569475902	6.817623258	5.452858965	5.412781525	5.680886921	6.191799501	4.217230716
APOC1	6.97384084	7.004501392	6.745506266	7.155830172	7.056366761	6.447909749	6.599912842	6.840463234	4.378511623	7.23935985	7.897240426	7.14363831	6.129283017	7.297374861	6.431288654	7.10433666	6.209453366	6.121015401	5.786596362	7.136478518	5.783980414	6.859224162	7.646738698	6.378511623	6.791814071	6.412781525	5.730639956	6.238404739	5.776103988	4.99095486	7.390598906	6.532940288	6.253611152	6.411087227	7.194756854	6.896029603	7.818901676	6.191799501	5.173926932	7.251719093	6.129283017	5.752213368	5.988684687	6.5360529	5.809928866	7.264911693	7.263973355	8.175424799	6.419538892	7.230741003	6.62058641	7.324630615	6.920055055	7.152791852	6.213347282	7.369815424	5.416164165	6.083213368	6.213347282	6.301953395	7.362820526	7.091699834	6.414473836	7.005624549	5.587964989	6.383704292	6.668175869	6.137503524	6.837943242	6.746850183	6.662490364	7.752882366	6.470862199	7.145677455	6.30560579	6.904484098	6.772149591	6.799605422	7.310158318	7.03562391	5.700439718	6.885086225	7.007868243	7.166916252	5.09592442	7.708739041	6.701826258	7.526694846	7.402585758	5.993221467	5.442943496	5.581953751	7.85735901	5.749534268	6.063934306	6.133399125	5.44625623	6.928370323	6.984133595	6.905687849	6.059614856	6.738767837	6.58044702	7.070389328	5.95419631
APOC2	7.289096702	7.140574178	5.617651119	6.804776378	6.261154673	8.11113567	5.862947248	5.937815169	5.429615964	5.972692654	6.54225805	7.369815424	5.860466259	9.755221421	5.997744026	6.795715007	8.41869595	6.153805336	6.09592442	7.154818109	5.904484098	6.083213368	7.48703608	6.451211112	6.905687849	6.944858446	6.020146573	6.699051844	5.157852169	4.812498225	7.347842794	8.397888508	6.490249211	6.948367232	6.355791547	6.874059203	6.892391026	6.217230716	6.167919866	6.040015679	5.711494907	6.665335917	5.689299161	7.29553937	6.602884409	9.115823977	7.253611152	5.285402219	5.289096702	7.121015401	5.760220946	9.557655155	6.28169825	6.995484519	4.95419631	8.557655155	5.504620392	5.325530332	6.369815424	5.10433666	7.816983623	5.958842675	6.061776198	8.232181058	4.897240426	5.984133595	5.459431619	5.51412226	6.12722055	6.532940288	6.255500733	8.064473329	6.388878339	6.213347282	7.589463893	6.085339669	6.199672345	6.348728154	7.54689446	7.693486957	4.145677455	5.303780748	6.512542955	6.883865155	5.623515741	8.103287808	6.48058827	7.28077077	9.894969299	6.786596362	5.87774425	6.974988112	8.096451624	6.316507819	6.826548487	5.270528942	4.921245889	7.272396509	5.768184325	7.290018847	5.882643049	7.641690523	7.366322214	6.383704292	6.758889433
APOC3	6.972692654	6.680886921	7.147713722	7.169925001	6.50779464	7.87958325	6.43629512	7.113742166	5.266786541	5.221103725	6.334496768	6.616181231	6.301953395	9.335390355	6.04220656	5.9795681	8.389738879	6.116863758	5.99095486	7.108524457	6.568336182	5.705977902	6.929554316	6.462706751	7.273329387	7.002252452	5.914086097	6.686500527	6.157852169	4.99095486	7.214319121	8.256916297	5.381975479	6.795715007	7.152791852	7.381110294	7.029011087	6.587964989	6.422905743	6.849248703	6.387155718	6.777419716	5.022367813	7.306517445	5.972692654	9.077616872	6.961160258	5.727920455	4.882643049	6.608809243	5.495055528	9.015415052	6.97384084	6.888743249	4.529820947	8.044940491	6.318316841	5.705977902	6.431288654	6.081083929	7.407692649	5.857980995	5.865423978	6.928370323	5.145677455	6.283551423	5.193771743	5.906890596	6.462706751	6.383704292	6.475733431	7.564530601	6.808642468	5.981852653	7.359310317	6.543805176	6.648177796	6.059614856	7.277054876	8.009548727	4.432959407	6.017921908	6.292781749	6.906890596	5.623515741	8.0558247	7.008988783	6.512542955	9.205304532	5.402585758	5.545350645	7.510961919	8.587964989	5.510961919	6.892391026	6.03562391	4.584962501	7.662490364	5.850499414	6.883865155	5.669593751	7.723831566	7.174925683	6.432959407	7.279842694
APOC4	6.512542955	6.786596362	6.553053253	7.008988783	5.880195729	7.548436625	4.638073837	6.699051844	5.716990894	5.64385619	6.311067102	8.408966552	6.857980995	6.719731057	6.782670659	5.770940151	6.667238623	7.218575552	6.264911693	6.678071905	6.644211515	5.658083729	6.76558905	6.665335917	6.839017057	6.776103988	6.102238194	6.655351829	6.697953674	6.251719093	7.193771743	6.439623138	6.421223299	6.509379149	7.723148957	6.592457037	6.122116719	6.842978832	6.348728154	8.147955946	6.120269589	7.266786541	6.137503524	7.494459283	6.993763304	7.712780476	8.350055177	5.504620392	7.001126665	6.158694112	5.961160258	8.937226674	6.649600077	7.323730338	4.981852653	7.858602712	7.225930411	5.599912842	5.392317423	4.678071905	6.970393538	6.061776198	6.434628228	6.658211483	6.731997787	6.177917792	6.207502459	6.51412226	8.098032083	7.233619677	6.116863758	9.274960472	7.190812368	6.682292371	7.80928581	7.136478518	7.129283017	6.786596362	7.518062976	6.876516947	5.942514505	6.04907373	7.166916252	7.518062976	6.653919873	7.327328083	6.30560579	6.704595348	8.244125943	6.731997787	5.66106548	5.655351829	7.076815597	6.992088609	7.142617655	6.270528942	4.827819025	8.190200276	6.115530554	6.75087444	6.209453366	8.323730338	6.921245889	6.917670434	6.64096791
APOD	7.232660757	6.387155718	5.289096702	7.10433666	7.131342539	5.995484519	8.314696526	8.669948004	4.930737338	7.897845456	6.687900522	5.773468928	5.963474124	6.318316841	5.911691582	6.892391026	5.587964989	6.14974712	5.06608919	5.161887682	7.030115331	6.385431037	7.659639187	7.108524457	5.274261661	5.581953751	5.205548911	5.266786541	6.795715007	6.098032083	6.029011087	5.495055528	7.473299871	7.394891366	6.693486957	5.50779464	7.787902559	6.004501392	4.350497247	7.121015401	7.982993575	5.997744026	7.776103988	5.074676686	5.947198584	5.757556689	6.008988783	6.986410935	7.673839056	7.187846909	7.760886243	6.520422249	7.429615964	5.8899602	7.981281854	5.918863237	4.465974465	5.925999419	7.370687407	7.260213887	5.569855608	5.392317423	7.112700133	6.469234794	6.714245518	5.602884409	7.762215916	7.789207575	5.897240426	6.949534933	6.965784285	6.223036338	5.153805336	6.730639956	5.686500527	6.523561956	5.43629512	7.173926932	6.687900522	5.371558863	7.460251099	7.992655149	6.648177796	6.22881869	3.935459748	7.404290064	6.827819025	8.193771743	6.287250643	5.402585758	7.273329387	5.675251386	6.048759312	6.772149591	6.135452784	6.074676686	8.216745858	5.899659026	7.62935662	7.01234519	5.711494907	6.259272487	6.185866545	7.198690586	5.197708158
APOE	5.855491443	6.112700133	6.292781749	7.384567923	7.289096702	5.812498225	6.790511412	6.554588852	3.432959407	6.543805176	6.627898616	7.717676423	6.369815424	7.677367292	6.434628228	6.523561956	6.006746832	6.711494907	5.875288598	6.687900522	7.461888664	6.091699834	8.288173968	7.397460726	6.407692649	6.589463893	5.694880193	6.244125943	6.578938713	6.355791547	6.627898616	5.251719093	6.912889336	7.223036338	7.8899602	6.185866545	7.827183896	6.933100475	5.091699834	7.014578465	7.343407822	6.376776572	7.0	5.988684687	6.62497818	7.081083929	6.651051691	5.899659026	6.14363831	6.66106548	5.462706751	7.566815154	7.40599236	6.663913842	6.506208389	6.776103988	5.465974465	5.669593751	6.169925001	6.419538892	5.956521363	5.339850003	6.081083929	6.155830172	6.528258743	6.199672345	6.790511412	5.783980414	6.472487771	7.089582893	6.545350645	7.114783447	5.62058641	7.093813673	6.794415866	7.083213368	6.346956889	6.978424465	6.48703608	6.167919866	6.693486957	7.00337736	6.607330314	6.690696444	4.765534746	7.686500527	6.395748328	6.461070114	6.898450233	5.364572432	6.074676686	4.439623138	6.87036472	5.623515741	6.557655155	5.885086225	6.441284272	7.588714636	6.711494907	6.572889668	7.103287808	7.701133155	5.995484519	6.683696454	6.270528942
