	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
TCN2	5.74048207	7.947538767	4.287644185	6.19735155	6.989974234	6.596372953	7.478441684	5.742577227	6.66277	5.91422	6.972606139	7.810536176	10.57349869	5.074125195	6.216646476	7.93356957	5.273898377	7.354863689	5.016578852	6.506111684	4.159764107	6.992158934	2.250307379	6.060843689	7.139208767	5.670796266	4.97762	7.756951268	6.669413093	6.497497499	6.412663754	5.91769	9.123888688	4.588516476	6.430910581	10.32647058	8.602496139	7.20424155	6.490205663	8.074750672	8.331191905	5.366600848	7.712617338	5.15354	9.108162759	7.561917379	6.51805207	6.917030581	5.909928934	6.281757379	5.070616476	5.51653147	6.073041733	5.880447227	5.365503093	6.80241147	7.225173349	8.057886176	7.108321905	5.693185663	4.756706999	6.06392	8.66295147	8.830525254	7.349011268	6.339003689	4.5971	4.673925254	8.662561503	6.093608852	4.63677	9.557438688	5.098026472	6.536298852	8.146227338
PRSS2	8.20836207	6.530038767	3.943114185	7.27746155	6.261724234	4.285852953	5.012181684	2.250007227	5.16126	3.5578	5.002206139	7.407456176	6.569088688	4.489855195	5.873176476	6.03276957	2.896878377	5.651403689	5.771688852	3.996091684	1.656674107	2.421508934	1.887677379	6.405613689	6.412828767	8.952356266	3.72807	6.467281268	6.738083093	4.501137499	2.210153754	4.92144	5.042938688	3.822686476	4.212760581	6.274460581	4.122436139	4.05327155	3.481825663	4.923910672	2.651061905	4.451540848	3.473477338	6.06955	5.985902759	7.682717379	1.26880207	3.035330581	2.347458934	6.272677379	2.266986476	4.17408147	3.514951733	3.735247227	3.284583093	2.87138147	6.224413349	4.410106176	4.265821905	5.127505663	-0.063883001	6.20948	5.91433147	5.617075254	5.700291268	7.709303689	2.92809	6.324935254	2.823861503	4.456098852	3.48262	4.805638688	4.964206472	3.685828852	5.136967338
ICAM3	1.25787207	3.039578767	2.617084185	3.44141155	2.761804234	5.146242953	4.028011684	4.308147227	2.56279	1.71291	4.642566139	3.945386176	6.007178688	2.285925195	3.505806476	3.83444957	4.265418377	3.567503689	3.253338852	2.371371684	2.990364107	4.113458934	1.795807379	2.242023689	2.401048767	5.212826266	2.05267	3.283491268	4.054633093	2.087227499	4.509523754	2.40357	4.500118688	2.507306476	3.222070581	3.929000581	4.580516139	2.62315155	2.848155663	3.931040672	5.046421905	3.332570848	3.635787338	1.24578	3.967802759	2.631497379	2.43872207	4.278980581	2.964708934	2.918357379	2.885436476	2.94185147	4.423331733	3.664707227	3.218323093	3.64145147	3.056173349	4.039106176	4.675121905	2.985505663	0.666166999	2.81019	5.46063147	3.215825254	5.135891268	4.644683689	2.5711	1.862035254	5.406761503	5.785208852	3.67699	4.924008688	3.712566472	4.531648852	3.639167338
SAA4	2.36814207	6.340378767	1.313774185	3.97154155	3.941824234	4.840252953	4.384961684	4.235757227	3.44626	2.9302	5.250506139	6.512846176	6.400948688	2.752075195	3.794616476	2.97140957	3.179128377	5.021983689	3.037678852	3.191521684	1.841954107	3.128088934	1.531157379	3.888963689	4.308808767	2.635456266	2.1576	4.271951268	3.438303093	2.684187499	3.921953754	2.94545	4.172078688	2.062926476	3.559690581	4.567970581	4.004346139	3.18202155	4.378175663	2.497570672	3.523811905	2.141600848	4.401337338	1.7696	4.888612759	4.613977379	3.99192207	1.840570581	3.938228934	4.525477379	2.959726476	3.77495147	3.460341733	3.613137227	3.353503093	3.30967147	5.024893349	4.708886176	4.968561905	3.754935663	1.454906999	4.19025	3.73295147	6.323305254	4.602621268	4.169903689	2.21538	2.174545254	4.478151503	4.177968852	2.95518	5.824368688	3.809516472	4.117608852	3.251407338
FCGR2A	6.61675207	7.518248767	6.264324185	8.22717155	8.122784234	9.248582953	7.324521684	6.789627227	8.35906	7.04863	8.943106139	8.376706176	11.29090869	7.616285195	7.291766476	9.11202957	8.924678377	8.825783689	7.903918852	6.690571684	8.332824107	8.733228934	5.615797379	7.362983689	7.916988767	8.013116266	6.68223	7.953451268	7.967323093	6.519827499	8.242653754	6.63311	9.332378688	6.381996476	7.539490581	8.023800581	8.347946139	7.90249155	7.838735663	7.670280672	8.414231905	8.765940848	8.975587338	6.21926	8.294042759	7.245697379	8.49402207	8.421780581	8.591718934	8.094857379	6.623506476	8.30146147	8.209101733	8.112997227	8.579033093	7.73473147	8.135443349	6.116126176	8.663181905	6.645545663	5.229326999	7.59743	8.03061147	8.325695254	8.108441268	8.032313689	5.94146	5.860155254	8.326931503	7.268808852	7.53317	9.557218688	7.596276472	7.838508852	8.103717338
NRP1	3.48440207	3.880268767	1.511194185	3.68915155	3.822694234	3.620722953	3.015541684	2.811737227	3.62105	2.90671	3.866656139	4.891556176	6.194058688	3.229925195	2.041546476	3.91299957	3.059888377	3.940833689	2.419108852	3.212241684	2.609864107	3.332318934	1.642107379	3.079323689	3.318368767	3.373036266	1.8706	3.124201268	3.280213093	2.211217499	2.933613754	3.64064	4.262248688	2.188426476	3.591320581	3.434910581	3.102896139	3.71745155	3.345835663	2.485730672	2.471921905	3.288910848	4.124667338	2.48279	4.512262759	3.673707379	3.69192207	4.441670581	3.699118934	4.119967379	2.978856476	3.71591147	3.521471733	3.353597227	3.269143093	3.53702147	4.113543349	1.396186176	3.621451905	3.099355663	1.888896999	2.99996	2.45748147	3.987295254	2.938831268	3.310253689	0.36542	0.302055254	3.512001503	3.107098852	2.31588	4.136468688	3.382046472	3.557448852	4.090577338
EFEMP1	9.42767207	8.739808767	9.550314185	9.52900155	8.040414234	8.078322953	8.824621684	7.817127227	9.09507	7.94711	8.546776139	10.14989618	11.31163869	8.198755195	9.868436476	8.53195957	7.291558377	8.869443689	10.07490885	7.795681684	6.039444107	8.445498934	5.420877379	10.50773369	9.475858767	5.895446266	7.95432	9.051111268	9.514343093	9.243587499	8.123173754	9.15117	8.809208688	5.799276476	9.195510581	8.506190581	8.389896139	9.05870155	8.881845663	9.264640672	8.185391905	7.791220848	8.389367338	9.0058	9.228482759	9.459667379	8.21405207	9.622840581	7.592048934	9.398457379	8.841256476	8.40603147	9.292001733	9.019337227	9.069163093	8.07560147	9.537863349	8.062746176	8.239521905	9.213715663	8.192466999	9.0207	8.55934147	9.108865254	8.636531268	9.225753689	8.60528	9.594945254	8.309491503	7.708758852	9.40446	8.389118688	8.364806472	8.247238852	9.336757338
TIMD4	5.50658207	6.554778767	3.159104185	6.03912155	8.343764234	5.368062953	6.598751684	4.667017227	5.80393	4.46161	7.961316139	5.983576176	9.421198688	5.107195195	4.523866476	6.58482957	5.988218377	6.794573689	4.345318852	4.208081684	4.640304107	5.468988934	4.136257379	5.152733689	5.539858767	9.374466266	4.58965	6.283121268	6.019843093	5.582067499	7.050053754	3.965	5.711818688	3.420516476	6.096760581	7.851980581	6.445876139	4.84964155	5.406655663	4.533620672	6.928871905	5.297900848	4.789727338	4.16236	6.127282759	4.981837379	4.92421207	6.191340581	5.345198934	6.779357379	5.541356476	5.58741147	5.798991733	6.236397227	4.719883093	5.42474147	5.723733349	6.180976176	6.695981905	4.149385663	2.557306999	4.94378	6.78381147	8.317655254	5.836861268	5.778703689	3.77665	3.411545254	5.530241503	7.183628852	5.93765	6.280438688	4.909906472	4.982448852	7.301287338
FAP	2.54905207	3.474878767	2.494554185	2.77733155	2.399064234	4.414902953	2.055021684	1.331597227	3.76349	2.49463	3.994896139	3.565276176	6.255818688	3.350165195	3.007416476	4.11933957	4.006418377	3.779743689	2.991318852	3.076471684	2.992494107	3.705508934	1.673507379	2.940513689	3.663668767	2.656426266	2.2724	3.304061268	2.682303093	1.712987499	2.711823754	2.94615	4.925998688	1.553186476	2.652200581	2.116320581	3.392416139	3.30350155	2.286895663	1.768880672	3.139471905	3.256610848	4.129907338	2.15036	3.458612759	2.195587379	3.18867207	3.238470581	2.330038934	3.974067379	2.255556476	3.49794147	2.837201733	2.921707227	2.290293093	3.27215147	3.772833349	1.857986176	3.407521905	2.454835663	1.120206999	2.90998	2.40697147	2.770785254	3.230351268	3.080183689	1.0619	1.802965254	4.258491503	2.694528852	1.54687	4.684598688	2.236146472	3.679318852	2.950157338
TIE1	1.02336207	2.759638767	0.0	1.25018155	1.172184234	2.123792953	0.566931684	1.463357227	0.61023	0.0	2.673046139	3.219046176	4.540788688	0.0	0.0	2.44958957	0.0	2.860203689	0.0	0.875931684	0.0	0.685188934	0.0	1.265613689	1.780448767	0.366246266	0.0	0.970731268	1.769333093	0.714547499	0.415263754	1.46058	3.326168688	0.0	1.488450581	1.851590581	2.111766139	1.55256155	1.808355663	0.162580672	0.800721905	0.0	1.982347338	0.26786	2.459292759	1.149137379	0.73479207	0.232170581	-0.220131066	1.056697379	0.818496476	0.27455147	0.913591733	0.0	0.678433093	0.61911147	2.307193349	0.466316176	0.781641905	0.590415663	0.0	0.0	2.22993147	3.663505254	1.354411268	1.524633689	0.28561	0.0	2.039771503	1.454288852	0.1279	3.631288688	0.0	1.474178852	1.625907338
THBS4	5.57793207	6.760868767	5.263444185	4.27424155	5.333304234	6.337132953	5.481301684	7.630027227	6.41979	2.61185	6.620706139	7.950876176	8.596988688	3.928825195	7.333256476	7.24665957	3.448838377	7.093193689	4.437688852	3.913631684	2.521534107	5.384998934	2.085507379	7.370003689	6.623448767	7.893106266	2.85271	4.794801268	7.875473093	4.943627499	6.579883754	5.87921	4.986458688	2.103686476	4.997730581	6.378770581	6.112786139	6.74537155	6.945605663	6.852320672	5.372781905	3.837270848	6.607117338	4.35147	7.625082759	7.304797379	5.48509207	4.076640581	3.410028934	6.485937379	5.875736476	4.63746147	6.668431733	4.720327227	5.281643093	4.56657147	7.652033349	3.780346176	6.530311905	5.774325663	4.989116999	6.94396	8.69335147	9.708635254	8.804021268	5.676183689	3.44466	5.677935254	8.098111503	5.298558852	5.44124	8.012638688	6.814496472	6.251278852	7.568827338
F7	7.22784207	6.671228767	6.209804185	7.35081155	6.634584234	5.286502953	6.237681684	4.640957227	6.24325	4.45698	5.759356139	8.815696176	8.607258688	5.438765195	8.898726476	5.59943957	4.815738377	5.797013689	8.674388852	5.050401684	2.582604107	5.232658934	6.051377379	8.946013689	7.875608767	7.778206266	6.56293	6.979831268	8.095203093	6.593667499	4.001113754	7.58079	5.656248688	6.874036476	6.620190581	5.168260581	5.049876139	5.20220155	5.971585663	7.438320672	3.271971905	6.903860848	5.320777338	6.09637	6.007602759	7.233867379	3.51212207	6.058170581	4.502948934	8.247577379	6.163276476	5.64218147	5.832231733	6.577417227	7.245583093	5.78275147	8.444193349	4.305156176	6.009651905	6.673235663	2.583256999	7.74398	6.12108147	6.910075254	6.457851268	7.871823689	3.87802	8.300975254	5.853901503	5.088108852	7.00936	5.530718688	6.611206472	5.051538852	6.934387338
GP1BA	2.98260207	6.929638767	3.388224185	4.59202155	5.450664234	5.019632953	4.479721684	6.349297227	2.35123	3.44747	4.682326139	5.770286176	6.065368688	2.823585195	6.024586476	3.90873957	3.935388377	4.684793689	5.195638852	3.046181684	3.084744107	5.973788934	2.205447379	4.451863689	2.982388767	5.651836266	2.12697	3.401711268	6.348953093	3.970207499	6.057463754	4.05005	4.387688688	2.512556476	3.383140581	4.340810581	3.616196139	3.06336155	4.013225663	2.413180672	4.194951905	3.500770848	3.771117338	2.00533	5.974802759	3.384187379	3.41527207	3.785630581	5.574448934	3.375727379	3.394016476	2.57487147	4.138671733	2.788497227	3.364333093	3.77731147	4.936703349	3.795426176	4.734651905	4.493865663	2.818156999	4.1281	5.72374147	4.861375254	5.164041268	6.416583689	3.80131	1.697545254	4.503861503	4.760868852	5.63285	5.555478688	4.405796472	3.780218852	2.458557338
LYVE1	5.08459207	6.405198767	2.065764185	5.14499155	5.477184234	6.339872953	3.776841684	5.630197227	3.90571	5.19079	6.634546139	6.746536176	8.223658688	4.092195195	3.144276476	6.14432957	4.421168377	6.618213689	4.285518852	5.122171684	4.517594107	4.890408934	4.203597379	5.379603689	4.581108767	5.108396266	3.69949	4.627001268	3.834963093	3.804447499	4.906863754	4.95131	5.692158688	3.936816476	5.595940581	5.696230581	5.194646139	4.69629155	5.077865663	3.317520672	3.599241905	4.690530848	5.312727338	2.9484	5.261062759	4.039227379	4.36942207	5.700750581	4.586538934	5.905507379	4.303076476	4.99579147	5.116791733	4.780227227	3.915013093	5.05370147	6.166463349	2.263316176	5.790791905	3.553175663	2.870176999	3.98807	4.93426147	5.619985254	4.823151268	4.800713689	4.15563	1.803045254	5.167551503	5.251888852	4.05461	6.445158688	4.738376472	6.085148852	4.835117338
CA3	4.40027207	6.490758767	1.569034185	5.68341155	6.545214234	5.135542953	4.964541684	7.374267227	3.8497	3.96967	4.050896139	5.358686176	7.157568688	3.482565195	3.476876476	4.91063957	2.771698377	5.946163689	4.675068852	3.824901684	3.084514107	7.570348934	3.000007379	5.474033689	5.031308767	7.002486266	3.06253	4.398311268	5.604013093	6.076137499	6.900043754	4.71575	5.567898688	3.678646476	3.499770581	7.788420581	6.780046139	5.45135155	4.509595663	3.572110672	4.318961905	2.923870848	4.808997338	4.09529	7.416952759	5.049157379	3.96459207	4.658580581	4.595028934	2.478247379	3.497546476	1.89521147	4.295641733	4.546397227	2.948683093	4.90352147	4.329663349	4.260216176	6.166841905	3.452355663	2.607486999	4.45682	6.51210147	5.954395254	4.846311268	6.204963689	4.81978	1.492715254	3.898471503	6.077998852	2.64388	4.897568688	3.604586472	4.518248852	2.632117338
TGFBR3	1.00861207	2.530228767	0.907374185	1.72620155	1.066504234	0.465872953	0.386021684	1.356257227	0.65323	0.19107	1.443946139	2.753726176	4.139358688	0.0	1.380896476	2.20783957	-0.113631623	1.181083689	0.0	-0.158998316	0.0	0.594928934	0.0	1.352463689	1.397598767	1.432766266	0.2581	1.154091268	1.436973093	0.820167499	0.893163754	1.01305	1.651068688	-0.054753524	0.538150581	1.661200581	0.595336139	0.63855155	0.576505663	1.079910672	0.176901905	0.072390848	0.783057338	0.24846	1.976912759	2.002127379	-0.11709793	0.763070581	-0.162511066	0.567617379	0.558736476	0.0	0.0	0.549827227	0.0	0.10262147	2.290123349	0.0	1.186641905	1.023405663	0.0	0.65529	1.73474147	1.459465254	1.082731268	1.108323689	0.47838	1.028755254	1.132281503	2.268038852	0.70288	3.011578688	0.588486472	0.008338852	1.635557338
DEFA1	6.26910207	6.857628767	5.227974185	7.08229155	7.581364234	6.145322953	6.292381684	6.827627227	5.36735	4.54706	6.415456139	7.111986176	8.305958688	3.606935195	7.183456476	6.72802957	5.414698377	6.286993689	5.762308852	3.581981684	4.100994107	6.530378934	4.908707379	5.477413689	5.755258767	6.155396266	4.29151	7.048921268	6.175923093	5.879847499	6.679113754	5.99148	6.611108688	4.544696476	5.005590581	7.807970581	7.012066139	6.62547155	4.972865663	5.867040672	7.191171905	4.841340848	4.948407338	5.51018	7.074092759	7.087297379	6.04872207	6.179880581	6.941638934	5.554727379	6.065496476	3.64777147	6.113111733	5.206077227	5.498513093	6.01220147	6.323983349	6.910126176	6.445691905	5.450515663	3.757026999	5.78333	6.34423147	6.751625254	6.354901268	6.718513689	6.44362	4.874545254	5.800471503	6.622928852	6.13832	5.510168688	6.580646472	5.330888852	6.431317338
CD59	6.36388207	6.538008767	6.530024185	6.52030155	5.765134234	6.114532953	5.898211684	6.092817227	6.26621	6.29047	6.301066139	6.771976176	8.441998688	5.944935195	6.688796476	6.33352957	5.477068377	6.297213689	6.718268852	5.783621684	5.837684107	5.809528934	5.930607379	7.003793689	6.621318767	5.916456266	6.09252	6.164781268	6.540663093	5.294297499	5.288793754	5.99438	6.296978688	5.933406476	5.906110581	5.448980581	5.874206139	6.12882155	5.883475663	5.899780672	5.909841905	6.022820848	6.283307338	5.34749	6.122082759	5.994627379	5.38922207	6.208110581	5.769998934	6.771157379	5.946966476	6.14089147	6.515541733	6.010437227	5.995633093	5.94810147	6.688843349	5.363006176	5.903181905	5.999955663	5.806946999	6.21146	5.95673147	6.139685254	5.888101268	6.355323689	5.81034	6.149845254	5.676601503	5.976918852	6.01832	6.350598688	6.106186472	5.950318852	6.121977338
APOM	2.92940207	6.072718767	1.217844185	3.96045155	3.570534234	5.413522953	5.145171684	4.023787227	3.99848	4.63459	5.827696139	7.294176176	7.640268688	2.996675195	3.979196476	4.99829957	3.186678377	4.984343689	2.298628852	4.332081684	1.412154107	2.683218934	2.100717379	5.119263689	4.279048767	2.140166266	1.05629	5.059411268	4.079263093	2.474797499	4.702743754	3.97357	4.250838688	2.350306476	4.419160581	4.073270581	3.394636139	4.13500155	5.165325663	2.860650672	3.942391905	3.440060848	4.793327338	1.79441	4.806242759	5.377857379	2.73240207	2.961740581	3.039008934	4.591687379	3.957086476	2.98534147	4.048331733	2.836957227	2.518843093	3.40002147	5.865853349	4.803756176	4.281661905	3.738855663	1.429046999	4.05581	4.39993147	6.971105254	4.546101268	4.369963689	4.26363	2.533825254	5.769821503	4.237018852	4.056	7.282678688	3.402616472	4.046078852	3.174607338
OSMR	1.43388207	2.896888767	0.408794185	1.79904155	1.521154234	2.645022953	0.683561684	1.678457227	2.26908	1.14496	2.692756139	3.263286176	5.249098688	0.263845195	1.556416476	2.61157957	0.822648377	2.354973689	0.752358852	1.536381684	-0.167585893	1.746098934	0.0	1.566723689	1.816958767	1.335726266	0.20328	1.287151268	1.365943093	1.185667499	0.471383754	1.83918	3.001098688	0.0	1.589790581	1.881670581	1.305466139	1.82433155	1.281955663	0.551200672	0.777371905	0.490370848	1.879367338	0.1982	2.022502759	1.798177379	1.51975207	1.365910581	-0.327201066	1.176117379	0.988346476	0.52404147	1.353861733	0.717067227	0.635093093	0.73238147	1.909413349	1.107136176	1.487751905	1.049455663	1.479656999	0.84715	1.56220147	2.677835254	1.557461268	1.484643689	1.61637	1.402395254	2.581791503	0.900028852	0.93311	3.415568688	1.348196472	1.724288852	1.665477338
LILRB2	7.59266207	8.754878767	7.455254185	8.90417155	9.248014234	10.21061295	9.079201684	8.341747227	8.28179	7.45093	10.40793614	9.724816176	12.38587869	8.501995195	8.314806476	10.36075957	10.58948838	10.08559369	8.852248852	7.527671684	8.657094107	9.022138934	7.671497379	7.955033689	8.190438767	9.758036266	7.19459	7.931771268	9.805763093	8.164947499	9.344983754	7.77532	10.98153869	7.777376476	8.854690581	10.08882058	9.684526139	9.18034155	8.624895663	9.608910672	9.456331905	9.555810848	10.21605734	8.07159	10.95131276	9.352197379	9.99095207	9.889700581	9.879878934	9.148037379	8.894636476	9.24715147	9.276931733	9.279547227	9.452163093	9.30529147	9.110473349	8.541766176	10.60336191	8.024375663	6.445616999	8.63033	10.04709147	9.653055254	9.857931268	9.563183689	5.37384	7.205525254	11.0352715	9.424598852	8.51379	10.85606869	9.438836472	9.529328852	9.485137338
UMOD	0.93583207	0.745068767	0.0	0.53643155	0.821094234	0.646062953	-0.069158316	0.362117227	0.35794	0.37436	0.427836139	1.608216176	2.963858688	-0.075854805	1.071866476	0.0	0.0	1.041743689	0.0	0.041101684	0.0	-0.104051066	0.311807379	1.203323689	0.676808767	-0.321703734	0.0	0.160651268	0.670893093	0.699827499	-0.209426246	0.20462	0.790838688	-0.067183524	0.276910581	0.670390581	0.455236139	0.56188155	0.321155663	-0.022519328	0.0	0.0	0.549367338	0.0	0.388222759	0.0	0.0	0.280360581	-0.045211066	0.988927379	-0.043073524	0.0	0.623561733	0.210967227	0.0	0.23417147	1.108173349	0.0	0.046741905	0.108005663	-0.280643001	0.28936	0.78303147	1.663935254	0.148721268	0.134963689	0.26409	0.448415254	0.356981503	-0.047941148	0.0	1.354548688	0.009956472	-0.062661148	0.0
CCL18	11.77317207	10.81773877	11.78410419	10.21254155	10.18212423	10.65926295	9.762171684	11.27470723	10.41952	11.36139	9.852776139	11.28760618	11.47004869	10.74890519	12.36420648	10.80377957	9.641268377	10.65858369	11.28203885	10.68188168	10.56685411	10.19326893	11.41244738	12.45091369	10.72342877	9.203756266	11.09687	10.67141127	11.45826309	10.4698375	9.680143754	10.68869	9.886478688	11.11982648	11.20728058	10.68318058	10.30588614	11.28960155	10.10733566	11.03955067	9.928941905	10.89978085	10.48627734	11.20529	10.60107276	10.79841738	10.52997207	10.83621058	9.829088934	10.62491738	10.64751648	10.33416147	11.52756173	9.777057227	10.59067309	9.73382147	11.26044335	10.80841618	9.825611905	11.06917566	10.638427	10.22565	10.09109147	10.34862525	9.878091268	10.93447369	11.24895	11.43214525	9.741361503	10.26537885	10.73676	10.77117869	10.33432647	9.515568852	10.15787734
COL18A1	8.33466207	7.099798767	7.881814185	8.25575155	8.265884234	7.478002953	7.594311684	7.829667227	7.65815	7.80068	7.720916139	8.531716176	10.14328869	7.836045195	8.769716476	7.56217957	7.553648377	7.903933689	8.502668852	7.347791684	7.782774107	7.159648934	8.235417379	8.904633689	8.027328767	7.427366266	7.91906	7.681641268	8.106863093	8.418257499	7.425963754	7.78052	7.815808688	7.802996476	7.898290581	8.150410581	7.785216139	7.80082155	7.892365663	7.613320672	7.758421905	8.033390848	7.648817338	8.40801	8.463702759	8.158517379	7.68271207	8.374210581	8.197998934	8.395227379	7.820706476	7.75767147	8.206751733	7.570727227	7.795983093	7.55278147	7.758423349	7.981626176	7.658471905	7.611525663	6.248706999	7.89064	7.09620147	8.487545254	7.392011268	7.493973689	7.84752	8.072485254	7.690311503	7.803188852	7.83921	7.418408688	7.717436472	7.143648852	7.761417338
LCN2	3.22643207	4.368968767	1.895344185	3.57149155	4.737704234	4.673052953	3.915291684	5.036227227	2.72658	1.9386	3.265286139	4.527456176	5.433468688	1.800625195	2.698206476	3.36467957	1.995848377	3.171833689	2.408488852	1.226511684	1.995924107	4.068068934	0.762977379	2.750843689	2.391208767	3.783586266	1.09869	3.518491268	2.989083093	3.124507499	4.192673754	2.57364	4.121968688	2.062256476	1.625600581	4.568280581	4.331796139	3.02420155	1.888295663	1.986110672	4.125481905	1.759200848	2.270777338	2.3788	4.605542759	3.608997379	2.83956207	2.323900581	3.846558934	2.395897379	1.840846476	0.45242147	2.707271733	1.217027227	1.903323093	2.47281147	2.653803349	4.319496176	4.506791905	1.753005663	0.849746999	2.23889	4.44760147	3.673165254	3.961741268	3.241353689	2.90958	0.622855254	3.066851503	3.758268852	2.39029	3.053648688	2.898156472	2.707808852	2.213907338
KIT	0.77817207	2.417668767	0.0	1.19809155	0.781514234	3.252962953	1.086371684	2.947257227	1.00728	1.64729	3.436876139	3.649676176	4.869478688	1.097975195	0.0	2.91555957	1.687088377	1.984943689	0.0	1.613101684	0.869644107	1.528018934	0.324907379	1.177463689	1.235578767	2.362056266	0.38834	1.179591268	1.352503093	0.485517499	1.818243754	1.15717	2.992778688	0.905426476	1.615910581	1.894610581	1.728526139	1.65838155	2.104425663	0.0	0.720991905	1.173750848	2.771977338	0.18897	1.802582759	1.127357379	1.54172207	1.217670581	0.808548934	2.037547379	1.142216476	1.69808147	2.675471733	0.876467227	1.288963093	1.44234147	2.268523349	0.0	2.404521905	0.376705663	-0.062733001	0.95269	1.19878147	1.970375254	1.692451268	0.677463689	1.28827	0.0	3.487501503	1.353808852	1.74051	3.207458688	0.910546472	1.749418852	1.427937338
C1QTNF1	9.20608207	9.829448767	8.550314185	7.98143155	7.897964234	9.951452953	7.884641684	7.821107227	8.97428	9.9388	8.616226139	10.49583618	11.18995869	9.615925195	8.130816476	9.96336957	9.005098377	9.159513689	9.122108852	8.807271684	8.484524107	9.509978934	8.039587379	9.792903689	8.957458767	8.488466266	7.88401	8.492671268	8.627493093	9.116967499	8.557903754	8.68653	9.161158688	8.640876476	9.606900581	6.844630581	8.100896139	8.96227155	7.958535663	8.457980672	8.049961905	8.601820848	9.519397338	7.95216	9.145922759	8.992337379	8.92821207	8.426540581	9.090258934	9.127247379	8.315456476	9.22683147	9.356821733	8.533667227	8.536983093	8.96219147	10.15724335	6.135036176	8.903401905	8.508715663	8.372446999	9.43113	7.84421147	8.417325254	8.349261268	9.450093689	4.95035	8.172115254	8.929181503	8.319168852	8.67923	9.844858688	8.429396472	9.121988852	8.950357338
AOC3	6.50200207	5.760608767	5.384114185	5.89930155	5.367364234	5.094022953	5.089101684	5.032427227	5.80522	5.56154	5.295196139	6.732976176	7.992568688	5.724755195	5.792006476	5.67194957	4.737408377	5.683943689	6.271638852	5.529291684	5.302734107	4.703418934	5.724567379	6.931123689	5.744648767	5.269606266	5.6857	5.592991268	5.241103093	5.941947499	5.220123754	5.84268	5.681158688	5.552946476	5.905450581	4.373920581	5.571206139	5.87633155	5.821975663	5.456390672	5.522851905	5.262660848	5.327537338	5.86503	6.158182759	5.335067379	5.50301207	6.187130581	5.675068934	5.972537379	5.566976476	5.34258147	5.888671733	5.127317227	5.671193093	4.87366147	6.147553349	4.139466176	5.478271905	5.219275663	4.131956999	5.50084	4.63664147	6.146515254	5.227651268	5.591103689	5.24792	5.817915254	4.825871503	5.506908852	5.47034	5.184528688	5.542356472	4.529178852	5.371907338
GAS6	12.40460207	12.13420877	12.89943419	12.93794155	10.46585423	11.43460295	11.97797168	9.198787227	12.16954	7.93865	10.27133614	12.47372618	14.46158869	11.83652519	12.87311648	11.85004957	9.707058377	11.59652369	12.91642885	10.03967168	8.397774107	9.734038934	11.79877738	13.51376369	12.57700877	9.693556266	12.21041	11.92077127	11.86504309	12.4341775	9.755383754	12.21242	11.68396869	10.75462648	12.51134058	9.100050581	9.179666139	11.77772155	12.14982566	12.31306067	8.602531905	11.34287085	11.72776734	12.71791	11.19806276	13.10705738	9.17935207	13.11928058	10.08944893	12.70950738	12.13124648	10.99402147	10.38355173	11.97452723	11.96917309	10.99058147	12.85652335	8.405366176	10.68112191	11.98412566	8.477096999	12.48219	8.65544147	12.70826525	10.22146127	12.00876369	9.7532	12.51303525	11.3225215	9.374498852	12.39677	11.43556869	11.03591647	9.866488852	12.22924734
IGLC2	7.57804207	7.810078767	6.446274185	7.49179155	7.555564234	6.856702953	6.716591684	6.379777227	7.15066	7.08011	7.330516139	7.930166176	9.337848688	7.043405195	7.667426476	7.56440957	6.924048377	7.250053689	6.906898852	6.556901684	6.949584107	6.570248934	6.311587379	7.427903689	7.123428767	6.855206266	6.34954	7.083201268	7.264523093	6.986647499	6.689353754	7.21009	7.335388688	7.013966476	7.215440581	7.360680581	6.975126139	6.96868155	7.015975663	6.876890672	6.938851905	7.223750848	6.978517338	6.72485	7.374452759	7.255727379	6.43548207	7.570420581	6.917138934	7.723257379	6.471956476	6.96316147	7.046151733	7.058947227	6.816453093	7.06045147	7.428873349	6.966496176	7.082491905	6.901285663	5.005146999	7.21271	7.00330147	7.641325254	6.906951268	7.202023689	7.09786	6.764275254	6.762851503	6.954298852	7.06034	7.499008688	7.192756472	7.254088852	7.384647338
