	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N161B	N162B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N218B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N237B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N251B	N254B	N255B	N256B	N257B	N258B	N259B	N260B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
CO9	6.055282436	5.694880193	6.832890014	5.708739041	5.911691582	6.024585638	6.061776198	6.236492618	6.964629667	6.574404309	5.209453366	6.795715007	6.598424761	6.355791547	6.978424465	6.686500527	5.968090752	6.175923742	5.658211483	8.184875343	8.039467438	6.341630009	5.760220946	5.649615459	7.326429487	6.95070169	8.019590728	6.137503524	6.577428828	5.270528942	5.240314329	5.551516018	7.01234519	6.240314329	5.911691582	5.882643049	6.752213368	5.770829046	5.62935662	7.06608919	4.897240426	6.078951341	6.029011087	6.985272714	7.732676223	5.972692654	3.944858446	6.48703608	6.022367813	4.689299161	6.545350645	6.068240861	5.578938713	5.469234794	5.100136671	6.700439718	5.949534933	6.504620392	6.62497818	5.292781749	5.666756592	5.078951341	5.539158811	6.298291731	5.711494907	7.385431037	6.133399125	4.350497247	6.112700133	5.501439145	5.794415866	6.029011087	6.571373436	5.173926932	7.05202456	6.822730148	7.223036338	6.345183447	6.693486957	5.817623258	5.935459748	6.817623258	5.581953751	6.74281467	4.892391026	6.116863758	6.48058827	5.336283388	5.526694846	7.148730779	7.77280941	7.146695948	8.270528942	6.6395216	4.578938713	6.417852515	7.791162889	8.140574178	4.711494907	6.129283017	6.662490364	6.301953395	6.177917792	6.642412773	5.768184325	5.887525271	6.279842694	6.714245518
CFAB	6.683696454	6.595443985	6.92243574	5.449561375	7.161133493	6.955359305	6.098032083	6.201633861	6.560714954	6.839203788	4.857980995	6.09592442	6.499845887	6.362820526	6.703211467	5.504620392	6.543805176	6.697662633	7.387155718	8.153805336	6.046578367	7.063934306	6.289096702	5.429615964	6.770829046	6.454504938	6.752213368	7.130313146	6.09592442	6.031021639	6.263034406	5.822730148	7.049848549	6.325530332	6.897240426	5.67013858	6.587964989	5.815063017	6.48058827	6.257387843	5.760220946	6.38024459	6.656782364	6.5360529	6.841721581	7.250772132	5.554588852	6.851749041	5.632268215	5.749534268	6.630813152	5.93726027	6.296457407	5.736063628	6.108524457	6.598424761	6.444600814	6.263034406	6.332707934	6.040015679	5.830356747	5.804776378	6.426264755	6.402585758	5.899659026	7.075746538	6.203592714	5.631403245	6.491853096	6.6043679	5.902073579	6.862947248	6.93191939	5.666756592	6.002252452	6.074676686	6.813781191	6.593951284	6.563768278	6.187846909	6.731997787	6.549977143	6.0725346	6.139551352	6.341630009	6.385431037	7.432124273	5.791814071	6.0725346	6.642412773	7.677367292	6.512542955	7.019034669	6.562242424	6.855491443	6.057450272	8.415319248	7.832257114	6.215290306	6.22881869	6.851749041	6.195741293	6.390598906	5.560714954	6.031218731	5.832890014	6.693486957	6.434628228
CFAD	6.773468928	6.475733431	6.66106548	6.867896464	5.449561375	6.522050963	6.240416199	6.340662542	7.545508066	6.298560013	6.00161051	6.28169825	6.846744023	6.616181231	6.145404599	6.277266923	6.129283017	6.283551423	6.297548564	8.751878752	8.62497818	6.711494907	6.338067798	6.301213003	6.82527683	6.649615459	6.958842675	6.171927354	6.268658955	4.857980995	5.426264755	5.528844984	7.66106548	5.48864354	5.83541884	6.04220656	5.004501392	5.627254752	6.020146573	5.988684687	5.478971805	5.757556689	6.114185206	6.586464526	6.789207575	6.943686952	6.031805662	6.040841364	6.466349287	6.232336703	6.802193217	5.617651119	6.710725918	6.435292758	5.708739041	6.211401637	6.421223299	6.232875125	6.563768278	6.406624441	6.529820947	6.444441168	6.242221395	6.195741293	6.088272842	6.390598906	5.993648283	5.956521363	6.068240861	6.957682486	5.760266212	6.369815424	6.581953751	6.080628574	6.183883459	6.465974465	6.23031333	6.475733431	6.482202926	5.937815169	5.786596362	6.577428828	5.995484519	6.236492618	5.722466024	6.307384827	6.068821813	6.155830172	5.395748328	6.437960088	7.87835751	6.675251386	6.970393538	6.696272084	6.076815597	6.084515109	7.946613905	6.996614715	6.247927513	6.159871337	6.54689446	5.850499414	6.543805176	6.218365473	5.504620392	5.899436345	5.680886921	6.06608919
CFAH	5.911691582	6.976134473	5.539158811	6.008988783	7.374170076	8.257387843	6.330916878	6.575917361	6.341630009	7.0725346	5.722466024	6.187846909	6.364572432	6.123086751	6.504620392	5.354028938	6.482202926	6.894817763	6.426264755	7.541483864	6.651051691	7.238404739	6.334496768	5.083213368	7.222070355	6.444600814	6.616181231	6.441284272	6.92243574	5.285402219	6.758889433	5.794415866	6.246027981	6.074676686	6.617651119	5.797012978	6.155830172	6.169925001	6.783980414	6.300123725	5.865423978	6.171927354	6.201633861	6.715618859	6.906890596	7.419538892	5.070389328	6.523561956	5.937815169	6.276124405	6.5360529	6.057450272	6.5360529	5.820178962	6.539158811	6.745506266	7.270528942	6.46760555	5.909293086	6.840463234	5.768184325	6.059614856	6.395748328	6.135452784	6.159871337	7.66035251	6.163901214	5.8899602	6.992088609	6.994353437	6.454504938	5.857980995	6.575917361	5.655351829	7.177917792	6.110613806	7.159871337	6.116863758	6.617651119	5.703211467	6.849248703	6.485426827	5.736063628	5.658211483	5.686500527	6.490249211	7.340740281	6.187846909	6.169925001	5.9795681	7.77478706	5.285402219	6.723831566	6.797012978	6.224966365	6.8008999	7.880195729	6.885086225	6.962317655	6.03562391	6.635173947	6.141596278	5.897240426	5.569855608	6.568336182	5.517275693	6.887525271	5.820178962
FHR1	5.247927513	6.098032083	6.715618859	5.439623138	7.341630009	7.122051448	6.371558863	6.336283388	6.037821465	7.419538892	4.711494907	7.211401637	4.852997588	5.343407822	6.551516018	2.678071905	5.498250868	6.14974712	7.338959175	8.622051819	5.882643049	6.596935142	6.093813673	5.133399125	6.836681593	6.986410935	6.434628228	6.100136671	5.635173947	5.485426827	6.66106548	5.930737338	6.974988112	5.224966365	6.274261661	5.596935142	6.131342539	5.744161096	6.022367813	6.48703608	6.645298164	6.004501392	5.263034406	6.381975479	6.646738698	5.129283017	4.008988783	6.61176256	6.053111336	6.04220656	7.271463028	6.51412226	5.112700133	5.652486495	4.517275693	5.475733431	5.614709844	6.572889668	6.517275693	5.686500527	5.074676686	5.318316841	4.921245889	5.371558863	5.346956889	6.183883459	5.057450272	4.432959407	7.390598906	6.768184325	6.459431619	5.28169825	5.614709844	4.378511623	7.377644358	5.855491443	7.921245889	6.338067798	5.911691582	4.802193217	5.716990894	6.213347282	5.62058641	7.314696526	4.491853096	5.942514505	6.183883459	5.584962501	5.862947248	3.070389328	7.745506266	5.343407822	7.205548911	6.64385619	5.602884409	7.399171094	8.049848549	6.659639187	3.632268215	5.599912842	5.429615964	6.274261661	5.970393538	5.300123725	6.704595348	4.958842675	5.683696454	5.714245518
FHR2	6.421223299	6.675251386	6.630813152	5.478971805	7.663913842	7.040015679	5.887525271	6.493455201	4.981852653	6.927185358	4.270528942	6.866660751	7.09592442	5.672425342	6.723831566	4.560714954	6.472487771	6.416164165	8.069852511	7.332707934	5.875288598	6.568336182	4.797012978	4.705977902	6.938991439	8.544578117	5.635173947	6.943686952	6.287250643	4.0	7.086401646	6.62935662	7.29186137	6.171927354	6.294620749	5.523561956	7.344295908	6.255500733	6.033423002	6.223036338	5.165911939	6.048759312	5.608809243	6.839203788	5.984133595	6.416164165	4.817623258	6.549977143	6.421223299	6.626439137	5.563768278	6.153805336	5.708739041	4.887525271	3.99095486	5.563768278	3.5360529	7.393175914	6.17990909	5.311067102	4.478971805	5.632268215	6.011227255	5.768184325	5.9795681	6.790511412	5.472487771	4.892391026	7.651051691	6.296457407	5.429615964	6.366322214	6.687900522	5.765534746	7.171927354	6.327328083	7.270528942	5.575917361	6.181897643	5.057450272	6.559185866	6.167919866	4.711494907	5.789207575	4.638073837	6.689299161	7.448735798	5.942514505	6.441284272	5.523561956	7.602884409	5.655351829	5.923624611	7.094869433	5.09592442	5.918863237	8.60399717	6.827819025	6.263034406	5.786596362	6.116863758	6.689299161	5.730639956	4.649615459	5.951867504	4.626439137	5.733354341	5.584962501
FHR3	5.749534268	6.6794801	6.762880293	6.477353527	6.800034663	7.820817182	7.241268177	6.539158811	4.94016675	8.048759312	4.812727996	5.736063628	2.807354922	6.716990894	5.799605422	2.40599236	6.58044702	7.251719093	5.605849867	8.404715827	6.512542955	6.179387115	6.031218731	6.193243417	5.928370323	6.776103988	5.988631061	6.381975479	6.121015401	5.337976397	8.162894799	6.207285806	8.207990433	4.548436625	6.21916852	5.197457102	6.12722055	6.470862199	5.416164165	6.689588229	8.847683788	5.614709844	3.837943242	7.287250643	6.085339669	4.95419631	2.10433666	5.778734244	4.54225805	6.630813152	7.011227255	6.074780194	4.412781525	4.730279592	6.020146573	5.602884409	6.703211467	6.368069877	7.05202456	6.422905743	5.711494907	5.409390936	3.632268215	5.807354922	3.87774425	5.935459748	4.584962501	4.280945866	6.66106548	5.842978832	5.599912842	7.410239331	6.359310317	4.026800059	8.778734244	3.053111336	7.635173947	6.595443985	6.449561375	2.867896464	6.409390936	6.145677455	5.289096702	6.881419908	5.048759312	6.157852169	6.876516947	3.432959407	5.752213368	6.108524457	8.516093963	7.112700133	5.646738698	6.714245518	5.137503524	5.827819025	7.725877459	5.197708158	5.185866545	6.240314329	5.865423978	6.050936965	6.599912842	5.346956889	8.032321287	6.002252452	6.206643727	6.083213368
FHR5	6.031218731	7.8899602	7.054197294	6.057450272	7.837312556	6.785288981	5.593951284	6.896029603	5.381975479	7.041111535	4.94016675	6.499845887	5.904484098	5.061776198	6.046578367	5.426264755	5.778734244	6.769507291	6.554588852	7.730639956	5.116863758	6.334496768	5.354028938	5.972692654	5.716990894	6.960001932	6.044394119	5.683696454	7.20261362	4.827819025	6.75087444	5.711494907	7.188836073	4.649615459	5.9795681	5.83541884	7.375039431	5.897240426	6.230741003	7.981852653	8.643495471	6.614709844	5.857980995	7.019034669	5.274261661	6.472487771	5.083213368	7.0725346	6.54689446	6.51412226	6.923624611	7.543805176	5.378511623	5.482202926	5.485426827	6.12722055	6.551516018	7.338067798	7.204571144	5.847996907	4.572889668	5.266786541	5.392317423	5.658211483	5.842978832	5.722466024	5.99095486	4.822730148	7.240314329	6.447909749	6.470862199	5.64385619	6.209453366	5.66106548	8.706323333	6.736063628	8.188341576	6.623515741	6.962317655	4.963474124	7.017921908	6.249824549	4.770829046	7.262094845	5.177917792	6.309248961	7.094869433	6.50779464	6.515699838	7.023477152	7.086401646	5.827819025	6.794415866	7.608809243	5.412781525	7.62935662	7.061776198	5.300123725	5.01346226	5.375039431	5.626439137	6.477353527	6.509379149	4.902073579	6.54689446	4.986410935	6.482202926	5.526694846
FRIH	5.944858446	6.598424761	4.62058641	6.110613806	4.87282876	5.557655155	6.336283388	6.669593751	6.499845887	6.28169825	4.897240426	5.563768278	6.794415866	6.238404739	5.956521363	5.232660757	7.261154673	5.837943242	5.048759312	5.48864354	6.537606691	6.44625623	5.545350645	6.037821465	7.830356747	7.605109074	6.648177796	8.321477182	4.263034406	5.727920455	7.416164165	5.303780748	5.426264755	5.375039431	5.017921908	6.14974712	5.635173947	5.663913842	5.882643049	6.123086751	5.185866545	5.675251386	5.251719093	5.958842675	8.830673649	4.548436625	6.54689446	5.776103988	5.711494907	6.145677455	5.708739041	6.587964989	6.06608919	6.266786541	6.098032083	7.225930411	6.272396509	6.627898616	6.392317423	6.259272487	6.409390936	6.529820947	6.121015401	6.141596278	5.711494907	8.687900522	6.323730338	6.031218731	5.725195817	5.548436625	5.263034406	6.031218731	5.017921908	5.145677455	6.861707287	6.77478706	5.797012978	6.123086751	5.727920455	5.736063628	6.961160258	7.008988783	5.501439145	5.517275693	4.590961241	7.286326727	5.422905743	6.673839056	6.050936965	5.044394119	6.246027981	5.28169825	6.171927354	5.381975479	6.04220656	4.852997588	5.361066489	6.770829046	6.195741293	6.002252452	5.887525271	5.277984747	6.429615964	5.224966365	6.836681593	5.649615459	4.958842675	4.472487771
FRIL	5.617651119	6.419538892	4.548436625	5.429615964	5.385431037	4.572889668	6.059614856	6.323730338	5.770829046	6.339850003	3.548436625	4.44625623	7.433794059	4.321928095	5.263034406	4.666756592	7.212374788	5.270528942	4.700439718	5.197708158	5.070389328	6.642412773	4.608809243	5.318316841	7.350497247	7.083213368	6.432959407	8.622051819	3.857980995	3.459431619	8.09434165	2.963474124	5.357552005	3.857980995	4.472487771	4.087462841	5.5360529	4.270528942	5.5360529	6.031218731	4.852997588	5.602884409	4.797012978	5.416164165	8.671010241	4.949534933	6.917670434	5.28169825	5.209453366	6.085339669	4.336283388	5.173926932	5.578938713	4.99095486	4.498250868	7.328226119	6.106432078	5.749534268	5.741466986	5.517275693	4.121015401	6.093813673	5.587964989	5.48864354	4.608809243	8.278914019	6.454504938	4.852997588	5.689299161	4.169925001	2.700439718	5.314696526	5.133399125	4.385431037	6.896029603	6.452858965	5.153805336	6.203592714	5.221103725	5.303780748	6.95419631	6.451211112	5.50779464	5.244125943	4.193771743	7.400879436	5.765534746	6.622051819	5.799605422	4.209453366	5.832890014	4.958842675	5.961160258	5.173926932	3.887525271	4.087462841	5.053111336	6.642412773	6.238404739	5.339850003	5.894817763	5.083213368	6.23457796	4.566815154	6.470862199	4.867896464	4.439623138	3.981852653
FIBA	4.852997588	6.58044702	6.373300197	4.649615459	9.948367232	6.277984747	5.563768278	6.491853096	4.523561956	7.874674032	4.270528942	6.857980995	8.720415285	3.847996907	7.614709844	4.177917792	7.300123725	6.14974712	9.422695544	4.733354341	4.336283388	5.914086097	4.504620392	4.185866545	6.700439718	8.559185866	4.986410935	7.783980414	5.43629512	5.727920455	7.279842694	6.518849829	6.23457796	5.799605422	5.605849867	4.255500733	7.573647187	5.8899602	6.044394119	6.332707934	5.157852169	5.100136671	4.392317423	5.566815154	5.09592442	7.602142091	4.329123596	5.807354922	6.659639187	6.619119511	5.259272487	6.074676686	4.770829046	4.602884409	5.247927513	5.62935662	4.837943242	8.563005553	4.292781749	5.925999419	4.209453366	6.927185358	6.589463893	5.416164165	5.741466986	6.894817763	4.797012978	3.560714954	7.498250868	4.632268215	4.452858965	5.708739041	6.276124405	5.017921908	5.402585758	7.964629667	7.109569509	6.934280594	5.087462841	2.925999419	7.557655155	5.719731057	4.314696526	5.462706751	4.270528942	8.398316163	9.107217076	6.54225805	7.413627929	4.185866545	6.055282436	6.682292371	5.762880293	6.893604905	4.112700133	4.336283388	7.82336724	3.786596362	6.191799501	6.147713722	6.063934306	7.262094845	5.44625623	3.837943242	5.862947248	3.655351829	4.776103988	4.812498225
FIBB	4.465974465	6.48703608	6.465974465	4.689299161	10.08626894	5.958842675	5.658211483	6.54689446	4.247927513	7.993221467	3.847996907	6.532940288	8.625708843	3.572889668	7.414473836	4.40599236	7.312882955	6.112700133	9.730979533	4.307428525	3.867896464	5.802193217	3.857980995	3.754887502	6.598424761	8.561096974	4.857980995	7.8008999	5.022367813	5.632268215	7.330020516	6.693486957	5.566815154	5.501439145	5.017921908	3.857980995	7.515699838	5.28169825	6.024585638	5.930737338	5.022367813	4.343407822	4.270528942	5.303780748	4.822730148	7.074676686	4.343407822	5.429615964	6.803485376	6.824004051	4.655351829	6.183883459	4.64385619	4.314696526	5.06608919	5.354028938	4.392317423	8.682994584	4.09592442	5.963474124	3.827819025	6.48864354	6.323730338	4.977279923	5.364572432	6.680886921	4.329123596	3.678071905	7.58345891	3.786596362	4.672425342	5.371558863	6.205548911	4.760220946	5.251719093	7.832890014	7.264911693	6.797012978	4.716990894	2.678071905	7.619853147	5.566815154	4.026800059	5.266786541	4.070389328	8.411934625	9.208722085	6.369815424	7.235535607	3.733354341	5.727920455	6.526694846	5.711494907	7.0	3.655351829	3.817623258	8.599540966	3.62058641	6.024585638	5.632268215	5.781359714	7.307428525	5.378511623	3.378511623	5.786596362	3.678071905	4.209453366	4.560714954
FIBG	4.452858965	6.318316841	6.294620749	4.649615459	9.950410089	6.03562391	5.593951284	6.520422249	4.277984747	8.1017131	3.432959407	6.655351829	8.686850653	3.944858446	7.535275377	3.744161096	7.381110294	5.995484519	9.616548844	4.689299161	3.744161096	5.822730148	3.935459748	3.307428525	6.563768278	8.58458675	5.044394119	7.866042497	5.048759312	5.50779464	7.449561375	6.341630009	5.452858965	5.703211467	5.240314329	3.498250868	7.698357406	5.325530332	6.137503524	6.0725346	4.770829046	4.44625623	4.193771743	5.201633861	5.057450272	7.259272487	4.247927513	5.259272487	6.845490051	6.697662633	4.700439718	6.177917792	4.749534268	3.963474124	4.797012978	5.40599236	3.981852653	8.49625461	3.916476644	5.783980414	3.632268215	6.465974465	6.078951341	5.048759312	5.259272487	6.694880193	4.224966365	3.5360529	7.584210901	3.906890596	4.240314329	5.057450272	6.376776572	4.472487771	5.224966365	7.914684105	7.131342539	6.821455119	4.632268215	2.201633861	7.368942914	5.655351829	3.935459748	5.277984747	3.64385619	8.443358004	9.002533761	6.253611152	7.255500733	3.754887502	5.958842675	6.483815777	5.789207575	6.905687849	3.548436625	3.765534746	8.632995197	4.137503524	6.055282436	5.64096791	5.968090752	7.269594252	5.361066489	3.307428525	5.714245518	3.201633861	4.452858965	4.727920455
FCN3	6.969242604	5.590961241	5.54225805	4.94016675	6.44625623	6.662057933	5.409390936	5.528200624	6.225105334	6.650253361	4.892391026	5.716990894	6.529820947	4.087462841	6.078686995	5.71017441	6.876516947	6.020146573	6.256785726	7.77016832	5.09592442	6.098032083	4.902073579	5.741466986	8.975274788	6.697662633	6.283551423	6.290940402	6.160955766	6.314696526	6.332707934	5.749534268	6.836681593	6.596935142	6.791814071	5.760220946	6.569855608	5.699698212	5.783980414	6.274261661	6.669593751	5.9795681	6.031867929	5.655351829	8.601399391	6.776103988	5.612171215	5.412180003	7.096167665	5.704169002	5.652486495	5.61176256	6.061776198	5.970393538	5.646738698	6.722466024	5.247927513	6.268032969	6.244125943	6.429615964	5.781359714	6.741167115	6.613236955	6.45779126	5.138773227	8.587590019	5.760842725	5.22881869	6.371558863	5.916476644	5.266786541	4.87282876	6.21916852	5.493378273	6.217230716	6.997744026	5.903547698	7.387155718	5.725195817	5.478971805	6.355791547	7.106432078	5.209453366	6.970393538	3.153805336	6.674330893	6.501711013	5.683696454	6.093813673	5.593951284	9.121274482	7.489446599	7.073606041	5.675251386	4.672425342	5.576770521	7.82527683	8.085339669	4.350497247	6.314696526	6.411087227	6.778734244	6.847996907	5.842327487	6.07749212	5.362904819	5.336283388	6.14974712
HPT	5.008988783	6.815063017	5.289096702	6.181897643	7.915879379	8.2244841	6.078951341	5.840463234	7.185866545	7.118941073	4.364572432	5.847996907	4.862947248	5.153805336	6.859224162	5.141596278	6.215290306	5.993221467	6.673839056	6.948367232	4.412781525	7.753551055	6.10433666	4.161887682	7.200653436	6.185866545	6.452858965	5.277984747	6.534497434	3.906890596	6.09592442	4.852997588	6.437960088	6.904484098	7.555356039	4.87774425	6.451211112	4.491853096	6.82527683	6.207502459	5.157852169	5.867896464	5.057450272	7.425425735	7.004501392	8.356231863	4.465974465	6.068240861	5.053111336	5.581953751	6.137503524	6.247927513	5.875288598	5.40599236	6.635173947	7.736063628	5.757556689	5.529820947	5.539158811	5.663913842	4.958842675	6.799605422	6.969242604	6.153805336	5.842978832	6.83541884	5.817623258	5.285402219	7.549977143	5.860466259	4.852997588	6.048759312	6.434628228	5.133399125	5.722466024	5.822730148	7.091699834	6.818901676	7.027905997	5.325530332	5.232660757	7.038918989	5.923624611	5.832890014	4.655351829	6.566815154	8.007307647	6.116863758	6.569855608	6.381975479	7.376776572	5.809928866	6.613236955	6.811214118	4.986410935	5.189824559	8.526694846	6.666756592	7.450386479	6.055282436	5.375039431	5.680886921	6.06608919	5.061776198	5.584962501	4.822730148	5.526694846	6.652486495
HPTR	4.478971805	7.147713722	5.165911939	4.812498225	6.574404309	7.294620749	6.517275693	6.93191939	5.683696454	6.875288598	4.432959407	2.867896464	5.892391026	4.832890014	7.040015679	4.812498225	6.21916852	5.40599236	6.201633861	8.083745237	4.827819025	7.766860144	5.300123725	4.560714954	9.126962535	7.48864354	6.970393538	7.588714636	5.902073579	4.958842675	6.978424465	4.683696454	6.055282436	8.123604124	7.584210901	4.887525271	6.402585758	5.165911939	5.867896464	6.834154981	5.760220946	5.820178962	4.972692654	6.044394119	7.968666793	7.739443098	3.797012978	6.199672345	4.385431037	5.224966365	6.240314329	5.224966365	6.323730338	4.906890596	5.837943242	8.77807713	5.652486495	6.026800059	5.307428525	4.99095486	4.129283017	6.14363831	6.66106548	6.671010241	5.061776198	8.868513924	5.399171094	4.770829046	7.229780167	6.357552005	4.336283388	5.307428525	5.711494907	4.827819025	5.217230716	6.268658955	5.532940288	5.842978832	6.510961919	4.40599236	5.307428525	7.016808288	4.949534933	5.504620392	4.193771743	7.590961241	7.477353527	5.213347282	6.671010241	6.022367813	8.62058641	5.031218731	6.020146573	7.250772132	4.968090752	5.906890596	8.025139562	7.218199944	6.303780748	7.327328083	6.549977143	5.289096702	6.426264755	4.321928095	5.22881869	3.867896464	5.652486495	8.271929844
HEMO	6.483815777	6.672425342	6.087462841	6.23457796	6.704595348	7.154818109	6.651051691	6.06608919	6.589463893	6.336283388	5.321928095	6.721099189	7.550746785	5.741466986	6.499845887	5.714245518	7.021257621	6.441284272	6.571373436	7.29186137	6.336283388	7.132371199	6.388878339	5.346956889	6.515699838	6.925999419	6.011227255	7.221103725	5.757556689	5.395748328	6.607330314	5.388878339	6.725195817	6.118941073	6.904484098	5.318316841	6.537606691	5.675251386	6.589463893	6.368069877	5.557655155	5.840463234	5.867896464	6.312882955	6.885086225	7.151777655	5.738767837	5.892391026	5.797012978	5.378511623	6.808642468	5.786596362	6.118941073	5.802193217	6.14363831	6.482202926	6.395748328	6.633721813	6.307428525	6.004501392	5.510961919	5.703211467	6.531381461	6.298291731	5.669593751	7.804131021	6.345183447	5.655351829	6.722466024	6.632268215	5.680886921	6.518849829	6.718361626	4.981852653	6.737416366	7.12722055	6.741466986	6.491853096	6.491853096	5.614709844	6.95070169	7.01346226	6.123086751	6.14974712	5.402585758	7.200653436	6.574404309	6.815063017	6.181897643	6.48703608	7.533719071	5.904484098	6.855491443	6.562242424	6.14363831	5.911691582	7.482202926	6.970393538	6.277984747	6.03562391	6.518849829	6.407692649	6.325530332	5.43629512	6.459431619	5.510961919	5.738767837	6.215290306
HRG	5.87774425	6.818901676	6.520422249	5.498250868	7.037821465	6.722466024	6.187846909	6.272396509	5.554588852	6.419538892	5.201633861	6.01346226	7.52277767	5.343407822	6.787902559	5.551516018	7.071462363	6.421223299	6.974988112	7.06608919	5.716990894	6.121015401	5.820178962	5.004501392	6.845490051	7.551516018	6.758889433	6.598424761	6.177917792	5.236492618	6.82527683	6.026800059	6.0725346	5.501439145	5.961160258	5.608809243	6.015693807	5.61176256	6.399171094	5.783980414	5.100136671	6.011227255	6.369815424	6.020146573	7.30560579	6.592457037	5.62058641	5.62935662	6.232660757	5.847996907	6.183883459	5.50779464	5.904484098	6.131342539	5.655351829	5.899659026	6.259272487	6.607330314	7.008988783	5.799605422	5.416164165	5.809928866	6.026800059	6.076815597	6.169925001	7.852997588	6.037821465	5.181897643	6.916476644	6.261154673	5.329123596	5.623515741	6.82527683	6.046578367	6.421223299	6.896029603	6.777419716	6.139551352	5.94016675	5.083213368	6.5360529	6.434628228	5.557655155	5.778734244	5.765534746	7.898450233	6.935459748	6.081083929	5.914086097	5.855491443	6.793115555	5.584962501	6.668175869	6.689299161	5.802193217	5.83541884	8.051480865	7.55688919	5.768184325	6.121015401	6.368069877	6.499845887	5.887525271	5.350497247	5.855491443	5.303780748	6.008988783	6.068240861
IGHA1	5.201633861	6.944858446	5.689299161	4.776103988	8.502235115	6.638073837	6.753551055	5.906890596	4.797012978	7.397460726	3.906890596	4.986410935	4.902073579	5.692092375	5.802193217	5.201633861	4.949534933	5.617651119	6.226893814	7.171927354	5.855491443	8.068778278	5.700439718	4.432959407	8.73978061	6.840463234	6.475733431	6.581953751	5.956521363	4.64385619	6.381975479	5.044394119	6.116863758	6.676662335	5.783980414	4.807354922	6.272396509	6.700439718	6.668175869	6.155830172	5.074676686	6.191799501	5.026800059	6.578938713	8.35974956	8.06608919	4.95419631	6.022367813	4.99095486	5.501439145	5.655351829	6.332707934	5.899659026	5.961160258	6.108524457	6.515699838	5.64385619	6.004501392	5.040015679	6.795715007	4.566815154	5.933100475	7.076815597	6.454504938	5.378511623	7.264911693	4.995484519	5.193771743	6.766860144	5.722466024	4.842978832	4.842978832	6.58044702	5.817623258	6.714245518	5.449561375	5.697662633	5.083213368	6.978424465	4.887525271	6.64096791	6.381975479	6.490249211	5.008988783	4.070389328	7.217230716	9.161131883	6.509379149	6.292781749	5.318316841	8.166414183	5.551516018	7.197708158	7.261154673	4.765534746	6.048759312	9.393604969	8.315602457	5.572889668	6.701826258	6.672425342	6.268658955	6.608809243	5.368069877	6.159871337	4.378511623	7.043300754	5.880195729
IGHG1	6.404290064	6.811214118	5.700439718	5.997744026	7.566815154	7.313790025	6.749534268	6.165911939	6.551516018	6.493455201	5.108524457	6.948367232	5.947198584	5.807354922	6.474111514	5.646738698	6.285402219	6.402585758	6.782670659	6.807354922	6.211401637	7.532161085	5.669593751	4.995484519	7.084276911	6.474111514	6.249824549	6.478971805	6.44625623	5.289096702	6.074676686	5.789207575	6.175923742	5.842978832	6.373300197	5.722466024	6.381975479	5.482202926	7.354028938	6.731997787	4.786596362	5.997744026	6.0725346	6.348728154	7.128252152	6.95419631	5.074676686	6.311067102	6.62058641	5.452858965	6.798309782	6.601399391	6.343407822	6.121015401	5.930737338	7.561478892	6.083213368	6.063934306	6.015693807	6.259272487	5.205548911	5.672425342	7.06608919	6.804776378	5.705977902	6.821455119	5.968090752	6.532940288	6.928370323	6.961160258	6.106432078	5.680886921	6.794415866	5.64385619	6.756222713	6.100136671	7.063934306	6.203592714	7.081083929	5.885086225	5.942514505	6.607330314	6.024585638	6.163901214	4.892391026	6.924812504	7.988684687	6.464341533	6.189824559	5.921245889	7.641690523	5.649615459	6.929554316	6.589463893	5.593951284	6.348728154	8.620219826	7.057450272	6.668175869	6.157852169	6.496654083	6.203592714	6.46760555	5.236492618	6.493455201	5.044394119	6.512542955	5.911691582
