	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
CO3	7.045486656	6.341630009	6.46760555	5.141596278	6.055282436	7.55688919	7.668884984	5.995484519	6.610286657	5.491853096	7.611024797	4.812498225	7.23457796	7.155830172	6.301953395	7.230741003	5.997744026	5.587964989	6.630813152	7.364572432	6.675251386	6.504620392	7.060695932	6.387155718	6.911691582	5.213347282	5.318316841	6.655351829	5.646738698	6.995484519	6.459431619	6.385431037	6.213347282	6.977279923	5.809928866	7.041111535	5.705977902	6.94016675	6.897240426	5.205548911	5.984133595	5.153805336	6.712870868	6.285402219	8.01402047	5.364572432	5.899659026	6.589463893	5.137503524	6.169925001	6.348728154	6.181897643	6.708739041	7.196725061	7.032321287	6.6043679	7.358431429	5.459431619	6.554588852	6.131342539	6.242221395	7.135452784	6.191799501	6.76420813	5.62058641	6.590961241	7.661778098	6.936637939	6.03562391	6.338067798	7.216260837	5.442943496	6.197708158	7.067165427	7.726558779	7.233619677	6.721099189	6.672425342	5.66106548	6.224966365	5.452858965	6.272396509	6.419538892	5.944858446	6.581953751	5.802193217	5.510961919	6.449561375	6.762880293	5.736063628	6.173926932	6.298291731	6.867896464	6.055282436	6.506208389	6.173926932	6.309248961	5.575917361	6.431288654	5.121015401	6.54225805	6.033423002
CO4A	6.846744023	6.491311968	6.633839699	7.048293405	6.133399125	8.16138386	6.712870868	6.898450233	6.469983731	5.596935142	7.741466986	5.529820947	6.924812504	7.025693274	6.595443985	7.246027981	7.634448062	5.368069877	6.501439145	9.346956889	7.296656786	5.472487771	7.905086099	7.217230716	6.923624611	5.541164057	6.362820526	6.255500733	5.523561956	7.411087227	6.16033725	6.834003762	6.259272487	7.142617655	6.512542955	6.923827159	4.432959407	6.517811719	6.703211467	6.816740417	6.443716027	3.44625623	6.106432078	6.862947248	8.163901214	6.441284272	5.569855608	6.855491443	5.584962501	4.807354922	6.266786541	5.928370323	6.62497818	7.266786541	7.210359855	6.456294709	6.974694577	4.232660757	7.057450272	6.943686952	6.283551423	6.584962501	6.375039431	6.850499414	5.678071905	6.147713722	8.090641752	7.386293635	5.482202926	5.50779464	6.608809243	6.06608919	5.820178962	6.370739959	6.207502459	6.796073926	6.812498225	6.710117632	6.248949883	6.114783447	5.236492618	5.744161096	7.542481064	6.648177796	5.99095486	7.478971805	7.247927513	8.209453366	7.283793555	5.64096791	6.765534746	5.708739041	6.899659026	6.522030402	6.756222713	7.237448996	6.61176256	5.422905743	4.930737338	5.726251802	6.808642468	6.306716322
CO4B	6.645298164	5.560714954	6.663913842	4.638073837	6.129283017	8.245552706	6.941341105	6.118941073	6.584962501	4.981852653	7.571373436	4.832890014	6.855491443	7.037821465	5.923624611	7.526694846	5.83541884	4.87282876	5.937815169	6.87897051	5.963474124	6.598424761	7.386293635	6.849248703	6.323730338	4.887525271	5.432959407	6.745506266	5.422905743	7.087462841	6.366322214	5.689299161	6.085339669	6.694880193	6.048759312	7.721099189	5.244125943	6.704595348	6.64096791	4.749534268	5.867896464	5.121015401	6.678071905	6.361066489	7.932510053	5.83541884	6.285402219	6.17990909	4.944858446	5.255500733	6.287250643	6.068240861	6.478971805	7.083213368	6.971543554	6.364572432	7.46760555	4.87282876	6.840463234	6.50779464	6.680886921	6.938991439	6.024585638	6.893604905	5.040015679	6.617651119	8.217230716	6.754887502	5.635173947	5.649615459	7.008988783	5.569855608	6.055282436	6.701826258	6.958842675	6.741466986	6.501439145	6.495055528	5.201633861	5.768184325	5.270528942	5.526694846	6.247927513	5.649615459	6.040015679	5.850499414	4.655351829	6.745506266	6.614709844	5.770829046	5.997744026	7.426264755	7.351380981	6.578938713	6.64096791	6.236492618	6.123086751	5.694880193	5.809928866	5.314696526	6.495055528	5.963474124
CO5	7.483009577	6.54689446	6.348728154	5.419538892	6.223036338	7.927185358	6.613236955	6.272396509	6.678071905	5.318316841	7.625708843	5.426264755	7.0725346	6.905687849	6.307428525	6.797012978	5.680886921	5.232660757	6.921245889	7.217230716	7.464341533	6.501439145	6.636624621	6.871597266	7.284477118	6.024585638	5.14974712	6.592457037	5.307428525	6.915281866	6.532940288	7.329123596	6.303780748	6.740118043	5.977279923	7.276124405	5.8899602	6.520422249	7.04220656	4.906890596	6.187846909	4.837943242	6.623515741	6.689299161	7.182890893	4.99095486	6.03562391	6.916476644	5.031218731	5.94016675	6.381975479	6.131342539	6.002252452	6.270528942	7.123086751	6.12722055	7.299208018	5.06608919	6.387155718	5.632268215	6.226893814	6.348728154	6.191799501	7.498250868	5.121015401	5.669593751	6.925999419	6.343407822	5.703211467	6.242221395	6.935459748	5.339850003	5.855491443	7.349612972	7.224001674	7.476543706	6.772149591	7.103287808	5.426264755	6.287250643	5.449561375	6.232660757	6.754887502	5.867896464	6.181897643	6.723831566	5.672425342	6.818901676	6.548436625	5.762880293	6.46760555	7.226893814	6.259272487	6.414473836	6.211401637	6.556122818	6.244125943	5.638073837	5.584962501	5.722466024	6.785288981	6.263034406
C1QBP	6.419538892	6.498306566	7.628627802	6.298291731	6.988684687	3.910875281	6.274261661	5.799605422	5.921245889	7.102238194	5.940031671	6.6043679	6.285402219	6.737416366	5.768184325	5.300123725	6.399171094	7.323730338	7.070389328	6.74819285	5.997744026	6.538300611	6.816343705	6.707359132	6.383704292	6.834154981	7.105384749	6.044394119	6.589463893	6.557173981	7.005624549	6.719731057	6.438250405	6.165911939	6.808597953	7.452035274	8.284014345	6.404928933	7.017921908	6.629320885	6.791814071	7.323730338	5.935459748	6.287250643	5.485426827	6.408196927	6.62935662	6.358760966	6.529324724	7.155830172	6.97384084	6.678071905	8.556122818	6.586464526	7.24697806	6.552819949	6.95070169	9.391887985	5.517275693	6.249824549	6.285402219	5.933100475	6.193771743	6.570637524	6.787902559	6.87282876	5.692092375	5.62935662	6.574404309	7.030115331	5.809928866	7.230741003	6.238404739	5.752213368	6.125155131	6.447909749	6.77478706	6.765534746	6.862947248	6.434146133	8.057450272	6.958842675	6.478971805	6.772149591	6.784749496	5.482202926	8.478162893	6.510961919	6.867896464	7.176921112	6.085339669	5.478971805	6.292781749	6.616181231	6.029011087	6.021413615	6.807354922	6.753551055	7.17990909	6.928370323	6.601586101	7.304693557
CO6	7.214319121	6.447909749	6.595443985	6.483815777	6.321928095	6.903279342	6.789207575	6.242221395	6.207502459	5.860466259	7.525129251	5.346956889	7.434628228	6.613236955	6.183883459	6.92243574	5.897240426	5.867896464	7.086401646	7.192785959	7.385431037	6.543805176	6.46760555	7.298291731	7.091699834	6.191799501	5.578938713	7.040015679	5.765534746	6.77478706	6.359310317	7.287250643	6.183883459	6.361066489	6.137503524	6.902073579	6.203592714	6.268658955	7.113742166	5.201633861	6.303780748	5.897240426	6.359310317	6.131342539	6.61176256	5.303780748	5.894817763	6.395748328	6.28169825	6.917670434	6.598424761	6.17990909	6.12722055	6.525129251	7.21916852	6.842978832	7.048759312	6.411087227	6.004501392	5.981852653	5.9795681	6.769507291	5.719731057	7.537606691	5.285402219	6.394033895	6.923624611	6.133399125	5.632268215	6.205548911	6.73470962	5.689299161	6.518849829	7.091699834	6.916476644	7.423746229	6.74819285	6.753551055	5.608809243	6.268658955	4.897240426	6.525129251	6.87774425	6.414473836	6.696272084	6.518849829	6.383704292	6.48703608	7.238404739	5.551516018	6.352264173	7.452035274	6.14363831	5.857980995	5.786596362	6.329123596	6.548436625	5.50779464	6.100136671	5.916476644	6.068240861	6.362820526
CO7	7.487840034	6.753551055	6.059614856	6.572889668	6.397460726	7.185866545	5.862947248	6.608809243	5.232660757	5.958842675	7.200653436	5.485426827	7.43629512	6.087462841	6.23457796	6.762880293	6.348728154	5.719731057	6.902073579	7.316507819	7.80928581	6.298291731	6.371558863	7.392317423	7.089582893	6.690696444	5.683696454	6.832890014	5.906890596	6.318316841	6.211401637	7.714932352	6.0	6.557655155	6.161887682	7.061776198	6.38024459	6.685099172	7.078951341	5.429615964	6.087462841	5.652486495	6.22881869	6.28169825	6.87774425	5.426264755	6.026800059	6.213347282	6.0	6.475733431	6.712870868	6.022367813	5.986410935	5.963474124	7.165911939	6.368069877	6.953032377	6.343407822	5.608809243	5.797012978	5.930737338	6.327328083	5.930737338	7.824640581	5.95419631	5.87282876	6.311067102	6.151777655	5.778734244	6.255500733	7.047669251	5.663913842	6.871597266	7.515699838	6.595443985	7.29186137	6.756222713	7.321026129	5.581953751	6.10433666	6.831623937	6.167919866	6.682292371	5.993221467	6.675251386	6.375039431	5.705977902	7.03562391	7.033423002	5.646738698	6.147713722	6.8008999	6.387155718	5.82527683	6.108524457	6.289096702	6.694880193	6.040015679	5.867896464	5.904484098	6.352264173	6.416164165
CO8A	7.761551232	6.031218731	5.017921908	5.078951341	5.770829046	7.111657346	5.968090752	6.465974465	6.456149035	4.626439137	7.888134388	5.004501392	7.229780167	7.472487771	5.925999419	6.741466986	5.680886921	4.632268215	7.568336182	6.842978832	8.292781749	6.798309782	6.369815424	6.400879436	6.864186145	5.395748328	5.083213368	7.12722055	5.416164165	6.499845887	5.485426827	7.086401646	5.862947248	6.95419631	5.599912842	7.153805336	5.307428525	6.638073837	7.222070355	3.95419631	6.09592442	5.197708158	6.451211112	6.86913112	6.807354922	4.930737338	5.197708158	6.719731057	5.078951341	5.963474124	6.87036472	6.532940288	6.30560579	6.718361626	7.098032083	6.173926932	7.011227255	5.289096702	6.320123598	6.359310317	6.465974465	6.66106548	5.504620392	6.988684687	4.897240426	6.754887502	7.34251919	7.008988783	6.369815424	6.683696454	6.694880193	6.131342539	5.99095486	7.750204509	7.521992956	7.160879862	6.504620392	6.867896464	5.350497247	6.155830172	4.892391026	5.797012978	5.968090752	5.993221467	5.817623258	6.361066489	6.426264755	6.943686952	5.9795681	5.804776378	6.23457796	7.484621527	5.459431619	5.977279923	6.06608919	6.292781749	6.409390936	6.163901214	6.037821465	5.303780748	6.871597266	6.004501392
CO8B	7.701133155	6.504620392	5.456149035	5.830356747	5.885086225	6.673839056	6.54689446	6.736063628	6.906890596	5.070389328	7.951867504	4.364572432	7.10433666	7.909293086	6.257387843	6.749534268	5.605849867	4.968090752	7.469234794	6.529820947	8.078951341	7.244125943	6.704595348	6.378511623	7.243173983	5.54225805	5.083213368	6.700439718	4.87282876	6.754887502	5.137503524	6.716990894	6.392317423	7.082149041	5.292781749	7.011227255	5.375039431	7.074676686	7.476543706	4.087462841	6.586464526	4.867896464	6.578938713	7.034523875	7.126188211	4.981852653	5.274261661	7.445428759	4.925999419	5.638073837	6.569855608	6.903279342	6.614709844	6.725195817	7.254556252	5.385431037	7.083213368	5.314696526	6.298291731	6.577428828	6.58044702	6.961160258	5.708739041	6.815063017	5.044394119	6.816343705	7.619853147	6.933100475	6.137503524	6.515699838	6.663913842	5.646738698	6.230741003	7.549977143	7.856114234	6.908092341	6.910492832	6.94602899	4.770829046	6.157852169	4.906890596	5.958842675	6.483815777	5.412781525	5.100136671	6.14363831	5.181897643	6.95419631	6.083213368	5.475733431	5.997744026	7.384567923	5.270528942	6.048759312	6.64385619	6.762880293	6.635173947	5.963474124	5.892391026	5.145677455	7.190812368	5.832890014
CO8G	7.913487841	6.429615964	4.807354922	5.311067102	6.081083929	7.400025518	5.997744026	6.314696526	6.719731057	4.944858446	7.849874194	5.205548911	6.998872454	7.553053253	5.906890596	6.646738698	5.958842675	5.078951341	7.270528942	7.124121312	8.081083929	6.689299161	6.151777655	6.264911693	6.352264173	5.638073837	4.958842675	6.470862199	4.738767837	6.798309782	5.346956889	7.023477152	5.626439137	6.842978832	5.375039431	6.770829046	4.694880193	6.240314329	6.845490051	2.700439718	6.089582893	6.169925001	6.157852169	6.608809243	6.575917361	4.754887502	5.456149035	6.910492832	4.754887502	5.791814071	6.213347282	6.449561375	5.837943242	6.447909749	6.765534746	5.557655155	7.037821465	4.887525271	6.053111336	6.364572432	6.314696526	6.610286657	5.66106548	7.073606041	4.371558863	6.574404309	7.260213887	6.829088444	6.040015679	5.970393538	6.512542955	5.736063628	5.830356747	7.590212761	7.385431037	7.085339669	6.153805336	6.596935142	5.213347282	6.022367813	6.10433666	5.300123725	6.114783447	5.259272487	5.416164165	6.290940402	4.817623258	6.885086225	5.968090752	5.498250868	5.638073837	6.898450233	5.040015679	6.169925001	5.902073579	6.307428525	6.17990909	5.61176256	5.791814071	5.303780748	6.803485376	6.362820526
CO9	7.252665432	5.894817763	5.478971805	6.483815777	6.255500733	6.714245518	5.266786541	6.506208389	6.137503524	6.776103988	7.477353527	4.584962501	6.955359305	6.451211112	6.366322214	6.770829046	6.847996907	4.882643049	6.857980995	6.846744023	8.578938713	7.689299161	6.153805336	7.108524457	7.894817763	6.76420813	4.827819025	6.719731057	4.491853096	6.341630009	5.452858965	7.503030646	6.14974712	5.862947248	5.529820947	6.534497434	5.711494907	5.981852653	7.413627929	4.465974465	6.059614856	5.560714954	6.791814071	6.553053253	6.419538892	4.112700133	5.683696454	6.057450272	5.371558863	6.464341533	6.798309782	5.887525271	5.678071905	5.652486495	7.442114122	5.83541884	7.036723106	6.193771743	5.902073579	5.778734244	5.778734244	6.354028938	5.830356747	7.681589817	5.491853096	5.590961241	6.563768278	5.804776378	5.752213368	6.345183447	6.793115555	5.259272487	6.061776198	7.920055055	6.871597266	7.331812684	6.802193217	7.349612972	5.865423978	5.781359714	4.608809243	6.46760555	6.369815424	5.482202926	5.95419631	6.48058827	6.407692649	7.820817182	6.343407822	4.504620392	6.063934306	7.288173968	4.827819025	6.155830172	6.268658955	6.325530332	7.323730338	6.427941333	5.894817763	6.131342539	6.355791547	6.770829046
CFAB	6.860466259	6.091699834	6.984133595	4.263034406	6.074676686	7.682292371	8.279378431	6.22881869	6.87282876	6.619119511	7.804131021	5.725195817	6.577428828	7.222070355	6.266786541	7.458611673	5.923624611	5.807354922	6.893604905	5.9795681	6.51412226	6.614709844	6.673839056	6.381975479	6.078951341	5.566815154	5.292781749	6.904484098	5.949534933	6.761551232	6.432959407	6.244125943	5.318316841	6.676662335	6.521992956	6.133399125	5.904484098	6.804776378	6.033423002	5.491853096	5.263034406	6.123086751	6.395748328	6.129283017	7.139551352	6.693486957	6.772149591	6.834154981	5.412781525	6.613236955	6.689299161	5.993221467	6.633721813	7.479780264	6.729280846	7.385431037	6.62497818	4.649615459	6.874059203	6.894817763	6.131342539	7.199672345	5.981852653	6.301953395	5.95419631	6.980710829	7.388878339	7.353146825	6.949534933	6.690696444	6.247927513	5.815063017	7.732676223	6.789207575	7.316507819	6.630813152	6.441284272	6.338067798	6.076815597	5.885086225	5.459431619	6.078951341	6.004501392	6.029011087	6.226893814	6.061776198	5.432959407	6.046578367	7.224966365	6.155830172	6.992088609	6.569855608	7.0	5.847996907	6.378511623	5.584962501	5.232660757	5.94016675	6.593951284	5.523561956	6.786596362	5.145677455
CFAD	7.048759312	7.260213887	7.10433666	4.711494907	7.188836073	5.64096791	5.602884409	6.586464526	5.837943242	7.306517445	6.596935142	6.602884409	5.968090752	6.638073837	7.368942914	6.710117632	7.357552005	6.760220946	6.261154673	5.303780748	7.611024797	7.578183968	6.289096702	6.653919873	6.456149035	7.121015401	6.270528942	7.086401646	6.30560579	5.862947248	6.417852515	6.951867504	5.501439145	5.744161096	7.423746229	5.602884409	6.48058827	6.520422249	6.371558863	6.167919866	4.419538892	6.802193217	6.417852515	6.529820947	5.914086097	6.153805336	6.636624621	6.687900522	6.941341105	7.346956889	6.517275693	6.429615964	6.680886921	6.62935662	5.378511623	5.995484519	5.9795681	6.666756592	7.712183051	8.061776198	5.842978832	7.572131751	6.813781191	6.020146573	7.593204354	6.274261661	6.375039431	7.680886921	7.0725346	6.726558779	5.882643049	6.01346226	7.017921908	7.934280594	5.95419631	5.623515741	6.407692649	6.581953751	5.935459748	6.338067798	6.125155131	6.06608919	6.352264173	6.424586226	5.626439137	5.456149035	5.289096702	5.95419631	7.412781525	7.322829498	7.38024459	7.349612972	7.026800059	6.114783447	6.426264755	6.114783447	5.224966365	7.232660757	6.721099189	7.098032083	6.496654083	5.730639956
CFAH	7.029011087	6.207502459	7.768184325	5.371558863	5.837943242	7.766860144	7.947783026	5.99095486	5.578938713	7.069315495	7.175923742	5.762880293	6.699051844	6.645298164	5.730639956	6.785288981	5.947198584	7.361943774	6.786596362	7.198690586	6.905687849	6.540709263	6.523561956	7.409390936	6.592457037	7.323730338	6.682292371	6.789207575	6.274261661	6.803485376	6.874059203	6.545350645	6.068240861	6.518849829	6.177917792	6.768184325	6.998872454	6.341630009	6.765534746	7.312882955	6.23457796	7.394033895	6.199672345	6.14974712	7.29553937	5.274261661	6.465974465	5.970393538	6.998872454	7.297374861	5.981852653	6.068240861	6.715618859	6.165911939	6.543805176	7.472487771	6.936637939	7.147713722	6.529820947	6.002252452	6.102238194	6.461070114	5.925999419	7.361943774	7.41869595	6.14363831	6.827819025	6.444600814	6.087462841	5.897240426	6.48703608	6.185866545	7.48864354	5.937815169	6.802193217	6.8899602	6.469234794	6.64096791	5.974988112	5.584962501	6.477353527	7.50779464	8.171927354	7.061776198	6.820178962	5.725195817	6.024585638	6.449561375	7.223036338	6.01346226	7.567575869	8.028458647	6.74281467	5.918863237	6.290940402	6.102238194	5.259272487	5.680886921	6.738767837	5.09592442	6.044394119	5.914086097
FHR1	6.789207575	5.736063628	7.080018029	6.888743249	5.137503524	8.82336724	7.106432078	5.925999419	5.778734244	6.102238194	7.674545394	4.700439718	7.736063628	3.321928095	5.244125943	6.852997588	3.0	6.264911693	6.129283017	7.844234988	8.327777171	6.024585638	5.902073579	7.882031608	7.6395216	7.163901214	6.86913112	6.135452784	6.402585758	6.996614715	7.132371199	7.685099172	4.776103988	5.635173947	6.253611152	6.809928866	6.693486957	5.752213368	7.238404739	8.282625134	6.031218731	6.766860144	6.203592714	6.362820526	5.584962501	4.201633861	7.05202456	6.033423002	7.038918989	8.022922589	6.230741003	4.632268215	6.371558863	4.584962501	6.193771743	6.426264755	7.741466986	8.17990909	5.781359714	5.498250868	5.548436625	5.754887502	5.48864354	6.560714954	6.757556689	4.760220946	7.008988783	6.539158811	6.257387843	6.236492618	4.008988783	5.862947248	7.666046429	7.010108453	6.283551423	7.696272084	6.495055528	6.359310317	4.733354341	5.54225805	5.09592442	7.870981124	7.87835751	6.727920455	5.906890596	4.177917792	6.376776572	6.729280846	7.256444596	6.017921908	8.123604124	8.863257072	5.044394119	5.716990894	4.566815154	6.253611152	5.64385619	5.452858965	7.14974712	5.01346226	5.462706751	6.274261661
FHR2	7.299208018	6.474111514	8.107478647	6.121015401	5.161887682	6.98982022	6.923624611	5.830356747	5.82527683	5.173926932	7.098032083	4.95419631	7.293701542	5.426264755	5.614709844	6.339850003	5.133399125	6.683696454	6.185866545	7.881419908	7.600656308	6.031218731	5.944858446	7.977852308	7.168922782	6.806066226	6.177917792	6.395748328	4.727920455	6.910492832	7.087462841	7.558420713	5.300123725	5.532940288	5.87036472	7.180903709	6.21916852	5.686500527	6.957682486	7.392317423	5.860466259	7.23457796	6.292781749	5.469234794	5.933100475	4.64385619	6.958842675	6.421223299	6.694880193	5.48864354	6.359310317	5.381975479	6.177917792	4.44625623	6.121015401	6.905687849	7.82527683	7.21042783	5.44625623	5.578938713	4.981852653	6.177917792	5.472487771	6.998872454	7.060695932	5.277984747	7.155830172	5.930737338	5.346956889	6.343407822	5.266786541	6.151777655	7.557655155	6.294620749	6.74819285	7.049848549	5.112700133	6.663913842	5.501439145	5.339850003	4.517275693	7.563005553	5.270528942	7.164906927	6.726558779	5.789207575	6.908092341	5.43629512	7.297374861	4.921245889	7.077883864	8.837627933	5.87774425	6.015693807	5.01346226	5.746850183	5.746850183	4.837943242	5.918863237	4.949534933	5.646738698	6.38024459
FHR3	6.8899602	6.462706751	7.676662335	7.115823977	6.51412226	8.973553879	6.499845887	6.614709844	5.392317423	6.422905743	8.469234794	5.03562391	6.918863237	1.963474124	6.17990909	6.429615964	3.700439718	6.909293086	7.207502459	7.573647187	8.914086097	6.102238194	5.303780748	7.780047576	7.454504938	7.076815597	7.041111535	6.217230716	5.388878339	8.567956075	6.955359305	9.48723711	5.532940288	6.312882955	5.817623258	5.442943496	8.026246773	5.560714954	6.472487771	8.6231499	5.875288598	6.441284272	6.729280846	6.470862199	4.902073579	3.017921908	5.719731057	3.925999419	6.58345891	7.956521363	6.366322214	4.517275693	5.814207578	5.078951341	5.62935662	7.389738879	7.381110294	7.632268215	6.404290064	5.584962501	5.87036472	4.329123596	6.175923742	6.026800059	5.845490051	4.566815154	6.666756592	5.62935662	5.412781525	7.381110294	6.686500527	4.797012978	8.218199944	6.666756592	6.167919866	7.253611152	6.345183447	6.485426827	4.053111336	4.906890596	5.429615964	7.984133595	8.344295908	6.137503524	5.545350645	5.087462841	6.866660751	5.988684687	7.381975479	5.343407822	6.390598906	8.811856314	6.008988783	6.586464526	6.098032083	6.676662335	5.321928095	5.074676686	7.626439137	5.906890596	5.815063017	6.528258743
FHR5	5.43629512	6.151777655	8.584210901	6.962317655	6.026800059	8.583082768	6.439623138	4.916476644	5.442943496	4.949534933	7.200653436	5.449561375	6.704595348	6.037821465	5.303780748	6.283551423	4.968090752	6.422905743	7.021257621	6.169925001	7.356672044	5.008988783	4.972692654	6.687900522	6.553053253	6.493455201	6.209453366	7.074676686	5.776103988	6.816343705	6.957682486	7.752213368	5.757556689	6.118941073	6.8008999	8.432959407	6.705977902	5.799605422	7.768184325	9.405779683	5.830356747	7.564530601	6.205548911	5.232660757	6.321928095	5.03562391	6.247927513	6.185866545	6.783980414	7.696967526	6.58345891	5.429615964	5.520422249	5.205548911	5.925999419	7.413627929	7.354028938	7.875288598	5.652486495	4.949534933	6.087462841	5.749534268	5.462706751	5.623515741	6.888743249	5.714245518	6.802193217	6.040015679	6.23457796	5.832890014	6.348728154	6.434628228	7.904484098	4.584962501	6.98982022	7.738767837	6.692092375	7.128252152	5.157852169	4.832890014	6.503030646	6.894817763	7.87897051	7.150762744	6.705977902	7.53838296	6.167919866	6.521992956	7.591709333	5.108524457	7.510170751	5.770829046	5.221103725	5.09592442	4.217230716	6.586464526	5.860466259	5.070389328	6.539158811	4.357552005	5.827819025	5.921245889
CFAI	7.250772132	6.343407822	7.506208389	5.378511623	5.956521363	8.658211483	7.76884596	5.703211467	6.268658955	7.046578367	7.24697806	4.626439137	6.729280846	6.43629512	5.972692654	7.181897643	5.87774425	7.024585638	6.496654083	6.929554316	7.005624549	6.327328083	6.444600814	6.981852653	6.710117632	6.875288598	5.694880193	6.596935142	5.94016675	6.846744023	6.995484519	6.490249211	5.296457407	6.343407822	6.240314329	6.785288981	6.040015679	5.274261661	6.325530332	4.169925001	5.300123725	6.441284272	6.193771743	6.509379149	7.044394119	5.904484098	6.01346226	6.566815154	7.041111535	7.206526016	6.183883459	5.244125943	5.902073579	6.549977143	6.43629512	6.091699834	6.378511623	5.892391026	6.411087227	6.161887682	5.909293086	6.718361626	6.002252452	6.692092375	6.616181231	6.189824559	7.272396509	6.824004051	5.944858446	6.422905743	6.416164165	5.666756592	7.015693807	7.347842794	6.799605422	6.343407822	6.523561956	6.874059203	5.658211483	6.141596278	5.270528942	6.949534933	6.807354922	6.757556689	6.971543554	6.026800059	6.908092341	6.334496768	7.128252152	5.236492618	6.323730338	8.45779126	6.662490364	6.171927354	6.0	6.452858965	5.965784285	5.54225805	6.409390936	5.300123725	6.050936965	6.195741293
CLC11	6.157852169	6.17990909	6.329123596	5.419538892	5.837943242	5.495055528	6.266786541	6.017921908	7.272396509	6.95419631	7.074676686	5.361066489	4.897240426	6.407692649	6.909293086	6.54689446	6.613236955	6.807354922	7.167919866	5.765534746	7.417008587	7.123086751	6.894817763	6.830356747	7.105384749	6.918863237	5.412781525	7.464341533	4.385431037	7.12722055	6.203592714	5.928370323	6.766860144	7.06501215	6.303780748	6.947198584	5.87282876	6.523561956	6.752213368	5.14974712	7.109569509	5.343407822	6.318316841	7.123086751	6.836681593	7.014578465	6.209453366	8.060695932	6.102238194	7.196725061	6.434628228	7.567575869	6.994353437	6.232660757	7.778734244	7.461070114	7.122051448	5.469234794	6.321928095	6.715618859	6.782670659	6.449561375	6.653919873	7.449561375	6.232660757	5.318316841	6.619119511	6.6794801	6.292781749	8.138527801	7.113742166	5.108524457	6.617651119	7.067165427	7.01346226	6.515699838	7.182890893	7.17990909	6.499845887	6.881419908	5.031218731	6.824840908	6.472487771	6.880019463	6.171927354	6.334023058	7.217202233	7.133399125	6.66106548	5.263034406	6.062536038	6.770865936	5.778734244	7.732676223	7.089582893	6.21916852	6.972692654	6.663913842	6.736063628	6.255500733	6.10433666	6.62497818
