	N120	N123	N124	N126	N130	N131	N137	N138	N140	N144	N145	N146	N148	N149	N150	N151	N152	N153	N154	N155	N156	N158	N160	N163	N164	N165	N166	N169	N170	N171	N172	N173	N176	N177	N178	N179	N180	N182	N185	N186	N187	N188	N189	N190	N192	N193	N195	N197	N198	N199	N200	N202	N203	N204	N205	N209	N210	N211	N212	N214	N215	N216	N217	N219	N220	N221	N222	N223	N224	N226	N228	N229	N232	N233	N234	N235	N237	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N257	N258	N259	N261	N263	N264	N265	N266	N267	N268	N269	N270	N153A
MEGF9	1.346213173	1.441888426	0.631867227	1.020398688	1.220850672	2.840066476	2.00778155	1.903003348	1.253240593	1.387374707	1.487822953	1.350203971	2.720161435	2.670188377	3.108983173	2.589099649	2.197991684	2.070555735	0.84082	0.0	2.02319907	2.937073173	1.953375254	0.969439203	1.838360323	1.753434707	1.835936346	5.89942619	1.801117499	2.251693173	0.390044571	2.185756999	3.000918852	1.419197338	2.137781188	1.262453173	2.126411188	1.503411268	2.366958688	1.930992824	1.598686266	2.712711733	0.958836999	2.85426619	2.090141268	0.77036	2.18379	1.637364707	0.859708767	1.51699907	3.118373689	0.725163348	3.414177338	2.741716176	1.784419879	2.045236346	0.962798767	2.885911268	2.028203173	2.587734185	2.497778095	2.141053349	2.332099649	0.86271957	2.28459	2.399889879	2.302926472	3.196624571	2.571011268	1.909895195	1.996758095	1.593886758	2.407657499	2.319721631	2.042595735	1.40099	2.102504707	1.534696187	2.149738095	1.42835	1.102866476	1.260866176	1.18063	2.271159879	2.235916472	-0.92340093	1.760136266	1.868698095	1.682436999	1.41932	0.15855	2.206554234	1.505411435	1.839891268	2.14372314	0.47563	2.941763971	1.519232824	1.51909	1.72211907	1.31779
ANG	8.736793173	7.938308426	8.528307227	7.870118688	8.485920672	8.083826476	8.32858155	8.427433348	8.009750593	8.193694707	7.730602953	8.778053971	8.290251435	9.044938377	9.722513173	8.435659649	7.856031684	9.336645735	8.82325	9.246301268	9.03081907	9.065213173	8.551355254	8.339989203	8.337560323	8.446364707	9.409686346	13.02033619	8.798577499	9.063253173	8.581284571	9.123696999	9.181588852	8.297327338	10.07659119	9.175133173	8.877911188	9.315901268	8.396168688	8.967112824	9.484016266	8.824961733	8.829896999	9.18089619	8.017851268	8.32585	8.29337	8.500844707	8.585138767	8.86925907	9.627023689	8.753123348	9.508207338	8.210816176	9.183949879	9.300416346	9.036718767	8.962451268	8.736463173	8.475354185	8.566738095	8.923823349	8.369329649	8.43382957	8.60246	9.189689879	9.143016472	9.286074571	10.42211127	9.230535195	8.719318095	8.401526758	8.647567499	8.613451631	9.390575735	8.15031	8.464844707	8.780626187	8.884078095	8.27663	8.146856476	8.533946176	8.2117	9.299869879	9.484556472	-0.49801093	9.126666266	8.804698095	8.733076999	8.38049	8.6091	8.517514234	8.645021435	9.274101268	9.26761314	8.54586	9.725363971	8.887992824	8.24683	8.82028907	8.63695
ST6GAL1	4.447963173	1.924458426	1.527787227	3.622448688	4.702090672	3.979816476	5.61457155	5.298813348	2.189740593	5.569054707	4.078482953	3.668553971	6.028921435	5.442608377	6.614543173	4.388249649	3.038721684	4.923955735	2.6046	5.037661268	5.28663907	6.686313173	3.339845254	5.208079203	2.880100323	3.135724707	5.692256346	6.71257619	6.970847499	3.502813173	4.306024571	5.728526999	4.986408852	3.629067338	7.220021188	2.167633173	7.242241188	4.881141268	4.747778688	5.514472824	2.053266266	6.492571733	5.609126999	5.95690619	2.236191268	2.54916	5.35576	0.752324707	3.575508767	5.48392907	5.726283689	2.475383348	5.254627338	7.745096176	3.588979879	5.856026346	1.685688767	5.064371268	5.079663173	5.407984185	7.869138095	6.238583349	6.140699649	1.31531957	6.10049	5.772469879	5.816526472	5.469144571	7.280291268	5.449055195	3.629148095	5.006326758	7.487787499	5.085941631	6.221965735	4.64081	3.261074707	2.850306187	6.180988095	1.45015	2.731996476	1.952836176	2.00757	3.739459879	4.143376472	-0.41334093	4.760606266	3.723108095	4.818366999	1.89477	2.5757	3.475734234	4.827691435	5.827831268	6.26043314	5.93703	5.750993971	2.911872824	4.18797	6.27826907	5.14283
DPP4	5.610663173	6.053998426	3.555947227	5.686728688	6.130400672	7.647446476	6.52392155	6.198603348	5.530650593	6.806024707	3.520382953	5.691613971	7.787231435	6.197688377	7.264063173	6.164719649	7.267521684	6.775735735	4.53492	5.422111268	6.04887907	7.976713173	4.827445254	6.853409203	7.388770323	7.036734707	4.934256346	9.45842619	7.759807499	6.126743173	5.043254571	5.844496999	7.253928852	5.281347338	7.236521188	4.623843173	6.869781188	6.128991268	6.116488688	5.590962824	4.042736266	6.567861733	7.346196999	7.43518619	7.228191268	4.08412	6.11255	5.691514707	4.121428767	5.42489907	7.217563689	5.056003348	6.914967338	7.904156176	5.198379879	7.171366346	5.494668767	6.537811268	5.573663173	7.031484185	7.900528095	6.103243349	6.038899649	5.85052957	7.3322	7.055839879	5.932366472	6.273314571	7.901221268	6.595125195	4.800808095	6.301536758	7.675377499	6.875741631	7.245525735	5.68764	6.399664707	7.695336187	6.611698095	3.19579	7.542926476	7.263186176	6.02186	6.730029879	4.594126472	0.09547907	7.043296266	7.190328095	5.543576999	4.71724	6.52449	6.640834234	5.938621435	6.718561268	5.75025314	6.20603	6.316853971	6.148762824	4.91075	6.05093907	5.57931
REG1A	8.172623173	3.617218426	5.079927227	7.761118688	5.832960672	6.624406476	4.89939155	5.387913348	3.927860593	7.567574707	3.453352953	3.794363971	5.452631435	6.871308377	9.362663173	6.003169649	5.591601684	6.696885735	3.69663	8.264401268	7.36898907	6.255413173	6.523885254	3.139389203	7.542220323	3.776344707	5.877726346	10.41282619	4.741757499	5.356783173	12.08823457	7.928176999	7.593048852	5.603627338	7.436731188	3.127363173	5.787251188	5.597671268	2.408748688	4.403542824	4.088236266	8.435921733	6.742966999	7.67424619	6.205681268	5.90795	6.2357	4.822824707	5.599858767	4.72484907	8.093883689	2.461673348	6.410337338	5.704126176	5.851249879	5.667336346	5.528938767	5.809071268	6.195323173	4.236314185	6.451258095	5.041413349	5.860939649	4.10674957	4.73079	7.951389879	6.802366472	6.243514571	7.856721268	8.733895195	3.257308095	6.336526758	6.682157499	6.163721631	7.062625735	6.94473	3.808744707	5.748116187	6.328398095	1.35479	4.811266476	5.734716176	3.74378	6.591739879	6.544966472	-0.90278093	6.708466266	7.095438095	5.629386999	4.68437	7.21865	6.729374234	4.494261435	7.882431268	7.56386314	5.84474	6.132023971	5.298892824	4.40688	7.84049907	3.33327
QPCT	5.631593173	6.025328426	4.424307227	4.063458688	7.681210672	6.815116476	6.79497155	7.490663348	6.318110593	6.468414707	6.106792953	6.496733971	7.348131435	6.855318377	7.903943173	5.753259649	7.271571684	7.101975735	5.73532	6.524291268	6.72573907	8.245403173	7.188395254	7.412189203	7.130500323	6.963134707	7.559346346	10.75539619	7.171217499	6.761123173	5.328484571	7.129256999	6.935898852	6.607427338	7.362651188	6.053163173	7.573431188	7.181171268	5.826758688	7.059172824	6.870036266	7.145511733	7.250346999	7.06794619	5.563411268	5.5194	6.83239	6.447064707	6.646018767	6.63460907	7.546933689	6.439273348	7.066627338	7.369996176	6.963689879	7.667916346	5.658098767	7.309081268	6.958313173	7.491304185	7.434788095	7.723703349	7.063479649	6.62904957	6.2596	7.118479879	7.174766472	7.472104571	6.839321268	7.945045195	6.790538095	7.151726758	7.726577499	7.125101631	7.956165735	6.38699	7.297934707	5.687136187	7.614288095	5.58898	6.470616476	6.415676176	5.86119	5.960359879	6.535196472	-0.80952093	6.668016266	6.042778095	5.782456999	6.49804	6.80392	6.324124234	7.688761435	7.623381268	7.40266314	6.2772	8.360923971	6.363372824	6.33408	7.27648907	6.74794
FCN2	9.310863173	9.663228426	7.499197227	7.480538688	10.28902067	10.27190648	9.51964155	8.690153348	7.223680593	8.650654707	8.445042953	8.294013971	8.519801435	8.660098377	9.305953173	8.628799649	7.998791684	8.748245735	7.82281	8.081961268	8.63234907	9.700723173	8.450655254	9.847659203	8.415710323	9.473854707	9.458026346	13.81321619	8.681917499	8.858473173	7.349134571	8.765846999	9.496978852	8.054467338	10.20536119	10.03588317	9.640891188	10.41710127	9.675408688	8.337692824	9.720436266	9.376261733	7.878126999	10.94905619	7.129941268	9.91652	9.37093	9.318024707	8.558378767	8.23100907	9.544903689	8.098093348	9.360187338	8.060236176	9.138529879	9.517236346	7.665038767	9.435641268	7.272623173	9.121234185	8.453878095	8.521993349	9.939839649	7.64280957	9.58369	10.58831988	9.353616472	9.071154571	9.219741268	9.582785195	9.052388095	9.136926758	10.0448875	9.854691631	9.431525735	9.29538	8.727124707	8.998826187	8.424458095	8.65858	8.624966476	8.390006176	8.16405	9.323139879	9.349076472	1.01040907	7.543056266	9.369898095	8.701416999	10.44378	7.95533	8.755204234	8.388481435	8.959911268	9.42418314	7.62754	8.599733971	8.032002824	7.93525	8.91373907	7.64553
FETUB	0.922123173	0.317908426	0.117367227	0.295528688	1.908360672	2.112726476	0.84116155	0.891093348	-0.234399407	1.579574707	-0.051357047	1.141123971	2.050161435	1.432198377	2.661473173	0.668059649	0.420031684	1.374555735	0.51298	0.994521268	1.08338907	1.835763173	0.787375254	1.142699203	0.284500323	0.156204707	1.749666346	4.94904619	1.134977499	0.826863173	0.295824571	0.888576999	1.670818852	0.362017338	1.975341188	0.575313173	1.440761188	1.259931268	-0.079351312	0.500092824	0.746616266	1.264091733	1.133796999	2.27683619	0.580551268	0.33366	1.06219	0.151894707	0.512598767	0.86335907	1.652743689	0.259173348	2.436957338	1.812406176	1.034279879	1.790906346	0.352858767	1.308191268	0.809363173	0.752034185	1.363728095	1.168293349	1.141059649	0.36526957	1.00844	3.005449879	1.867246472	2.071324571	2.381461268	1.465505195	0.673498095	0.755736758	2.647517499	1.260481631	1.486595735	0.55319	0.571204707	0.695986187	1.177208095	0.03912	0.653186476	0.498706176	0.20727	1.310769879	1.406026472	0.46198907	1.447956266	1.261378095	1.025156999	0.28403	1.01863	0.817164234	0.633761435	1.531621268	1.20031314	0.22782	1.814873971	0.0	0.28563	1.13786907	0.21576
CES1	6.043593173	5.381918426	4.884347227	6.234518688	4.339300672	6.705226476	9.59103155	6.955993348	4.548740593	5.759484707	8.803952953	5.242723971	9.188171435	7.574698377	9.418023173	8.920039649	6.936061684	7.045005735	2.88433	5.356921268	6.50253907	8.008743173	6.732435254	7.318779203	2.683930323	6.038204707	7.016316346	11.01975619	8.224937499	7.150013173	5.413884571	6.180896999	6.248558852	6.066197338	6.050211188	5.743653173	9.113471188	4.957051268	6.498488688	7.654892824	4.815086266	6.162471733	6.681416999	7.26561619	5.723801268	6.34964	6.72839	3.559244707	3.885288767	7.25860907	8.874743689	5.842733348	8.379017338	8.487116176	5.247949879	7.693176346	1.749928767	7.439521268	7.503183173	9.721794185	8.161488095	8.619983349	9.120689649	6.72831957	9.50803	9.525629879	8.561086472	10.65579457	8.022741268	5.809745195	6.677428095	6.115586758	9.920757499	7.405521631	8.980025735	7.34924	8.933284707	5.490346187	7.796438095	6.48639	3.261446476	1.774286176	6.13202	7.297829879	5.813546472	-0.66145093	6.278086266	6.115988095	8.781046999	3.10618	1.95307	7.346224234	6.453501435	4.188871268	7.16222314	6.21996	7.507923971	3.482772824	8.16072	9.09445907	6.21252
CRTAC1	0.911803173	0.122068426	0.456817227	0.626648688	0.250170672	2.573896476	2.69264155	2.006913348	0.956490593	1.007124707	0.173102953	0.741093971	2.896031435	3.163768377	3.131103173	1.058859649	0.953051684	2.038965735	0.78143	1.469871268	3.27412907	4.444753173	1.779605254	2.181749203	2.072700323	0.908404707	2.364736346	4.75042619	1.931077499	1.147773173	0.269684571	2.074046999	2.919658852	0.943547338	2.599771188	0.801473173	2.599121188	1.921471268	0.236418688	2.610252824	0.756296266	2.997481733	1.921136999	3.59989619	1.624881268	1.04654	2.14667	0.511014707	0.987438767	1.95858907	3.092603689	0.360443348	3.256797338	2.577996176	1.365349879	3.394966346	0.366618767	3.506691268	2.375683173	2.268084185	2.884348095	3.091503349	1.629389649	1.22512957	2.53883	2.904899879	2.325726472	3.145234571	3.543801268	2.913995195	1.040618095	1.258456758	2.594497499	1.746971631	2.712445735	1.95055	1.459714707	1.047936187	1.994548095	0.79351	1.312326476	0.343476176	0.35634	1.459229879	1.496066472	-0.03088093	1.618816266	1.236078095	1.199646999	0.36408	0.52954	0.578114234	1.771441435	2.283611268	1.40150314	1.75565	2.066123971	0.0	1.04437	1.32391907	0.94558
TCN2	6.789343173	5.424018426	4.154077227	5.735398688	6.858300672	6.528276476	8.76549155	8.412743348	5.364500593	8.008714707	7.122512953	6.312743971	9.290581435	7.927198377	9.920023173	6.719189649	6.701201684	8.296675735	5.40173	7.491991268	8.05344907	10.61810317	5.859175254	7.443229203	4.794840323	5.637764707	6.500276346	9.28662619	7.740477499	6.245993173	5.295854571	7.285546999	7.569238852	7.268837338	7.326081188	5.801213173	9.521341188	7.521941268	4.661838688	7.691232824	4.142496266	9.021001733	8.315806999	8.75698619	5.074071268	5.84228	7.17751	3.643154707	5.311658767	7.12054907	9.791163689	4.976003348	7.860417338	8.833676176	5.218889879	9.259346346	4.142828767	8.124791268	8.522053173	8.552844185	8.423928095	8.967553349	7.523689649	3.70190957	7.24631	8.828659879	7.847836472	8.851124571	7.805331268	7.973685195	7.155798095	4.921936758	9.461387499	6.734021631	8.329675735	6.98061	6.916484707	5.617576187	9.213968095	6.64091	5.130556476	5.243186176	3.93255	7.558259879	6.841576472	0.03329907	8.144166266	6.145608095	7.384746999	3.64012	5.30549	6.560794234	7.904311435	8.248931268	7.26743314	6.87137	8.279143971	3.118812824	6.03553	8.37473907	6.33466
PRSS2	7.547653173	3.331658426	2.290417227	3.863318688	6.604450672	5.016396476	2.80972155	4.939303348	3.662010593	6.254934707	3.257982953	3.508143971	4.423211435	5.640438377	6.718593173	4.864969649	4.256531684	5.555615735	3.65631	6.673221268	5.81535907	5.990233173	4.143685254	2.407169203	3.605730323	2.691624707	4.205376346	7.88339619	3.702117499	3.912053173	9.606454571	6.902276999	6.862538852	2.890457338	6.680511188	1.559863173	4.460131188	4.110261268	0.917608688	3.086032824	1.511926266	6.496591733	5.164876999	7.14098619	3.465521268	5.36841	5.58462	2.108274707	3.809828767	3.97525907	7.326133689	1.388683348	4.322267338	3.665906176	4.870979879	5.528746346	3.017178767	4.057511268	4.975193173	3.417344185	4.481528095	2.965393349	4.798959649	2.39762957	2.75744	6.482139879	4.617906472	4.759664571	6.326401268	7.063975195	2.192228095	4.833116758	3.659907499	5.869481631	5.692655735	4.31378	2.663744707	5.299476187	4.168528095	1.03056	2.714566476	3.234176176	1.14445	6.423499879	5.969376472	0.00390907	6.050076266	6.334058095	3.936146999	1.87009	5.28188	4.806204234	3.117161435	5.875731268	6.43942314	4.53542	4.597423971	2.424282824	2.65064	6.67565907	1.61873
ICAM3	3.150873173	2.910058426	0.646697227	2.665288688	4.574320672	3.549706476	3.41589155	3.175713348	2.153680593	4.045414707	2.653022953	3.114243971	3.998981435	3.051808377	4.492393173	3.821819649	3.612771684	3.492105735	2.61009	1.816291268	4.29624907	4.060803173	2.592655254	4.010209203	3.253710323	2.719544707	1.762046346	6.08063619	4.353107499	3.122913173	2.601664571	3.677436999	3.885018852	2.745727338	4.532801188	3.072883173	3.816391188	3.159331268	4.119708688	3.136202824	1.664016266	3.910651733	4.376276999	3.64684619	3.642961268	2.64283	3.78125	1.843694707	1.724998767	3.94112907	3.607103689	2.717263348	3.325437338	5.635306176	3.162459879	4.499546346	1.768978767	3.555341268	3.214263173	3.574804185	5.741918095	3.351473349	3.469289649	2.27294957	4.9374	3.927199879	2.712016472	3.572614571	4.915771268	3.073825195	2.667368095	4.057416758	4.966267499	4.282121631	4.725255735	2.1413	3.046974707	3.931636187	3.345878095	1.57095	2.714006476	2.445276176	1.84602	4.053659879	2.848876472	-0.26143093	3.416806266	3.549588095	2.885426999	0.79965	2.65548	3.077544234	3.023241435	2.936231268	3.62184314	3.5364	3.154163971	2.155682824	2.4421	2.53707907	3.01423
SAA4	3.216183173	4.338868426	0.838287227	3.040818688	3.788870672	5.651386476	4.85133155	4.358763348	0.866890593	5.086584707	2.305572953	5.133463971	4.858861435	4.365398377	6.277553173	2.318069649	3.677011684	4.225635735	3.82037	3.819751268	3.78215907	5.242153173	3.748815254	5.281179203	2.682900323	3.584254707	5.596186346	5.88460619	5.427307499	2.899813173	3.134014571	4.658586999	6.006528852	2.568707338	5.064851188	2.126463173	5.447931188	3.802401268	4.240778688	4.010872824	2.853566266	5.312991733	3.488786999	6.52849619	2.086171268	2.15005	4.05931	1.935854707	4.088248767	4.35713907	4.913663689	1.990413348	6.468627338	5.020236176	3.211629879	4.823626346	2.527278767	4.818231268	3.629003173	5.485134185	5.489688095	5.044673349	4.822599649	2.85470957	4.65419	5.834799879	4.955286472	4.295954571	4.622691268	5.797945195	2.927238095	5.362326758	5.407287499	5.391491631	5.604435735	4.26329	1.693324707	4.140006187	4.738208095	1.23049	3.498366476	5.123276176	2.26237	4.839869879	3.061826472	0.38921907	4.909266266	4.896278095	3.305226999	3.078	3.31789	3.140384234	4.044061435	4.701501268	4.95866314	2.94182	4.253293971	2.128002824	1.50039	4.24549907	4.17129
FCGR2A	7.841823173	7.905668426	4.237517227	7.555488688	8.716640672	8.945166476	8.41863155	7.801723348	8.946890593	8.754534707	6.617742953	7.794153971	9.290611435	8.253168377	9.698293173	8.116359649	8.842491684	9.134655735	6.78521	7.435431268	9.02734907	9.980443173	8.242425254	8.638069203	8.374230323	8.319394707	4.942696346	10.90623619	8.930977499	8.123273173	6.722864571	7.886456999	9.205278852	8.045457338	8.578711188	6.724663173	9.069041188	7.998041268	7.821308688	9.664452824	5.129766266	8.975171733	8.105736999	9.29977619	7.846761268	5.73367	8.21099	7.726024707	6.756428767	8.24409907	9.385213689	7.622163348	8.674547338	8.875396176	7.007879879	8.014176346	6.046138767	9.139191268	9.010643173	9.250234185	8.953818095	9.514403349	7.966259649	8.03949957	8.99562	9.005109879	7.418596472	8.857014571	9.745681268	8.090935195	7.968658095	9.054396758	9.021677499	8.320761631	9.221465735	7.50843	9.109064707	7.908596187	8.961398095	6.20663	7.971146476	8.483576176	7.00074	8.020899879	6.757366472	1.43642907	8.304666266	8.815358095	8.330356999	4.70292	8.57233	8.392034234	8.322681435	8.375371268	7.66221314	8.78392	8.605153971	7.044622824	6.61551	8.38825907	7.29407
NRP1	4.234263173	3.202138426	0.0	2.891528688	3.964850672	3.859886476	3.96503155	3.990223348	3.451730593	4.218014707	2.146692953	3.413453971	4.356151435	4.308458377	5.532853173	3.350219649	2.943921684	4.032675735	1.77038	3.162371268	4.26607907	4.826323173	3.860655254	3.834699203	3.578630323	3.576434707	4.316206346	7.92985619	4.928177499	4.368003173	3.443164571	4.388476999	5.066448852	3.987327338	4.757721188	2.279593173	4.487151188	4.240991268	2.608688688	3.841082824	2.004656266	4.589031733	3.459526999	4.54225619	3.542381268	2.44409	3.77237	1.058914707	2.824328767	3.61982907	4.690923689	2.274813348	4.364977338	3.904006176	3.374959879	4.673896346	1.275438767	4.145421268	4.187173173	4.157204185	4.423058095	4.151843349	3.912399649	2.34725957	3.8292	4.768899879	4.643396472	4.517074571	5.347941268	4.286155195	2.528648095	3.777306758	4.668387499	3.748701631	4.904785735	3.08673	4.000914707	4.193446187	4.305888095	1.45507	1.493046476	1.947216176	1.45962	3.189669879	3.302986472	-0.79484093	4.024826266	4.110118095	4.389106999	2.38168	2.85201	4.516954234	4.324651435	5.072491268	4.35375314	4.3344	4.885423971	2.052302824	3.38252	4.68448907	2.99873
EFEMP1	9.894063173	7.120798426	8.479827227	8.935978688	7.145590672	8.310276476	8.76555155	9.053493348	7.308800593	9.337624707	7.711692953	9.658603971	9.074931435	8.969188377	10.95677317	8.378399649	7.348931684	10.02225574	9.25777	10.14397127	9.72029907	9.330863173	8.679415254	8.710989203	8.125710323	7.492994707	9.491466346	13.41305619	9.407507499	9.486793173	9.436654571	9.632086999	9.384308852	8.818837338	10.97099119	9.002743173	9.225041188	9.669731268	6.344758688	9.220762824	7.954066266	9.171531733	9.933436999	9.38987619	7.497311268	8.45131	9.07739	5.474284707	8.360708767	9.22014907	9.776123689	7.521613348	8.884977338	8.504016176	8.269219879	10.21191635	6.043408767	8.953911268	8.473223173	8.499054185	9.217588095	8.958483349	8.421129649	6.36516957	8.15988	9.506899879	9.856416472	9.699464571	11.10686127	9.405885195	8.801088095	7.857286758	9.418927499	9.572271631	10.33870574	8.55233	8.274624707	6.199226187	9.195618095	8.13106	7.397326476	6.847546176	7.81191	9.606699879	10.20704647	-1.12321093	9.863206266	8.868208095	9.135556999	8.21453	7.85116	8.391714234	9.036411435	10.02149127	9.94633314	9.36076	9.786053971	5.631052824	8.60579	9.25299907	8.9109
TIMD4	5.888763173	6.190628426	1.757807227	4.720238688	8.556390672	6.141926476	6.39769155	5.940743348	4.868830593	7.250034707	3.255972953	4.654813971	6.451831435	5.644758377	6.869043173	4.974699649	4.361801684	5.635565735	4.16836	6.091971268	4.75309907	7.748583173	5.371405254	7.146649203	4.591580323	5.100324707	6.418036346	7.26119619	6.862287499	3.933783173	6.662994571	5.827386999	6.420688852	3.752677338	7.566521188	5.279073173	6.199301188	6.451071268	3.424078688	5.234712824	3.088206266	6.959711733	6.289406999	7.14836619	3.314881268	3.45987	5.27719	3.491534707	5.101078767	5.55177907	5.839533689	2.929603348	6.005277338	8.505436176	4.781579879	7.414906346	3.481428767	5.610311268	4.990493173	6.365634185	8.854058095	6.090273349	5.271769649	4.30029957	5.22972	6.983549879	7.117886472	4.815114571	6.209841268	6.429825195	4.342108095	5.151406758	6.562447499	6.495681631	6.629385735	5.58051	3.642104707	6.582096187	5.782728095	2.84409	5.538676476	6.682716176	3.95861	5.331599879	4.176526472	0.16635907	6.229766266	6.965408095	3.853576999	3.18631	4.81873	5.575794234	5.659271435	7.335061268	5.05129314	5.97014	4.969313971	3.625282824	2.73112	5.96470907	5.27456
FAP	2.490673173	2.905188426	1.017667227	2.136758688	2.622620672	4.634946476	3.94910155	4.250113348	3.773940593	3.995434707	2.619592953	2.729863971	4.137511435	4.600668377	5.045433173	3.195129649	3.832621684	4.081645735	2.00796	2.644911268	4.31030907	5.119693173	3.912345254	3.176469203	3.667430323	3.422074707	3.304826346	7.28935619	4.452907499	3.898283173	1.994664571	4.085206999	4.753848852	3.760337338	4.168201188	2.790293173	4.519571188	3.575061268	3.825128688	4.143322824	2.335766266	4.130371733	3.037636999	4.68417619	3.615671268	1.60864	3.85866	2.775914707	2.310418767	3.64059907	4.921683689	2.912873348	4.343107338	4.306086176	2.989919879	4.543946346	1.427138767	4.505511268	3.984103173	4.462024185	4.335828095	4.081793349	4.365509649	3.05411957	3.82079	5.121339879	4.072366472	5.051984571	4.904001268	4.105495195	3.498388095	3.882246758	4.617417499	3.897921631	4.562925735	3.41506	4.860474707	2.646656187	4.054988095	2.84833	3.086136476	2.599096176	2.46184	3.761049879	2.928956472	-0.81887093	3.738896266	3.961038095	3.902056999	2.36639	1.7488	4.230064234	3.727191435	4.254791268	3.77756314	3.8209	4.727163971	2.865782824	3.34601	3.56302907	3.15457
TIE1	1.350353173	-0.181541574	0.0	0.487208688	2.772900672	1.349576476	2.28007155	2.288633348	0.0	2.501094707	0.241272953	1.694723971	2.815131435	2.237158377	3.273353173	1.788889649	-0.095238316	1.738665735	0.57213	0.0	1.94529907	4.101093173	0.0	2.314219203	0.0	0.0	2.110156346	0.0	2.104677499	0.772093173	0.0	1.444996999	2.207558852	0.380537338	1.995091188	0.0	2.561711188	1.469841268	0.0	0.505532824	0.0	2.399131733	1.546846999	2.98884619	0.023101268	0.0	2.17727	0.0	0.0	1.61804907	2.269233689	0.0	4.077397338	3.093676176	0.0	2.577846346	0.0	2.654111268	2.658233173	2.457514185	2.444368095	1.860223349	2.425979649	0.0	2.79501	3.423979879	3.457106472	2.391044571	2.444131268	1.772485195	0.519818095	0.412346758	3.223097499	1.540031631	2.492615735	0.80926	0.961574707	0.0	1.938768095	0.0	-0.113573524	0.292896176	0.0	0.708759879	1.272856472	0.46795907	1.629116266	1.068028095	1.361566999	0.0	0.0	1.961694234	1.295421435	1.992081268	1.21500314	0.76476	1.622423971	0.0	0.08483	1.52392907	0.1979
THBS4	6.864903173	6.001148426	2.681887227	3.833918688	6.554270672	6.419466476	6.68524155	7.879793348	2.669430593	7.402444707	4.126062953	5.986583971	8.048971435	5.535998377	9.499273173	5.240309649	3.114851684	6.456295735	7.31805	6.287381268	5.54262907	9.032263173	4.236045254	7.771819203	4.027990323	3.178854707	7.102456346	7.68469619	8.926447499	5.653713173	6.488204571	7.506606999	7.097298852	3.703327338	8.976621188	4.625463173	8.059671188	7.673131268	3.164058688	7.537322824	2.068266266	6.907221733	6.676456999	8.72207619	3.395191268	4.87607	7.80251	2.737844707	4.294488767	6.72318907	8.294143689	2.694273348	9.414587338	7.431176176	4.499239879	10.08099635	1.541678767	7.001231268	6.303033173	7.985554185	7.103268095	6.760623349	7.248189649	2.54648957	7.09052	8.562969879	7.425286472	7.143764571	7.557301268	7.257075195	6.209818095	4.098206758	8.034397499	6.899441631	8.711775735	5.87267	4.840344707	4.189346187	7.263878095	3.80809	5.424436476	7.104286176	4.5114	6.109249879	4.485316472	0.51337907	8.519256266	6.417758095	4.904626999	4.90721	3.97162	5.078974234	7.694341435	7.477211268	7.18212314	6.85519	6.752233971	2.517172824	2.82493	7.60238907	5.36916
F7	7.387303173	2.937558426	2.671637227	5.446568688	4.718720672	5.965946476	6.23893155	6.564563348	4.213320593	7.117544707	4.608352953	7.547013971	6.301001435	7.127918377	9.363043173	3.953429649	5.292171684	8.081255735	7.12394	6.776771268	7.60788907	6.536853173	6.506245254	4.752339203	5.003480323	5.007574707	6.363506346	11.57574619	6.083237499	6.949123173	8.745814571	8.755206999	8.036508852	4.241817338	8.740931188	3.347203173	5.992811188	6.063501268	4.214018688	7.403772824	4.836146266	8.080361733	6.366056999	7.71546619	5.370751268	3.9929	7.01621	3.547874707	5.910618767	6.37862907	8.848443689	2.538133348	5.728647338	6.026316176	6.100999879	8.266136346	4.555268767	6.049531268	4.564753173	5.915804185	6.274678095	5.622023349	6.350409649	3.77737957	3.87798	8.705389879	5.943826472	7.165594571	9.485831268	7.626825195	3.858278095	5.724856758	6.580407499	7.544011631	7.818075735	6.04027	4.297794707	6.104626187	6.137848095	2.59233	5.125196476	4.229846176	4.67908	6.179909879	7.242946472	-1.24635093	7.514166266	6.633388095	5.702016999	4.3039	3.99344	4.958004234	5.745501435	8.710451268	8.50665314	6.24734	5.884013971	3.897522824	6.12662	8.18342907	5.01456
